id,utt,annot_utt
0,bu hafta beni sabah beşte uyandır,[date : bu hafta] beni [time : sabah beşte] uyandır
1,beni cuma günü sabah dokuzda uyandır,beni [date : cuma] günü [time : sabah dokuzda] uyandır
2,iki saat sonrasına alarm kur,[time : iki saat sonrasına] alarm kur
3,sessiz,sessiz
4,olly sessiz ol,olly sessiz ol
5,dur,dur
6,olly on saniye duraklat,olly [time : on saniye] duraklat
7,on saniye duraklat,[time : on saniye] duraklat
8,tek ihtiyacımız olan pembe,tek ihtiyacımız olan [color_type : pembe]
9,burada ışıklandırmayı az daha sıcak yap,burada ışıklandırmayı az daha [color_type : sıcak] yap
10,lütfen aydınlatmayı okumaya uygun ayarla,lütfen aydınlatmayı [color_type : okumaya uygun] ayarla
11,ışıkları kapat lütfen,ışıkları kapat lütfen
12,yatma vakti,yatma vakti
13,uyku zamanı olly,uyku zamanı olly
14,ve karanlık çöktü,ve karanlık çöktü
15,banyodaki ışığı kapat,[house_place : banyodaki] ışığı kapat
16,olly holdeki ışığı kıs,olly [house_place : holdeki] ışığı kıs
17,koridordaki ışıkları kıs,[house_place : koridordaki] ışıkları kıs
18,yatak odasındaki ışıkları kapat,[house_place : yatak odasındaki] ışıkları kapat
19,olly yatak odasındaki ışıkları kapat,olly [house_place : yatak odasındaki] ışıkları kapat
20,ışıkları yüzde yirmi aç,ışıkları [change_amount : yüzde yirmi] aç
21,olly ışıkları yüzde yirmiye ayarla,olly ışıkları [change_amount : yüzde yirmiye] ayarla
22,olly mutfaktaki ışıkları kıs,olly [house_place : mutfaktaki] ışıkları kıs
23,mutfaktaki ışıkları kıs,[house_place : mutfaktaki] ışıkları kıs
24,odayı daha karanlık yap,[house_place : odayı] daha karanlık yap
25,olly daireyi temizle,olly [house_place : daireyi] temizle
26,daireyi temizle,[house_place : daireyi] temizle
27,burası çok pis biraz gürültü yap,burası çok pis biraz gürültü yap
28,evi süpür,[house_place : evi] süpür
29,olly evi süpür,olly [house_place : evi] süpür
30,temizlik iyidir toz çok kötü şimdi sihrini yap halımı temizle,temizlik iyidir toz çok kötü şimdi sihrini yap [house_place : halımı] temizle
