id,utt,annot_utt
0,maak my wakker om vyf v. m. die week,maak my wakker om [time : vyf v. m.] [date : die week]
1,maak my wakker nege-uur v. m. op vrydag,maak my wakker [time : nege-uur v. m.] op [date : vrydag]
2,stel 'n alarm vir twee ure van nou af,stel 'n alarm vir [time : twee ure van nou af]
3,stil,stil
4,janneman stilte,janneman stilte
5,stop,stop
6,janneman onderbreek dit vir tien sekondes,janneman onderbreek dit vir [time : tien sekondes]
7,stop vir tien sekondes,stop vir [time : tien sekondes]
8,pienk is al wat ons nodig het,[color_type : pienk] is al wat ons nodig het
9,maak die beligting bietjie meer warm hier,maak die beligting bietjie meer [color_type : warm] hier
10,stel asseblief die beligting geskik vir lees,stel asseblief die beligting [color_type : geskik vir lees]
11,skakel die ligte af asseblief,skakel die ligte af asseblief
12,tyd om te slaap,tyd om te slaap
13,tyd om te slaap janneman,tyd om te slaap janneman
14,en die donkerte het geval,en die donkerte het geval
15,skakel af die lig in die badkamer,skakel af die lig in die [house_place : badkamer]
16,olly verdof die ligte in die gang,olly verdof die ligte in die [house_place : gang]
17,verdof die ligte in die gang,verdof die ligte in die [house_place : gang]
18,skakel die ligte af in die slaapkamer,skakel die ligte af in die [house_place : slaapkamer]
19,janneman skakel die ligte af in die slaapkamer,janneman skakel die ligte af in die [house_place : slaapkamer]
20,stel die ligte na twintig persent,stel die ligte [change_amount : na twintig persent]
21,olly stel ligte tot twintig persent,olly stel ligte [change_amount : tot twintig persent]
22,olly verdof die ligte in die kombuis,olly verdof die ligte in die [house_place : kombuis]
23,verdof die ligte in die kombuis,verdof die ligte in die [house_place : kombuis]
24,maak die vertrek donkerder,maak die [house_place : vertrek] donkerder
25,janneman maak die woonstel skoon,janneman maak die [house_place : woonstel] skoon
26,maak die woonstel skoon,maak die [house_place : woonstel] skoon
27,dis vuil hier maak bietjie lawaai,dis vuil hier maak bietjie lawaai
28,stofsuig die huis,stofsuig die [house_place : huis]
29,stofsuig die huis olly,stofsuig die [house_place : huis] olly
30,skoonmaak is goed stof is so sleg doen nou jou towerkuns maak my mat skoon,skoonmaak is goed stof is so sleg doen nou jou towerkuns maak my [house_place : mat] skoon
31,maak skoon die gang,maak skoon die [house_place : gang]
32,stofsuig die matte,stofsuig die [house_place : matte]
33,kyk wanneer die vertoning begin,kyk wanneer die vertoning begin
34,ek will weer na 'n koos kombuis liedjie luister,ek will weer na 'n [artist_name : koos kombuis] liedjie luister
35,ek wil weer daardie musiek een speel,ek wil weer daardie [media_type : musiek] een speel
36,kyk my motor is gereed,kyk my motor is gereed
37,kyk of my skootrekenaar werk,kyk of my skootrekenaar werk
38,is die helderheid van my skerm laag,is die helderheid van my skerm laag
39,ek moet liggingsdienste aan hê kan jy kyk,ek moet liggingsdienste aan hê kan jy kyk
40,kyk die status van my krag verbruik,kyk die status van my krag verbruik
41,wat is die status van my skerm helderheid,wat is die status van my skerm helderheid
42,gee my die status van my beskikbare geheue,gee my die status van my beskikbare geheue
43,ek is nie moeg nie ek is eintlik gelukkig,ek is nie moeg nie ek is eintlik gelukkig
44,ollie ek is nie moeg nie ek is eintlik gelukkig,ollie ek is nie moeg nie ek is eintlik gelukkig
45,wat gaan aan,wat gaan aan
46,wat gaan aan olly,wat gaan aan olly
47,wat is die tyd in australië,wat is die tyd in [place_name : australië]
48,vertel my die tyd in moskou,vertel my die tyd in [place_name : moskou]
49,se vir my die tyd g. m. t. plus vyf,se vir my die tyd [time_zone : g. m. t. plus vyf]
50,olly sê vir my die tyd in g. m. t. plus vyf,olly sê vir my die tyd in [time_zone : g. m. t. plus vyf]
51,olly lys mees gegradeerde afleweringsopsies vir sjinese kos,olly lys mees gegradeerde [order_type : afleweringsopsies] vir [food_type : sjinese] kos
52,mees gegradeerde aflewering opsies vir chinese kos,mees gegradeerde [order_type : aflewering] opsies vir [food_type : chinese] kos
53,lys mees gegradeerde aflewerings opsies vir chinese kos,lys mees gegradeerde [order_type : aflewerings] opsies vir [food_type : chinese] kos
54,olly hoogste gegradeerde aflewerings opsies vir chinese kos,olly hoogste gegradeerde [order_type : aflewerings] opsies vir [food_type : chinese] kos
55,ek wil kerrie as wegneem hê enige aanbevelings,ek wil [food_type : kerrie] as wegneem hê enige aanbevelings
56,ek wil 'n bietjie kerrie hê om te gaan enige aanbevelings janneman,ek wil 'n bietjie [food_type : kerrie] hê om te gaan enige aanbevelings janneman
57,vind my taiwannese wegneemetes rondom die waterfront,vind my [food_type : taiwannese] [order_type : wegneemetes] rondom die [place_name : waterfront]
58,vind vir my thai wegneem etes naby newlands,vind vir my [food_type : thai] [order_type : wegneem] etes naby [place_name : newlands]
59,kanselleer my sewe v. m. alarm,kanselleer my [time : sewe v. m.] alarm
60,stop sewe-uur v. m. alarm,stop [time : sewe-uur v. m.] alarm
61,watter wekkers het ek gestel,watter wekkers het ek gestel
62,lys asseblief aktiewe alarms,lys asseblief aktiewe alarms
63,vertel my van my wekkers,vertel my van my wekkers
65,wat gebeur vandag in rugby,wat gebeur [date : vandag] in [news_topic : rugby]
66,speel asseblief yesterday van die beatles,speel asseblief [song_name : yesterday] van die [artist_name : beatles]
67,ek wil graag kurt darren se kaptein hoor,ek wil graag [artist_name : kurt darren] se [song_name : kaptein] hoor
68,speel vir my barcelona deur queen,speel vir my [song_name : barcelona] deur [artist_name : queen]
69,ek hou van rock musiek,ek hou van [music_genre : rock] musiek
70,my gunsteling musiek groep is queen,my gunsteling musiek groep is [artist_name : queen]
71,ek hou van senatra liedjies,ek hou van [artist_name : senatra] liedjies
72,begin musiek van nadine speel,begin musiek van nadine speel
73,speel asseblief my beste musiek,speel asseblief my beste musiek
74,wat is die groep wat nou speel,wat is die groep wat nou speel
75,wie het die musiek wat nou speel gekomponeer,wie het die musiek wat nou speel gekomponeer
76,wat is daardie die album is huidige musiek van,wat is daardie die album is huidige musiek van
77,olly ek geniet regtig hierdie liedjie,olly ek geniet regtig hierdie liedjie
78,die lied wat jy speel is wonderlik,die lied wat jy speel is wonderlik
79,dit is een van die beste liedjies vir my,dit is een van die beste liedjies vir my
80,stel ligte helderheid hoër,stel ligte helderheid hoër
81,maak ligte helderder,maak ligte helderder
82,verhoog asseblief die ligte voluit,verhoog asseblief die ligte [change_amount : voluit]
83,het skakel die stofsuier robot aan,het skakel die [device_type : stofsuier robot] aan
84,skakel die skoonmaker robot aan,skakel die [device_type : skoonmaker robot] aan
85,sê vir my vandag se datum,sê vir my [date : vandag se] datum
86,watter datum is dit vandag,watter datum is dit [date : vandag]
