id,utt,annot_utt
0,मुझे इस सप्ताह सुबह पांच बजे जगा दो,मुझे [date : इस सप्ताह] सुबह [time : पांच बजे] जगा दो
1,शुक्रवार को सुबह नौ बजे मुझे जगा दो,[date : शुक्रवार] को सुबह [time : नौ बजे] मुझे जगा दो
2,अभी से दो घंटे के लिए अलार्म लगाओ,[time : अभी से दो घंटे] के लिए अलार्म लगाओ
3,बंद करो,बंद करो
4,olly चुप रहो,olly चुप रहो
5,रुको,रुको
6,olly दस सेकंड के लिए रुको,olly [time : दस सेकंड] के लिए रुको
7,दस सेकंड के लिए रुकें,[time : दस सेकंड] के लिए रुकें
8,हमको गुलाबी ही चाहिए,हमको [color_type : गुलाबी] ही चाहिए
9,यहां रोशनी को थोड़ा अधिक गर्म करें,यहां रोशनी को थोड़ा अधिक [color_type : गर्म] करें
10,लाइट को पढ़ने के लिए उपयुक्त होने तक सेट करें,लाइट को [color_type : पढ़ने के लिए उपयुक्त] होने तक सेट करें
11,लाइट्स को बंद कर दो,लाइट्स को बंद कर दो
12,सोने का समय,सोने का समय
13,सोने का समय olly,सोने का समय olly
14,और अँधेरा छा गया,और अँधेरा छा गया
15,स्नानघर में बत्तियाँ बंद करें,[house_place : स्नानघर] में बत्तियाँ बंद करें
16,olly हॉल की लाइट्स को डिम कर दो,olly [house_place : हॉल] की लाइट्स को डिम कर दो
17,हॉल में रोशनी कम करें,[house_place : हॉल] में रोशनी कम करें
18,शयनकक्ष में बत्तियाँ बंद कर दें,[house_place : शयनकक्ष] में बत्तियाँ बंद कर दें
19,ओली शयनकक्ष में बत्तियाँ बंद कर दें,ओली [house_place : शयनकक्ष] में बत्तियाँ बंद कर दें
20,लाइट्स को बीस प्रतिशत पे सेट कर दो,लाइट्स को [change_amount : बीस प्रतिशत पे] सेट कर दो
21,olly लाइट्स को बीस प्रतिशत पर कर दो,olly लाइट्स को [change_amount : बीस प्रतिशत पर] कर दो
22,रसोईघर में बत्तियां कम करें olly,[house_place : रसोईघर] में बत्तियां कम करें olly
23,रसोई में रोशनी कम करें,[house_place : रसोई] में रोशनी कम करें
24,एक कमरे को गहरा बनाओ,एक [house_place : कमरे] को गहरा बनाओ
