id,utt,annot_utt
0,niamshe saa kumi na moja asubuhi hii wiki,niamshe [time : saa kumi na moja asubuhi] hii wiki
1,niamshe saa tatu asubuhi ijumaa,niamshe [time : saa tatu asubuhi] [date : ijumaa]
2,weka kengele ya masaa mawili kutoka sasa,weka kengele ya [time : masaa mawili kutoka sasa]
3,tulivu,tulivu
4,olly nyamaza,olly nyamaza
5,wacha,wacha
6,olly tuliza kwa sekunde kumi,olly tuliza kwa [time : sekunde kumi]
7,nyamazisha kwa sekunde kumi,nyamazisha kwa [time : sekunde kumi]
8,waridi ndio tunataka,[color_type : waridi] ndio tunataka
9,tengeneza umeme hapa iwe joto zaidi,tengeneza umeme hapa iwe [color_type : joto] zaidi
10,tafadhali weka taa yakufaa kusoma,tafadhali weka taa [color_type : yakufaa kusoma]
11,tafadhali zima taa,tafadhali zima taa
12,saa ya kulala,saa ya kulala
13,wakati wa kulala olly,wakati wa kulala olly
14,na giza imeanguka,na giza imeanguka
15,zima taa ndani ya bafu,zima taa ndani ya [house_place : bafu]
16,olly punguza taa kwenye ukumbi,olly punguza taa kwenye [house_place : ukumbi]
17,punguza mwangaza wa taa za ukumbi,punguza mwangaza wa taa za [house_place : ukumbi]
18,weka taa za chumba cha kulala katika hali ya kuzima,weka taa za [house_place : chumba cha kulala] katika hali ya kuzima
19,olly zima taa ndani ya chumba cha malazi,olly zima taa ndani ya [house_place : chumba cha malazi]
20,weka taa hadi asilimia ishirini,weka taa [change_amount : hadi asilimia ishirini]
21,olly weka taa ziwe asilimia ishirini,olly weka taa ziwe [change_amount : asilimia ishirini]
22,punguza mwangaza jikoni olly,punguza mwangaza [house_place : jikoni] olly
23,punguza mwangaza wa taa jikoni,punguza mwangaza wa taa [house_place : jikoni]
24,fanya chumba kiwe na giza zaidi,fanya [house_place : chumba] kiwe na giza zaidi
25,olly safisha gorofa,olly safisha [house_place : gorofa]
26,safisha gorofa,safisha [house_place : gorofa]
27,hapa kuna uchafu piga kelele,hapa kuna uchafu piga kelele
28,fyonza nyumba,fyonza [house_place : nyumba]
29,safisha nyumba olly,safisha [house_place : nyumba] olly
30,kusafisha ni vumbi nzuri ni mbaya sana sasa uchawi wako safi zulia,kusafisha ni vumbi nzuri ni mbaya sana sasa uchawi wako safi [house_place : zulia]
31,pita barabara ya ukumbi,pita [house_place : barabara ya ukumbi]
32,safisha mazulia pande zote,safisha [house_place : mazulia] pande zote
33,angalia wakati onyesho linaanza,angalia wakati onyesho linaanza
34,cheza tena wimbo wa sauti sol,cheza tena wimbo wa [artist_name : sauti sol]
35,nataka kucheza ile muziki tena,nataka kucheza ile [media_type : muziki] tena
36,angalia gari langu liko tayari,angalia gari langu liko tayari
37,angalia laptop yangu inafanya kazi,angalia laptop yangu inafanya kazi
38,mwangaza wa skrini yangu inaenda chini,mwangaza wa skrini yangu inaenda chini
39,nahitaji kuwasha huduma za eneo unaweza kuangalia,nahitaji kuwasha huduma za eneo unaweza kuangalia
40,angalia hali ya matumizi yangu ya nguvu,angalia hali ya matumizi yangu ya nguvu
41,nataka hali kwa kioo changu cha mwangaza,nataka hali kwa kioo changu cha mwangaza
42,nipe hadhi kwenye kumbukumbu yangu inayopatikana,nipe hadhi kwenye kumbukumbu yangu inayopatikana
43,sijachoka nina furaha kwa kweli,sijachoka nina furaha kwa kweli
44,olly sijachoka nina furaha kweli,olly sijachoka nina furaha kweli
45,vipi,vipi
46,kuna nini olly,kuna nini olly
47,saa ngapi huko australia,saa ngapi huko [place_name : australia]
48,niambie saa huko nairobi,niambie saa huko [place_name : nairobi]
49,niambie wakati wa g. m. t. pamoja na tano,niambie wakati wa [time_zone : g. m. t.] pamoja [time_zone : na tano]
50,niambie wakati wa g. m. t. pamoja na tano,niambie wakati wa [time_zone : g. m. t. pamoja na tano]
51,olly orodhesha chaguzi zilizotathminiwa zaidi za kuwasilisha chakula cha kichina,olly orodhesha chaguzi zilizotathminiwa zaidi za [order_type : kuwasilisha] chakula cha [food_type : kichina]
52,chaguzi za utoaji zilizokadiriwa zaidi kwa chakula cha swahili,chaguzi za [order_type : utoaji] zilizokadiriwa zaidi kwa chakula cha [food_type : swahili]
53,orodhesha chaguzi za kuwasilisha chakula cha kichina zilizotathminiwa zaidi,orodhesha chaguzi za [order_type : kuwasilisha] chakula cha [food_type : kichina] zilizotathminiwa zaidi
54,olly huduma za kupeleka zilizokadiriwa zaidi kwa swahili dish,olly [order_type : huduma za kupeleka] zilizokadiriwa zaidi kwa [food_type : swahili dish]
55,nataka baadhi ya chakula kwenda mapendekezo yoyote,nataka baadhi ya [food_type : chakula] kwenda mapendekezo yoyote
56,nataka chakula mapendekezo yoyote maimuna,nataka [food_type : chakula] mapendekezo yoyote maimuna
57,kupata yangu kutoa nje biriani karibu na nairobi,kupata yangu [order_type : kutoa nje] [food_type : biriani] karibu na [place_name : nairobi]
58,nitafutie mikahawa yangu inayouza chakula cha kiafrika cha kubeba katika eneo la village market,nitafutie mikahawa yangu inayouza chakula [food_type : cha kiafrika] [order_type : cha kubeba] katika eneo la [place_name : village market]
59,futa kengele yangu ya saa moja asubuhi,futa kengele yangu ya [time : saa moja asubuhi]
60,simamisha kengele ya saa moja asubuhi,simamisha kengele ya [time : saa moja asubuhi]
61,kengele gani nimeweka,kengele gani nimeweka
62,tafadhali orodhesha kengele zinazotumika,tafadhali orodhesha kengele zinazotumika
63,niambie kuhusu kengele zangu,niambie kuhusu kengele zangu
65,nini inaendelea kwenye kandanda leo,nini inaendelea kwenye [news_topic : kandanda] [date : leo]
66,cheza muziki kiasi cha jua cali,cheza muziki [song_name : kiasi] cha [artist_name : jua cali]
67,naweza penda kusikia les wanyika kasuku,naweza penda kusikia [artist_name : les wanyika] [song_name : kasuku]
68,nichezee yalah ya mbosso,nichezee [song_name : yalah] ya [artist_name : mbosso]
69,mimi napenda muziki wa rock,mimi napenda muziki wa [music_genre : rock]
70,bendi ninayoipenda zaidi ya muziki ni queen,bendi ninayoipenda zaidi ya muziki ni [artist_name : queen]
71,mimi napenda nyimbo za nadia mukami,mimi napenda nyimbo za [artist_name : nadia mukami]
72,anza kucheza muziki kutoka bahati,anza kucheza muziki kutoka bahati
73,tafadhali cheza muziki wangu bora zaidi,tafadhali cheza muziki wangu bora zaidi
74,ni bendi gani inacheza sasa,ni bendi gani inacheza sasa
75,ni nani mwandishi wa saa hizi wa muziki,ni nani mwandishi wa saa hizi wa muziki
76,ni hiyo ambacho albamu hii ni muziki wa sasa kutoka,ni hiyo ambacho albamu hii ni muziki wa sasa kutoka
77,kwa kweli nafurahia mziki hii,kwa kweli nafurahia mziki hii
78,wimbo wewe unaocheza ni wa ajabu,wimbo wewe unaocheza ni wa ajabu
79,hiini moja ya nyimbo nzuri kwangu,hiini moja ya nyimbo nzuri kwangu
80,weka mwangaza wa taa juu zaidi,weka mwangaza wa taa juu zaidi
81,fanya taa kung'aa zaidi,fanya taa kung'aa zaidi
82,ongeza mwanga wa taa hadi kiwango cha juu,ongeza mwanga wa taa [change_amount : hadi kiwango cha juu]
83,samahani anzisha kifyonzi cha roboti,samahani anzisha [device_type : kifyonzi cha roboti]
84,washa roboti ya usafi,washa [device_type : roboti ya usafi]
85,niambie tarehe ya leo,niambie tarehe ya [date : leo]
86,leo ni tarehe ngapi,[date : leo] ni tarehe ngapi
87,tafadhali agiza chapati kama chajio,tafadhali agiza [food_type : chapati] kama [meal_type : chajio]
88,hujambo naomba uagize mkate,hujambo naomba uagize [food_type : mkate]
89,je unaweza agiza pilau iwe chajio cha usiku,je unaweza agiza [food_type : pilau] iwe [meal_type : chajio] cha [timeofday : usiku]
90,ni nini kilicho kwenye agizo langu la chajio,ni nini kilicho kwenye agizo langu la chajio
91,naweza kuagiza kuchukua chakula cha jioni kutoka jumia,naweza kuagiza [order_type : kuchukua] [meal_type : chakula cha jioni] kutoka [business_name : jumia]
92,je mama nitilie ukubali kuchukua,je [business_name : mama nitilie] ukubali [order_type : kuchukua]
93,weka kengele ya saa sita mchana,weka kengele ya [time : saa sita mchana]
94,weka kengele dakika arobaini kutoka sasa,weka kengele [time : dakika arobaini kutoka sasa]
95,weka kengele ya saa mbili kila siku ya wiki,weka kengele ya [time : saa mbili] [general_frequency : kila siku ya wiki]
96,je mvua inanyesha,je mvua [weather_descriptor : inanyesha]
97,je mvua itanyesha,je mvua [weather_descriptor : itanyesha]
98,kuna theluji sasa,kuna [weather_descriptor : theluji] sasa
99,utabiri wa wiki ni nini,utabiri wa [time : wiki] ni nini
100,nini utabiri wa wiki,nini utabiri wa [time : wiki]
101,wiki hii hali ya hewa ikoje,[date : wiki hii] hali ya hewa ikoje
102,hali ya hewa ya wiki hii iko aje,hali ya hewa [date : ya wiki hii] iko aje
103,niambie hali ya hewa wiki hii,niambie hali ya hewa [date : wiki hii]
104,niambie habari za k. b. c.,niambie habari za [media_type : k. b. c.]
105,kuna habari gani kwenye b. b. c. news,kuna habari gani kwenye [media_type : b. b. c.] news
106,ni habari zipi za k. b. c. za karibuni,ni habari zipi za [media_type : k. b. c.] za karibuni
107,cheza rhumba japani,cheza [song_name : rhumba japani]
108,cheza wimbo mimi nina penda,cheza wimbo mimi nina penda
109,cheza moyo wangu,cheza [song_name : moyo wangu]
110,cheza sailors,cheza [artist_name : sailors]
111,kuweka juu ya baadhi ya baridi,kuweka juu ya baadhi ya [artist_name : baridi]
112,cheza baadhi ya nadia mukami,cheza baadhi ya [artist_name : nadia mukami]
113,weka ngoma hii ijirudie,weka ngoma hii [player_setting : ijirudie]
114,changanya hii orodha ya kucheza,[player_setting : changanya] hii orodha ya kucheza
115,weka sauti iwe chini,weka sauti iwe [change_amount : chini]
116,nini inacheza,nini inacheza
117,huu ni muziki upi,huu ni muziki upi
118,niambie msanii wa huu wimbo,niambie msanii wa huu wimbo
119,nichekeshe,nichekeshe
120,olly nichekeshe,olly nichekeshe
121,niambie utani mzuri,niambie utani [joke_type : mzuri]
122,tuma giggle njia yangu,tuma giggle njia yangu
123,niambia utani,niambia utani
124,olly niambie utani,olly niambie utani
125,alexa niambie mzaha,alexa niambie mzaha
126,nifurahishe,nifurahishe
127,leo ni siku gani,[date : leo] ni siku gani
128,tarehe ngapi,tarehe ngapi
129,niambie kuhusu leo,niambie kuhusu [date : leo]
130,agiza piza,agiza [food_type : piza]
131,niagizie pilau kutoka jumia,niagizie [food_type : pilau] kutoka [business_name : jumia]
132,agiza ya kuchukua,agiza [order_type : ya kuchukua]
133,ni lini agizo langu inawasili,ni lini agizo langu inawasili
134,muda gani hadi kuchukua kwangu,muda gani hadi [order_type : kuchukua] kwangu
135,hali ya domino's ya kuwasilisha,hali ya [business_name : domino's] ya [order_type : kuwasilisha]
136,nini inacheza,nini inacheza
137,niambie jina la wimbo huu,niambie jina la wimbo huu
138,huo ni wimbo upi,huo ni wimbo upi
139,cheza jazi yangu kwa orodha ya kucheza muziki,cheza [music_genre : jazi] yangu kwa orodha ya kucheza muziki
140,anza orodha ya kucheza yangu ya jazi,anza orodha ya kucheza yangu ya [music_genre : jazi]
141,cheza orodha yangu ya kucheza ninayopendelea,cheza orodha yangu ya kucheza ninayopendelea
142,huo ni wimbo mzuri,huo ni wimbo mzuri
143,siipendi,siipendi
144,naipenda,naipenda
145,mimi napenda jazz,mimi napenda [music_genre : jazz]
146,unaweza kucheza baadhi ya lingala,unaweza kucheza baadhi ya [music_genre : lingala]
147,napenda kusikiza rege,napenda kusikiza [music_genre : rege]
148,olly napenda kusikiliza jazz,olly napenda kusikiliza [music_genre : jazz]
149,wimbo huu ulikuwa mzuri sana,wimbo huu ulikuwa mzuri sana
150,mimi napenda wimbo huu,mimi napenda wimbo huu
151,cheza hiyo tena tafadhali,cheza hiyo tena tafadhali
152,badilisha tambo,badilisha tambo
153,changanya,[player_setting : changanya]
154,mipangilio ya kuhifadhi,mipangilio ya kuhifadhi
155,weka mwangaza iwe asilimia hamsini,weka mwangaza [change_amount : iwe asilimia hamsini]
156,punguza kiwango cha mwangaza,punguza kiwango cha mwangaza
157,punguza mwangaza,punguza mwangaza
158,punguza mwangaza wa taa,punguza mwangaza wa taa
159,punguza ung'avu,punguza ung'avu
160,punguza mwangaza wa taa,punguza mwangaza wa taa
161,olly punguza mwangaza wa taa,olly punguza mwangaza wa taa
162,nitengenzee kahawa,nitengenzee kahawa
163,olly nitengenezee kahawa,olly nitengenezee kahawa
164,nahitaji kahawa,nahitaji kahawa
165,napenda kahawa sasa,napenda kahawa sasa
166,habari yako,habari yako
167,hujambo,hujambo
168,je wanatoa chakula cha kubeba,je wanatoa [order_type : chakula cha kubeba]
169,wanaweza kufanya wasilishwa,wanaweza kufanya [order_type : wasilishwa]
170,huwa wanafanya huduma ya kubebwa,huwa wanafanya huduma [order_type : ya kubebwa]
171,olly wanapeleka nyumbani,olly [order_type : wanapeleka] nyumbani
172,weka kengele saa nne asubuhi,weka kengele [time : saa nne asubuhi]
173,weka kengele kesho saa kumi na mbili asubuhi,weka kengele [date : kesho] [time : saa kumi na mbili asubuhi]
174,weka ku amka alhamisi saa moja asubuhi,weka ku amka [date : alhamisi] [time : saa moja asubuhi]
175,niambie habari za hivi punde za teknolojia,niambie habari za hivi punde za [news_topic : teknolojia]
176,niambie habari za hivi punde za teknolojia,niambie habari za hivi punde za [news_topic : teknolojia]
177,niambie habari za biashara,niambie habari za [news_topic : biashara]
178,niambie habari za kimataifa,niambie habari za [place_name : kimataifa]
179,niambie hali ya hewa,niambie hali ya hewa
180,hali ya hewa iko aje sasa,hali ya hewa iko aje sasa
181,je mvua inanyesha sahizi,je mvua [weather_descriptor : inanyesha] sahizi
182,cheza orodha ya kucheza yangu ya benga,cheza orodha ya kucheza yangu ya [music_genre : benga]
183,washa orodha ya kucheza yangu ya lava lava,washa orodha ya kucheza yangu ya [artist_name : lava lava]
184,nichezee michael jackson kwenye orodha yangu,nichezee [artist_name : michael jackson] kwenye orodha yangu
185,fungua orodha yangu ya kucheza na ucheze wimbo wa tatu kwa orodha,fungua orodha yangu ya kucheza na ucheze wimbo wa tatu kwa orodha
186,cheza wimbo wa mwisho kutoka kwa orodha ya kucheza ninayopenda,cheza [song_name : wimbo wa mwisho] kutoka kwa orodha ya kucheza ninayopenda
