id,utt,annot_utt
0,kejutkan saya pukul lima pagi minggu ini,kejutkan saya pukul [time : lima pagi] [date : minggu ini]
1,kejutkan saya pada pukul sembilan pagi hari jumaat,kejutkan saya pada pukul [time : sembilan pagi] hari [date : jumaat]
2,tetapkan penggera untuk dua jam dari sekarang,tetapkan penggera untuk [time : dua jam dari sekarang]
3,senyap,senyap
4,alexa senyap,alexa senyap
5,berhenti,berhenti
6,siri berhenti seketika selama sepuluh saat,siri berhenti seketika selama [time : sepuluh saat]
7,berhenti seketika selama sepuluh saat,berhenti seketika selama [time : sepuluh saat]
8,merah jambu sahaja yang saya perlukan,[color_type : merah jambu] sahaja yang saya perlukan
9,buatkan lampu lebih cerah sedikit di sini,buatkan lampu lebih [color_type : cerah] sedikit di sini
10,tolong tetapkan pencahayaan yang sesuai untuk membaca,tolong tetapkan pencahayaan yang [color_type : sesuai untuk membaca]
11,tolong padamkan lampu lampu,tolong padamkan lampu lampu
12,masa untuk tidur,masa untuk tidur
13,masa untuk tidur siti,masa untuk tidur siti
14,dan kegelapan menjelma,dan kegelapan menjelma
15,tutup lampu bilik mandi,tutup lampu [house_place : bilik mandi]
16,olly malapkan lampu lampu di ruang legar,olly malapkan lampu lampu di [house_place : ruang legar]
17,malapkan lampu di ruang tamu,malapkan lampu di [house_place : ruang tamu]
18,padamkan lampu di bilik tidur,padamkan lampu di [house_place : bilik tidur]
19,olly padamkan lampu di bilik tidur,olly padamkan lampu di [house_place : bilik tidur]
20,aturkan lampu ke dua puluh peratus,aturkan lampu [change_amount : ke dua puluh peratus]
21,olly tetapkan lampu kepada dua puluh peratus,olly tetapkan lampu [change_amount : kepada dua puluh peratus]
22,olly malapkan lampu dapur,olly malapkan lampu [house_place : dapur]
23,malapkan lampu dapur,malapkan lampu [house_place : dapur]
24,jadikan satu bilik lebih gelap,jadikan satu [house_place : bilik] lebih gelap
25,olly bersihkan flat,olly bersihkan [house_place : flat]
26,bersihkan rumah pangsa,bersihkan [house_place : rumah pangsa]
27,kotor di sini bukat sedikit bunyi,kotor di sini bukat sedikit bunyi
28,vakum rumah,vakum [house_place : rumah]
29,vakum rumah,vakum [house_place : rumah]
30,membersihkan itu baik habuk itu buruk sila buat magik sekarang bersihkan karpet saya,membersihkan itu baik habuk itu buruk sila buat magik sekarang bersihkan [house_place : karpet] saya
31,hoover ruang depan,hoover [house_place : ruang depan]
32,bersihkan karpet itu,bersihkan [house_place : karpet] itu
33,semak bila pertunjukan bermula,semak bila pertunjukan bermula
34,saya nak dengar lagu ruffedge sekali lagi,saya nak dengar lagu [artist_name : ruffedge] sekali lagi
35,saya nak main muzik itu sekali lagi,saya nak main [media_type : muzik] itu sekali lagi
36,periksa samada kereta saya telah tersedia,periksa samada kereta saya telah tersedia
37,semak laptop saya berfungsi,semak laptop saya berfungsi
38,adakah kecerahan skrin saya semakin malap,adakah kecerahan skrin saya semakin malap
39,saya perlu mempunyai perkhidmatan lokasi boleh anda semak,saya perlu mempunyai perkhidmatan lokasi boleh anda semak
40,semak tahap penggunaan tenaga saya,semak tahap penggunaan tenaga saya
41,saya mahukan status pada kecerahan skrin saya,saya mahukan status pada kecerahan skrin saya
42,berikan saya status memori saya yang tinggal,berikan saya status memori saya yang tinggal
43,saya tidak letih tetapi gembira,saya tidak letih tetapi gembira
44,olly saya tidak penat saya sebenarnya gembira,olly saya tidak penat saya sebenarnya gembira
45,apa khabar,apa khabar
46,apa khabar olly,apa khabar olly
47,pukul berapa di malaysia,pukul berapa di [place_name : malaysia]
48,beritahu saya masa di seremban,beritahu saya masa di [place_name : seremban]
49,beritahu saya waktu di g. m. t. campur lima,beritahu saya waktu di [time_zone : g. m. t. campur lima]
50,olly beritahu saya waktu di g. m. t. tambah lima,olly beritahu saya waktu di [time_zone : g. m. t. tambah lima]
51,olly senaraikan pilihan penghantaran yang paling bagus untuk makanan cina,olly senaraikan pilihan [order_type : penghantaran] yang paling bagus untuk makanan [food_type : cina]
52,pilihan penghantaran paling dipilih untuk makanan cina,pilihan [order_type : penghantaran] paling dipilih untuk makanan [food_type : cina]
53,senaraikan pilihan penghantaran makanan melayu terbaik,senaraikan pilihan [order_type : penghantaran] makanan [food_type : melayu] terbaik
54,olly kedai makanan melayu yang ada pilihan penghantaran,olly kedai makanan [food_type : melayu] yang ada pilihan [order_type : penghantaran]
55,saya nak cadangan yang sesuai dimakan dengan kari,saya nak cadangan yang sesuai dimakan dengan [food_type : kari]
56,saya mahu makan kari untuk bawa pulang ada sebarang cadangan,saya mahu makan [food_type : kari] untuk bawa pulang ada sebarang cadangan
57,cari makanan tapau melayu saya di sekitar pasar satok,cari makanan [order_type : tapau] [food_type : melayu] saya di sekitar [place_name : pasar satok]
58,cari makanan melayu yang boleh ditapau untuk saya di matang jaya,cari makanan [food_type : melayu] yang boleh [order_type : ditapau] untuk saya di [place_name : matang jaya]
59,batalkan penggera saya pada jam tujuh pagi,batalkan penggera saya pada jam [time : tujuh pagi]
60,hentikan penggera tujuh pagi,hentikan penggera [time : tujuh pagi]
61,penggera apa yang saya dah tetapkan,penggera apa yang saya dah tetapkan
62,sila senaraikan penggera yang aktif,sila senaraikan penggera yang aktif
63,beritahu saya tentang penggera saya,beritahu saya tentang penggera saya
65,apa yang berlaku berkenaan bola sepak hari ini,apa yang berlaku berkenaan [news_topic : bola sepak] [date : hari ini]
66,tolong mainkan lagu semalam dari beatles,tolong mainkan lagu [song_name : semalam] dari [artist_name : beatles]
67,saya nak dengar search isabella,saya nak dengar [artist_name : search] [song_name : isabella]
68,mainkan saya isabella oleh search,mainkan saya [song_name : isabella] oleh [artist_name : search]
69,saya suka muzik rock,saya suka muzik [music_genre : rock]
70,kugiran muzik kegemaran saya adalah goldfish blink,kugiran muzik kegemaran saya adalah goldfish [artist_name : blink]
71,saya suka lagu senatra,saya suka lagu [artist_name : senatra]
72,mula mainkan muzik kegemaran saya,mula mainkan muzik kegemaran saya
73,tolong mainkan saya punya muzik terbaik,tolong mainkan saya punya muzik terbaik
74,kumpulan apa yang sedang dimainkan sekarang,kumpulan apa yang sedang dimainkan sekarang
75,siapa pengarang muzik semasa,siapa pengarang muzik semasa
76,dari apa album itu adalah muzik semasa,dari apa album itu adalah muzik semasa
77,olly saya sangat menikmati lagu ini,olly saya sangat menikmati lagu ini
78,lagu awak mainkan amat menarik,lagu awak mainkan amat menarik
79,ini antara lagu yang terbaik untuk saya,ini antara lagu yang terbaik untuk saya
80,tetapkan kecerahan lampu lebih tinggi,tetapkan kecerahan lampu lebih tinggi
81,jadikan lampu lebih cerah,jadikan lampu lebih cerah
82,tolong naikkan kecerahan lampu kepada maksimum,tolong naikkan kecerahan lampu [change_amount : kepada maksimum]
83,hei hidupkan robot pembersih vakum,hei hidupkan [device_type : robot pembersih vakum]
84,hidupkan robot pembersih,hidupkan [device_type : robot pembersih]
85,beritahu saya tarikh hari ini,beritahu saya tarikh [date : hari ini]
86,apakah tarikh hari ini,apakah tarikh [date : hari ini]
87,tolong pesankan roti jantan untuk makan malam,tolong pesankan [food_type : roti jantan] untuk [meal_type : makan malam]
88,hei saya nak awak pesankan burger,hei saya nak awak pesankan [food_type : burger]
89,boleh awak pesankan sushi untuk makan malam ini,boleh awak pesankan [food_type : sushi] untuk [meal_type : makan malam] ini
90,kenapa dengan pesanan makan malam saya,kenapa dengan pesanan makan malam saya
91,boleh saya pesan makan malam bungkus dari leeyas corner,boleh saya pesan [meal_type : makan malam] [order_type : bungkus] dari [business_name : leeyas corner]
92,kat chicago seven boleh tapau tak,kat [business_name : chicago seven] boleh [order_type : tapau] tak
93,tetapkan penggera untuk dua belas,tetapkan penggera untuk [time : dua belas]
94,tetapkan penggera empat puluh minit dari sekarang,tetapkan penggera [time : empat puluh minit dari sekarang]
95,tetapkan penggera pukul lapan setiap hari isnin hingga jumaat,tetapkan penggera pukul [time : lapan] [general_frequency : setiap hari isnin hingga jumaat]
96,adakah sedang hujan,adakah sedang [weather_descriptor : hujan]
97,hari nak hujan ke,hari nak [weather_descriptor : hujan] ke
98,sekarang tengah hujan ke,sekarang tengah [weather_descriptor : hujan] ke
99,apakah ramalan cuaca minggu ini,apakah ramalan cuaca [time : minggu] ini
100,apakah ramalan minggu ini,apakah ramalan [time : minggu] ini
101,macam mana cuaca minggu ini,macam mana cuaca [date : minggu ini]
102,macam mana cuaca minggu ini,macam mana cuaca [date : minggu ini]
103,beritahu saya cuaca minggu ini,beritahu saya cuaca [date : minggu ini]
104,beritahu saya berita harian,beritahu saya [media_type : berita harian]
105,apa berita di berita awani,apa berita di berita [media_type : awani]
106,apakah berita terkini awani,apakah berita terkini [media_type : awani]
107,mainkan hati terluka,mainkan [song_name : hati terluka]
108,mainkan lagu yang saya suka,mainkan lagu yang saya suka
109,pasangkan lagu ratu,pasangkan lagu [song_name : ratu]
110,mainkan innuendo,mainkan [artist_name : innuendo]
111,mainkan lagu coldplay,mainkan lagu [artist_name : coldplay]
112,main beberapa yang jamal abdillah,main beberapa yang [artist_name : jamal abdillah]
113,ulang trek ini,[player_setting : ulang] trek ini
114,main secara rambang senarai main ini,main [player_setting : secara rambang] senarai main ini
115,tetapkan kelantangan kepada rendah,tetapkan kelantangan [change_amount : kepada rendah]
116,apa yang sedang dimainkan,apa yang sedang dimainkan
117,apakah muzik ini,apakah muzik ini
118,beritahu saya artis untuk lagu ini,beritahu saya artis untuk lagu ini
119,buat saya ketawa,buat saya ketawa
120,olly membuatkan saya ketawa,olly membuatkan saya ketawa
121,beritahu saya jenaka yang bagus,beritahu saya jenaka yang [joke_type : bagus]
122,buat saya ketawa,buat saya ketawa
123,beritahu saya satu jenaka,beritahu saya satu jenaka
124,olly beritahu saya satu jenaka,olly beritahu saya satu jenaka
125,alexa beritahu saya satu jenaka,alexa beritahu saya satu jenaka
126,gembirakan saya,gembirakan saya
127,hari ini hari apa,[date : hari ini] hari apa
128,apakah tarikh hari ini,apakah tarikh hari ini
129,beritahu saya tentang hari ini,beritahu saya tentang [date : hari ini]
130,oesankan piza,oesankan [food_type : piza]
131,pesankan nasi lemak dari wanjo,pesankan [food_type : nasi lemak] dari [business_name : wanjo]
132,pesankan makanan tapau,pesankan makanan [order_type : tapau]
133,bila tempahan saya nak sampai,bila tempahan saya nak sampai
134,bila makanan bungkus saya nak sampai,bila makanan [order_type : bungkus] saya nak sampai
135,status penghantaran sugarbun,status [order_type : penghantaran] [business_name : sugarbun]
136,apa yang dimainkan,apa yang dimainkan
137,beritahu saya nama lagu itu,beritahu saya nama lagu itu
138,apakah lagu itu,apakah lagu itu
139,mainkan senarai main jazz saya,mainkan senarai main [music_genre : jazz] saya
140,mulakan senarai main jazz saya,mulakan senarai main [music_genre : jazz] saya
141,mainkan senarai mainan saya punya yang amat digemari,mainkan senarai mainan saya punya yang amat digemari
142,itu lagu yang bagus,itu lagu yang bagus
143,saya tak sukanya,saya tak sukanya
144,saya suka ia,saya suka ia
145,saya suka jazz,saya suka [music_genre : jazz]
146,boleh kah anda main beberapa jazz,boleh kah anda main beberapa [music_genre : jazz]
147,saya suka dengar jazz,saya suka dengar [music_genre : jazz]
148,olly saya suka dengar jazz,olly saya suka dengar [music_genre : jazz]
149,lagu ini sangat bagus,lagu ini sangat bagus
150,saya suka lagu ini,saya suka lagu ini
151,mainkan ia lagi sekali,mainkan ia lagi sekali
152,tukar kelantangan,tukar kelantangan
153,bolehkan rawak,bolehkan [player_setting : rawak]
154,simpan tetapan,simpan tetapan
155,tetapkan kecerahan kepada lima puluh peratus,tetapkan kecerahan [change_amount : kepada lima puluh peratus]
156,kurangkan kecerahan nya,kurangkan kecerahan nya
157,kurangkan kecerahan,kurangkan kecerahan
158,malapkan lampu,malapkan lampu
159,kurangkan kecerahan,kurangkan kecerahan
160,malapkan lampu,malapkan lampu
161,olly malapkan lampu,olly malapkan lampu
162,buatkan saya satu kopi,buatkan saya satu kopi
163,siti buat kopi untuk saya,siti buat kopi untuk saya
164,saya nak kopi,saya nak kopi
165,saya nak beberapa kopi sekarang,saya nak beberapa kopi sekarang
166,apa khabar awak,apa khabar awak
167,hei hei,hei hei
168,kat situ boleh tapau ke,kat situ boleh [order_type : tapau] ke
169,mereka boleh buat penghantaran tak,mereka boleh buat [order_type : penghantaran] tak
170,mereka buat penghantaran ke rumah tak,mereka buat [order_type : penghantaran] ke rumah tak
171,olly mereka ada buat penghantaran ke rumah tak,olly mereka ada buat [order_type : penghantaran] ke rumah tak
172,tetapkan penggera pukul sepuluh pagi,tetapkan penggera pukul [time : sepuluh pagi]
173,tetapkan penggera pukul enam pagi esok,tetapkan penggera pukul [time : enam pagi] [date : esok]
174,tetapkan bangun hari khamis pukul tujuh pagi,tetapkan bangun hari [date : khamis] pukul [time : tujuh pagi]
175,beritahu saya berita teknologi terkini,beritahu saya berita [news_topic : teknologi] terkini
176,beritahu saya berita teknologi terkini,beritahu saya berita [news_topic : teknologi] terkini
177,beritahu saya beberapa berita perniagaan,beritahu saya beberapa berita [news_topic : perniagaan]
178,beritahu sata berita antarabangsa,beritahu sata berita [place_name : antarabangsa]
179,beritahu saya keadaan cuaca,beritahu saya keadaan cuaca
180,macam mana cuaca sekarang,macam mana cuaca sekarang
181,sekarang tengah hujan ke,sekarang tengah [weather_descriptor : hujan] ke
182,mainkan senarai main rock saya,mainkan senarai main [music_genre : rock] saya
183,hidupkan senarai audio michael jackson saya,hidupkan senarai audio [artist_name : michael jackson] saya
184,mainkan nora daripada saya punya senarai main,mainkan [artist_name : nora] daripada saya punya senarai main
185,buka senarai main saya dan mainkan lagu ketiga dalam baris gilir,buka senarai main saya dan mainkan lagu ketiga dalam baris gilir
186,mainkan salam terakhir daripada senarai main kegemaran saya,mainkan [song_name : salam terakhir] daripada senarai main kegemaran saya
187,kuatkan kelantangan,kuatkan kelantangan
188,kuatkan,kuatkan
189,bisukan bunyi,bisukan bunyi
190,hidupkan palam,hidupkan [device_type : palam]
191,hidupkan plag,hidupkan [device_type : plag]
192,hidupkan plag saya,hidupkan [device_type : plag] saya
193,beritahu saya beberapa lawak,beritahu saya beberapa lawak
194,awak tahu apa apa lawak tak,awak tahu apa apa lawak tak
195,pukul berapa,pukul berapa
196,beritahu saya masa,beritahu saya masa
197,apakah waktu sekarang,apakah waktu sekarang
198,kat pezzo boleh tapau tak,kat [food_type : pezzo] boleh [order_type : tapau] tak
199,boleh tapau tak kat kedai roti john kegemaran saya,boleh [order_type : tapau] tak kat kedai [food_type : roti john] kegemaran saya
200,boleh saya pesan makanan bungkus dari restoran sepanyol,boleh saya pesan [order_type : makanan bungkus] dari restoran [food_type : sepanyol]
201,padam penggera yang saya baru tetapkan,padam penggera yang saya baru tetapkan
202,padamkan alarm itu,padamkan alarm itu
203,tunjuk penggera penggera yang saya telah pasang,tunjuk penggera penggera yang saya telah pasang
204,adakah saya mempunyai mana mana penggera,adakah saya mempunyai mana mana penggera
205,tunjukkan penggera,tunjukkan penggera
206,macam mana cuaca di kajang,macam mana cuaca di [place_name : kajang]
207,beritahu saya cuaca di penang,beritahu saya cuaca di [place_name : penang]
209,tolong buatkan lampu mesra membaca,tolong buatkan lampu [color_type : mesra membaca]
210,tolong jadikan lampu mesra tontonan,tolong jadikan lampu [color_type : mesra tontonan]
211,buat bilik lebih cerah,buat [house_place : bilik] lebih cerah
212,dan lampu pun menyala,dan lampu pun menyala
213,apa tarikh hari ini,apa tarikh [date : hari ini]
214,hari ini hari apa,[date : hari ini] hari apa
215,beritahu saya satu tarikh,beritahu saya satu tarikh
216,macam mana cuaca hari ini,macam mana cuaca [date : hari ini]
217,adakah hujan di luar,adakah [weather_descriptor : hujan] di luar
218,adakah di luar sedang hujan,adakah di luar [weather_descriptor : sedang hujan]
219,patutkah saya bawa payung esok,patutkah saya bawa [weather_descriptor : payung] [date : esok]
220,mainkan music dari senarai main lagu rock,mainkan music dari [playlist_name : senarai main lagu rock]
221,tukarkan lampu kepada hijau,tukarkan lampu kepada [color_type : hijau]
222,tambah lagu ni ke senarai kegemaran saya,tambah lagu ni ke senarai kegemaran saya
223,lagu apakah ini,lagu apakah ini
224,olly tutup lampu,olly tutup lampu
225,padamkan lampu,padamkan lampu
226,sila bersihkan lantai,sila bersihkan [house_place : lantai]
227,hidupkan soket periuk nasi,hidupkan [device_type : soket periuk nasi]
228,tutup soket periuk nasi,tutup [device_type : soket periuk nasi]
229,apakah waktu di petaling jaya,apakah waktu di [place_name : petaling jaya]
230,apakah waktu di kuala lumpur,apakah waktu di [place_name : kuala lumpur]
231,boleh awak tolong pesankan sushi dari foodpanda,boleh awak tolong pesankan [food_type : sushi] dari [business_name : foodpanda]
232,tetapkan penggera pada pukul enam pagi,tetapkan penggera pada pukul [time : enam] [timeofday : pagi]
233,tetapkan penggera pada jam empat petang,tetapkan penggera pada jam [time : empat] [timeofday : petang]
234,olly ingatkan saya pukul tiga petang untuk pergi konsert,olly ingatkan saya pukul [time : tiga petang] untuk pergi [event_name : konsert]
235,kejutkan saya pada tiga petang untuk pergi konsert,kejutkan saya pada [time : tiga petang] untuk pergi [event_name : konsert]
236,saya ada penggera yang ditetapkan untuk penerbangan pagi tak,saya ada penggera yang ditetapkan untuk [event_name : penerbangan] [timeofday : pagi] tak
237,adakah saya pasang penggera untuk bangun waktu pagi,adakah saya pasang penggera untuk [alarm_type : bangun] waktu [timeofday : pagi]
238,ada sebarang penggera tak,ada sebarang penggera tak
239,hujan tak kat kota kinabalu,[weather_descriptor : hujan] tak kat [place_name : kota kinabalu]
240,adakah akan hujan hari ini,adakah akan [weather_descriptor : hujan] [date : hari ini]
241,apa yang berlaku di luar,apa yang berlaku di luar
242,apa yang menarik di malaysia,apa yang menarik di [place_name : malaysia]
243,apa yang berlaku di dunia,apa yang berlaku di [place_name : dunia]
244,apa yang menarik berlaku di kuala lumpur,apa yang menarik berlaku di [place_name : kuala lumpur]
245,tunjukkan beberapa berita daripada utusan,tunjukkan beberapa berita daripada [media_type : utusan]
246,olly tunjukkan saya beberapa berita daripada berita harian,olly tunjukkan saya beberapa berita daripada [media_type : berita harian]
247,mainkan berita bernama,mainkan berita [media_type : bernama]
248,siri awani,siri [media_type : awani]
249,mainkan beberapa hihop,mainkan beberapa [music_genre : hihop]
250,saya rasa seperti jazz sekarang bagaimana dengan awak,saya rasa seperti [music_genre : jazz] sekarang bagaimana dengan awak
251,olly death metal sekarang,olly death [music_genre : metal] sekarang
252,lagu metal sekarang,lagu [music_genre : metal] sekarang
254,olly memainkan trek yang bagus daripada saya punya pemain jazz yang digemari,olly memainkan trek yang bagus daripada saya punya pemain [music_genre : jazz] yang digemari
255,siti biasanya saya suka muzik apa selepas kerja,siti biasanya saya suka muzik apa selepas kerja
257,olly mainkan muzik dari pemain piano kegemaran saya,olly mainkan muzik dari [music_genre : pemain piano] kegemaran saya
258,saya tidak boleh dengar kamu,saya tidak boleh dengar kamu
259,kamu terlalu kuat,kamu terlalu kuat
260,saya hampir tidak boleh mendengar kamu alexa,saya hampir tidak boleh mendengar kamu alexa
261,saya hampir tidak boleh mendengar kamu,saya hampir tidak boleh mendengar kamu
262,tukarkan lampu kepada biru,tukarkan lampu kepada [color_type : biru]
263,mari tukarkan lampu kepada biru,mari tukarkan lampu kepada [color_type : biru]
264,buatkan lampu lampu berwarna biru,buatkan lampu lampu [color_type : berwarna biru]
265,selamat malam olly tutupkan lampu,selamat malam olly tutupkan lampu
267,ia agak gelap di sini,ia agak gelap di sini
268,jadikan lampu lebih terang,jadikan lampu lebih terang
269,siti terlalu gelap sata tak nampak tangan saya sendiri,siti terlalu gelap sata tak nampak tangan saya sendiri
270,apakah waktu,apakah waktu
271,pukul berapa di kuala lumpur sekarang,pukul berapa di [place_name : kuala lumpur] sekarang
273,lagu apa ini,lagu apa ini
274,olly apakah tajuk lagu itu,olly apakah tajuk lagu itu
275,apakah yang dimaksudkan penyanyi dengan tajuk lagu standing in the eyes of the world,apakah yang dimaksudkan penyanyi dengan tajuk lagu [song_name : standing in the eyes of the world]
276,siapa yang cover lagu kopi dangdut,siapa yang cover lagu [song_name : kopi dangdut]
277,bagaimana cuaca di kuala lumpur,bagaimana cuaca di [place_name : kuala lumpur]
278,bagaimana keadaan cuaca di kuching,bagaimana keadaan cuaca di [place_name : kuching]
279,apakah ramalan hari ini di seremban,apakah ramalan [date : hari ini] di [place_name : seremban]
280,bagaimana keadaan semasa banjir di kelantan,bagaimana keadaan semasa [news_topic : banjir di kelantan]
281,apakah kadar tukaran u. s. dolar kepada paun sterling,apakah [news_topic : kadar tukaran u. s. dolar kepada paun sterling]
282,siapa yang akan memenangi pilihan raya yang akan datang di malaysia,siapa yang akan memenangi [news_topic : pilihan raya] yang akan datang di [place_name : malaysia]
283,hari ahad nanti cuaca cerah tak,[date : hari ahad] nanti cuaca cerah tak
284,adakah akan hujan petang ini,adakah akan [weather_descriptor : hujan] [timeofday : petang] ini
285,esok berangin tak,[date : esok] [weather_descriptor : berangin] tak
286,hidupkan lampu di dapur,hidupkan lampu di [house_place : dapur]
287,cerahkan lampu bersebelahan dengan sofa,cerahkan [device_type : lampu bersebelahan dengan sofa]
288,cerahkan lampu,cerahkan lampu
289,apakah waktu di kuala lumpur sekarang,apakah waktu di [place_name : kuala lumpur] sekarang
290,mulakan pembersih hampagas,mulakan [device_type : pembersih hampagas]
291,bersihkan dapur,bersihkan [house_place : dapur]
292,hidupkan pembersih vakum,hidupkan [device_type : pembersih vakum]
293,apa yang berlaku di dunia,apa yang berlaku di [place_name : dunia]
294,maklumkan berita kepada saya,maklumkan berita kepada saya
295,beritahu saya berita utama surat khabar hari ini,beritahu saya berita utama [media_type : surat khabar] [date : hari ini]
296,senarai main bunkface,[playlist_name : senarai main bunkface]
297,shuffle lagu coldplay secara rambang,shuffle lagu [artist_name : coldplay] [player_setting : secara rambang]
298,mainkan lagu justin bieber,mainkan lagu [artist_name : justin bieber]
299,apakah keadaan cuaca,apakah keadaan cuaca
300,apa ramalan cuaca hari ini,apa ramalan cuaca [date : hari ini]
301,bagaimana keadaan cuaca,bagaimana keadaan cuaca
302,hey apa yang awak buat,hey apa yang awak buat
303,apa khabar awak,apa khabar awak
304,selamat pagi apa khabar,selamat pagi apa khabar
305,pesan piza dari pizza hut,pesan [food_type : piza] dari [business_name : pizza hut]
306,saya nak makan sushi boleh awka pesankan untuk makan tengah hari,saya nak makan [food_type : sushi] boleh awka pesankan untuk [meal_type : makan tengah hari]
307,alexa saya nak makan sushi boleh awak pesankan untuk makan tengah hari,alexa saya nak makan [food_type : sushi] boleh awak pesankan untuk [meal_type : makan tengah hari]
308,tapaukan sandwic dan sup dari restoran tiga h.,[order_type : tapaukan] [food_type : sandwic] dan [food_type : sup] dari restoran [business_name : tiga h.]
309,berapa hari lagi dalam tahun ini,berapa hari lagi dalam [date : tahun ini]
310,hari apa malam tahun baru tahun ini,hari apa malam tahun baru [date : tahun ini]
311,hari peringatan tahun ini jatuh pada hari apa,hari peringatan [date : tahun ini] jatuh pada hari apa
