id,utt,annot_utt
0,pamodini mani šonedēļ piecos no rīta,pamodini mani [date : šonedēļ] [time : piecos no rīta]
1,piektdien pamodini mani deviņos no rīta,[date : piektdien] pamodini mani [time : deviņos no rīta]
2,uzliec modinātāju uz divām stundām no šī brīža,uzliec modinātāju uz [time : divām stundām no šī brīža]
3,klusu,klusu
4,olly klusu,olly klusu
5,apstādināt,apstādināt
6,olly uzliec pauzi uz desmit sekundēm,olly uzliec pauzi uz [time : desmit sekundēm]
7,nopauzē uz desmit sekundēm,nopauzē uz [time : desmit sekundēm]
8,rozā ir viss kas mums vajadzīgs,[color_type : rozā] ir viss kas mums vajadzīgs
9,padari apgaismojumu nedaudz siltāku šeit,padari apgaismojumu nedaudz [color_type : siltāku] šeit
10,lūdzu iestati apgaismojumu kas piemērots lasīšanai,lūdzu iestati apgaismojumu kas [color_type : piemērots lasīšanai]
11,izslēdz gaismas lūdzu,izslēdz gaismas lūdzu
12,laiks gulēt,laiks gulēt
13,laiks gulēt olly,laiks gulēt olly
14,un ir iestājusies tumsa,un ir iestājusies tumsa
15,izslēgt gaismu vannas istabā,izslēgt gaismu [house_place : vannas istabā]
16,olly samazini gaismas gaitenī,olly samazini gaismas [house_place : gaitenī]
17,padari blāvākas gaismas koridorā,padari blāvākas gaismas [house_place : koridorā]
18,izslēdz guļamistabā gaismas,izslēdz [house_place : guļamistabā] gaismas
19,olly izslēdz gaismas guļamistabā,olly izslēdz gaismas [house_place : guļamistabā]
20,iestatīt gaismas uz divdesmit procentiem,iestatīt gaismas [change_amount : uz divdesmit procentiem]
21,olly iestati gaismas uz divdesmit procentiem,olly iestati gaismas [change_amount : uz divdesmit procentiem]
22,padari blāvākas gaismas virtuvē ollij,padari blāvākas gaismas [house_place : virtuvē] ollij
23,samazini gaismas virtuvē,samazini gaismas [house_place : virtuvē]
24,padarīt istabu tumšāku,padarīt [house_place : istabu] tumšāku
25,ollij iztīri dzīvokli,ollij iztīri [house_place : dzīvokli]
26,iztīrīt dzīvokli,iztīrīt [house_place : dzīvokli]
27,šeit ir netīrs izdod kādu skaņu,šeit ir netīrs izdod kādu skaņu
28,izsūkt māju,izsūkt [house_place : māju]
29,izsūknē māju ollij,izsūknē [house_place : māju] ollij
30,tīrīšana ir laba putekļi ir slikti dari savu maģiju iztīri manu paklāju,tīrīšana ir laba putekļi ir slikti dari savu maģiju iztīri manu [house_place : paklāju]
31,izsūkt gaiteni,izsūkt [house_place : gaiteni]
32,iztīri paklājus,iztīri [house_place : paklājus]
33,bārbaudi kad sākas šovs,bārbaudi kad sākas šovs
34,es gribu klausīties prāta vētras dziesmu vēlreiz,es gribu klausīties [artist_name : prāta vētras] dziesmu vēlreiz
35,es gribu atskaņot to mūziku vēlreiz,es gribu atskaņot to [media_type : mūziku] vēlreiz
36,paskaties mana mašīna ir gatava,paskaties mana mašīna ir gatava
37,pārbaudi vai mans portatīvais strādā,pārbaudi vai mans portatīvais strādā
38,vai mana ekrāna spilgtums ir zems,vai mana ekrāna spilgtums ir zems
39,man jābūt ieslēgtiem atrašanās vietas noteikšanas pakalpojumiem lai tu vari pārbaudīt,man jābūt ieslēgtiem atrašanās vietas noteikšanas pakalpojumiem lai tu vari pārbaudīt
40,pārbaudi manu enerģijas patēriņa statusu,pārbaudi manu enerģijas patēriņa statusu
41,es gribu redzēt mana ekrāna spilgtuma statusu,es gribu redzēt mana ekrāna spilgtuma statusu
42,kāda informācija par manu pieejamo atmiņu,kāda informācija par manu pieejamo atmiņu
43,es neesmu noguris patiesībā esmu priecīgs,es neesmu noguris patiesībā esmu priecīgs
44,olly es neesmu noguris patiesībā esmu priecīgs,olly es neesmu noguris patiesībā esmu priecīgs
45,kā sviežas,kā sviežas
46,kā klājas olly,kā klājas olly
47,cik ir pulkstens austrālijā,cik ir pulkstens [place_name : austrālijā]
48,cik pulkstenis maskavā,cik pulkstenis [place_name : maskavā]
49,nosaki laiku g. m. t. plus pieci,nosaki laiku [time_zone : g. m. t. plus pieci]
50,olly pasaki man cik ir pulkstenis g. m. t. plus pieci laika joslā,olly pasaki man cik ir pulkstenis [time_zone : g. m. t. plus pieci] laika joslā
51,olly uzskaiti vislabāk novērtētās piegādes opcijas ķīniešu ēdieniem,olly uzskaiti vislabāk novērtētās [order_type : piegādes] opcijas [food_type : ķīniešu] ēdieniem
52,piegādes iespējas no visaugstāk novērtētā ķīniešu restorāna,[order_type : piegādes iespējas] no visaugstāk novērtētā [food_type : ķīniešu] restorāna
53,uzskaiti vislabāk novērtētās piegādes opcijas ķīniešu ēdieniem,uzskaiti vislabāk novērtētās [order_type : piegādes] opcijas [food_type : ķīniešu] ēdieniem
54,olly visnovērtētākās piegādes opcijas ķīniešu ēdieniem,olly visnovērtētākās [order_type : piegādes] opcijas [food_type : ķīniešu] ēdieniem
55,es gribētu kādu kariju līdzņemšanai vai ir kādi ieteikumi,es gribētu kādu [food_type : kariju] līdzņemšanai vai ir kādi ieteikumi
56,es gribu kaut ko ar kariju līdzņemšanai vai ir kādi ieteikumi ollij,es gribu kaut ko ar [food_type : kariju] līdzņemšanai vai ir kādi ieteikumi ollij
57,atrodi manus taizemiešu ēdienus līdzņemšanai vecrīgas apkārtnē,atrodi manus [food_type : taizemiešu ēdienus] [order_type : līdzņemšanai] [place_name : vecrīgas] apkārtnē
58,atrodi manus taizemiešu ēdienus līdzņemšanai vecrīgas apkārtnē,atrodi manus [food_type : taizemiešu ēdienus] [order_type : līdzņemšanai] [place_name : vecrīgas] apkārtnē
59,atcel manu modinātāju septiņos no rīta,atcel manu modinātāju [time : septiņos no rīta]
60,apturi modinātāju septiņiem no rīta,apturi modinātāju [time : septiņiem no rīta]
61,kādus modinātājus es esmu uzlicis,kādus modinātājus es esmu uzlicis
62,lūdzu nosauc spēkā esošos modinātājus,lūdzu nosauc spēkā esošos modinātājus
63,pasaki kādi ir mani modinātāji,pasaki kādi ir mani modinātāji
65,kas šodien notiek futbolā,kas [date : šodien] notiek [news_topic : futbolā]
66,lūdzu atskaņo miglas rīts no intars busulis,lūdzu atskaņo [song_name : miglas rīts] no [artist_name : intars busulis]
