id,utt,annot_utt
0,gugah aku jam lima esuk minggu iki,gugah aku jam [time : lima esuk] [date : minggu iki]
1,gugah aku jam sanga esuk dina jumat,gugah aku jam [time : sanga esuk] dina [date : jumat]
2,nyetel weker rong jam seko saiki,nyetel weker [time : rong jam seko saiki]
3,meneng,meneng
4,olly meneng o,olly meneng o
5,mandheg,mandheg
6,olly mandheg o sepuluh detik,olly mandheg o [time : sepuluh detik]
7,endheg ne kanggo sepuluh detik iki,endheg ne kanggo [time : sepuluh detik] iki
8,jambon iku kabeh kita butuh,[color_type : jambon] iku kabeh kita butuh
9,nggawe cahya luwih anget sethitik maneh ing kene,nggawe cahya luwih [color_type : anget] sethitik maneh ing kene
10,mangga atur cahyo sing cocok kanggo maca,mangga atur cahyo sing [color_type : cocok kanggo maca]
11,tulung gawe mati lampu,tulung gawe mati lampu
12,waktune turu,waktune turu
13,wayahe turu olly,wayahe turu olly
14,lan pepeteng wis tiba,lan pepeteng wis tiba
15,patenono lampu ing padusan,patenono lampu ing [house_place : padusan]
16,olly redupke lampu ing bale,olly redupke lampu ing [house_place : bale]
17,redupke lampu ing bale,redupke lampu ing [house_place : bale]
18,owahi mati lampu ing kamar turu,owahi mati lampu ing [house_place : kamar turu]
19,olly gawe mati lampu ing kamar turu,olly gawe mati lampu ing [house_place : kamar turu]
20,nyetel lampu nganti rong puluh persen,nyetel lampu [change_amount : nganti rong puluh persen]
21,olly nyetel lampu nganti rong puluh persen,olly nyetel lampu [change_amount : nganti rong puluh persen]
22,suremke lampu ing pawon olly,suremke lampu ing [house_place : pawon] olly
23,redupke lampu ing pawon,redupke lampu ing [house_place : pawon]
24,gawe kamar luwih peteng,gawe [house_place : kamar] luwih peteng
25,olly resik na kamar,olly resik na [house_place : kamar]
26,ngresiki rata,ngresiki [house_place : rata]
27,ning kene reged kene gawe suwara,ning kene reged kene gawe suwara
28,sedoten debu ndek omah,sedoten debu ndek [house_place : omah]
29,vakum omah olly,vakum [house_place : omah] olly
30,ngresiki iku apik bledug dadi ala saiki sihirmu ngresiki karpet ku,ngresiki iku apik bledug dadi ala saiki sihirmu ngresiki [house_place : karpet] ku
31,nyapu lorong,nyapu [house_place : lorong]
32,penyedot debu ngubengi karpet,penyedot debu ngubengi [house_place : karpet]
33,mriksa nalika acara diwiwiti,mriksa nalika acara diwiwiti
34,aku pengen krungu didi kempot tembang maneh,aku pengen krungu [artist_name : didi kempot] tembang maneh
35,setelno musik kuwi maneh,setelno [media_type : musik] kuwi maneh
36,delok o mobil ku wis siap,delok o mobil ku wis siap
37,cek laptopku nek isih urip,cek laptopku nek isih urip
38,apa padhange layar ku kurang,apa padhange layar ku kurang
39,aku perlu ngerti lokasi servis iso koe cek,aku perlu ngerti lokasi servis iso koe cek
40,mriksa status panggunaan kekuatan aku,mriksa status panggunaan kekuatan aku
41,aku pengin status padhang e layar aku,aku pengin status padhang e layar aku
42,menehi aku status ing memori kasedhiya,menehi aku status ing memori kasedhiya
43,aku ora kesel aku asline seneng,aku ora kesel aku asline seneng
44,olly aku ora kesel malah seneng,olly aku ora kesel malah seneng
45,apa kabar,apa kabar
46,apa kabar olly,apa kabar olly
47,jam pira nang indonesia,jam pira nang [place_name : indonesia]
48,jam piro nang pati,jam piro nang [place_name : pati]
49,kandhani aku g. m. t. luwih limo,kandhani aku [time_zone : g. m. t. luwih limo]
50,duduhno opo saiki jam piro w. i. b.,duduhno opo saiki jam piro [time_zone : w. i. b.]
51,olly dhaftar paling dirating opsi pangiriman kanggo panganan cina,olly dhaftar paling dirating opsi [order_type : pangiriman] kanggo panganan [food_type : cina]
52,opsi pengiriman paling dirating kanggo panganan cina,opsi [order_type : pengiriman] paling dirating kanggo panganan [food_type : cina]
53,gaweo daftar pilihan layanan antar pangan cina paling apik,gaweo daftar pilihan layanan [order_type : antar] pangan [food_type : cina] paling apik
54,lly paling dirating opsi pangiriman kanggo sego padang,lly paling dirating opsi [order_type : pangiriman] kanggo [food_type : sego padang]
55,aku pengin sawetara kari kanggo menehi rekomendasi,aku pengin sawetara [food_type : kari] kanggo menehi rekomendasi
56,aku arep tuku kari opo ono rekomendasi olly,aku arep tuku [food_type : kari] opo ono rekomendasi olly
57,bungkus jajanan thailand ing sekitar semarang ku,[order_type : bungkus] jajanan [food_type : thailand] ing sekitar [place_name : semarang] ku
58,bungkus thailan ku semarang,[order_type : bungkus] [food_type : thailan] ku [place_name : semarang]
59,mbatalake wekerku jam pitu esuk,mbatalake wekerku jam [time : pitu esuk]
60,mungkasi weker jam pitu esuk,mungkasi weker jam [time : pitu esuk]
61,apa weker aku wis nyetel,apa weker aku wis nyetel
62,tulung daftar weker aktif,tulung daftar weker aktif
63,ngomong babagakn weker ku,ngomong babagakn weker ku
65,apa sing kadadeyan nang bal balan dino iki,apa sing kadadeyan nang [news_topic : bal] balan [date : dino iki]
66,setel lagu dalan liyane soko hendra kumbara,setel lagu [song_name : dalan liyane] soko [artist_name : hendra kumbara]
67,setel lagu mau dibawa kemana soko armada,setel lagu [song_name : mau dibawa kemana] soko [artist_name : armada]
68,setel cidro didi kempot,setel [song_name : cidro] [artist_name : didi kempot]
69,aku seneng tembang rock,aku seneng tembang [music_genre : rock]
