id,utt,annot_utt
0,gisingin mo ako ng alas singko ng umaga ngayong linggo,gisingin mo ako ng [time : alas singko ng umaga] [date : ngayong linggo]
1,gisingin mo ako ng alas nuwebe ng umaga sa biyernes,gisingin mo ako ng [time : alas nuwebe ng umaga] sa [date : biyernes]
2,magtakda ng hudyat sa loob ng dalawang oras mula ngayon,magtakda ng hudyat sa loob ng [time : dalawang oras mula ngayon]
3,tahimik,tahimik
4,olly tahimik,olly tahimik
5,huminto,huminto
6,olly huminto ng sampung segundo,olly huminto ng [time : sampung segundo]
7,huminto ng sampung segundo,huminto ng [time : sampung segundo]
8,kulay rosas lang ang kailangan natin,[color_type : kulay rosas] lang ang kailangan natin
9,gawing mas mainit ang ilaw dito,gawing mas [color_type : mainit] ang ilaw dito
10,itakda ang ilaw na angkop sa pagbabasa,itakda ang ilaw na [color_type : angkop sa pagbabasa]
11,ipihit at patayin ang mga ilaw,ipihit at patayin ang mga ilaw
12,oras upang matulog,oras upang matulog
13,oras na para matulog olly,oras na para matulog olly
14,at dumilim,at dumilim
15,patayin ang ilaw sa banyo,patayin ang ilaw sa [house_place : banyo]
16,olly padilimin ang mga ilaw sa bulwagan,olly padilimin ang mga ilaw sa [house_place : bulwagan]
17,diliman ang mga ilaw sa pasilyo,diliman ang mga ilaw sa [house_place : pasilyo]
18,gawin patayin ang mga ilaw sa silid,gawin patayin ang mga ilaw sa [house_place : silid]
19,olly pihitin ang mga ilaw sa kwarto papatay,olly pihitin ang mga ilaw sa [house_place : kwarto] papatay
20,itakda ang mga ilaw ng dalawampung porsyento,itakda ang mga ilaw [change_amount : ng dalawampung porsyento]
21,olly iset ng dalawampung porsyento,olly iset [change_amount : ng dalawampung porsyento]
22,diliman ang mga ilaw sa kusina olly,diliman ang mga ilaw sa [house_place : kusina] olly
23,diliman ang mga ilaw sa kusina,diliman ang mga ilaw [house_place : sa kusina]
24,gawing mas madilim ang kwarto,gawing mas madilim ang [house_place : kwarto]
25,olly linisan ang flat,olly linisan ang [house_place : flat]
26,linisin ang flat,linisin ang [house_place : flat]
27,madumi dito gumawa ng ingay,madumi dito gumawa ng ingay
28,vacuum ang bahay,vacuum ang [house_place : bahay]
29,i-vacuum ang bahay,i-vacuum ang [house_place : bahay]
30,ang paglilinis ay mabuti ang alikabok ay napakasama gawin ngayon ang iyong mahika ay linisin ang aking karpet,ang paglilinis ay mabuti ang alikabok ay napakasama gawin ngayon ang iyong mahika ay linisin ang aking [house_place : karpet]
31,itaas ang pasilyo,itaas ang [house_place : pasilyo]
32,itaas ang mga karpet sa paligid,itaas ang [house_place : mga karpet] sa paligid
33,tingnan kung kailan magsisimula ang palabas,tingnan kung kailan magsisimula ang palabas
34,ulitin ang kanta ng rocksteddy,ulitin ang kanta ng [artist_name : rocksteddy]
35,gusto kong i play iyang musika muli,gusto kong i play iyang [media_type : musika] muli
36,tingnan kung handa na ang aking sasakyan,tingnan kung handa na ang aking sasakyan
37,suriin ang aking laptop ay gumagana,suriin ang aking laptop ay gumagana
38,ubos na ba ang liwanag ng iskrín ko,ubos na ba ang liwanag ng iskrín ko
39,kailangan kong magkaroon ng mga serbisyo sa lokasyon maaari mo bang suriin,kailangan kong magkaroon ng mga serbisyo sa lokasyon maaari mo bang suriin
40,suriin ang katayuan ng aking paggamit ng kuryente,suriin ang katayuan ng aking paggamit ng kuryente
41,gusto ko ang katayuan sa liwanag ng screen ko,gusto ko ang katayuan sa liwanag ng screen ko
42,ibigay sa akin ang katayuan sa aking magagamit na memorya,ibigay sa akin ang katayuan sa aking magagamit na memorya
43,hindi ako pagod masaya talaga ako,hindi ako pagod masaya talaga ako
44,olly hindi ako pagod masaya talaga ako,olly hindi ako pagod masaya talaga ako
45,anong meron,anong meron
