id,utt,annot_utt
0,ដាស់ ខ្ញុំ នៅ ម៉ោង ប្រាំ ព្រឹក សប្ដាហ៍ នេះ,ដាស់ ខ្ញុំ នៅ [time : ម៉ោង ប្រាំ ព្រឹក] [date : សប្ដាហ៍ នេះ]
1,ម៉ោង ប្រាំបួនព្រឹក ថ្ងៃសុក្រ,ម៉ោង [time : ប្រាំបួនព្រឹក] [date : ថ្ងៃសុក្រ]
2,កំណត់ ម៉ោង រោទិ៍ នៅ ពីរ ម៉ោង ក្រោយ,កំណត់ ម៉ោង រោទិ៍ នៅ [time : ពីរ ម៉ោង ក្រោយ]
3,ស្ងាត់,ស្ងាត់
4,សូមស្ងាត់,សូមស្ងាត់
5,ឈប់,ឈប់
6,olly ផ្អាក ដប់ វិនាទី,olly ផ្អាក [time : ដប់ វិនាទី]
7,ផ្អាក ដប់ វិនាទី,ផ្អាក [time : ដប់ វិនាទី]
8,យើងត្រូវការ ពណ៌ផ្កាឈូក,យើងត្រូវការ [color_type : ពណ៌ផ្កាឈូក]
9,ធ្វើ ឲ្យ ពន្លឺ នៅ ទី នេះ ក្ដៅ ខ្លាំង ជាង បន្តិច,ធ្វើ ឲ្យ ពន្លឺ នៅ ទី នេះ [color_type : ក្ដៅ] ខ្លាំង ជាង បន្តិច
10,សូម កំណត់ ពន្លឺ ដែល ល្មមសម្រាប់ការអាន,សូម កំណត់ ពន្លឺ ដែល [color_type : ល្មមសម្រាប់ការអាន]
11,សូម បិទ ភ្លើង,សូម បិទ ភ្លើង
12,ដល់ពេល​ចូលគេង​ហើយ,ដល់ពេល​ចូលគេង​ហើយ
13,ដល់ពេលគេងហើយ olly,ដល់ពេលគេងហើយ olly
14,ហើយភាពងងឹតបានធ្លាក់ចុះ,ហើយភាពងងឹតបានធ្លាក់ចុះ
15,បិទ ភ្លើង នៅក្នុង បន្ទប់ទឹក,បិទ ភ្លើង នៅក្នុង [house_place : បន្ទប់ទឹក]
16,olly បន្ថយ ពន្លឺ នៅក្នុង សាល,olly បន្ថយ ពន្លឺ នៅក្នុង [house_place : សាល]
17,បន្ថយ ពន្លឺ នៅក្នុង សាល,បន្ថយ ពន្លឺ នៅក្នុង [house_place : សាល]
18,បិទ ភ្លើង នៅក្នុង បន្ទប់គេង,បិទ ភ្លើង នៅក្នុង [house_place : បន្ទប់គេង]
19,បិទ ភ្លើង ក្នុង បន្ទប់គេង,បិទ ភ្លើង ក្នុង [house_place : បន្ទប់គេង]
20,កំណត់ពន្លឺ ទៅម្ភៃភាគរយ,កំណត់ពន្លឺ [change_amount : ទៅម្ភៃភាគរយ]
21,olly កំណត់ពន្លឺ ទៅម្ភៃភាគរយ,olly កំណត់ពន្លឺ [change_amount : ទៅម្ភៃភាគរយ]
22,បន្ថយ ភ្លើង នៅក្នុង ផ្ទះបាយ olly,បន្ថយ ភ្លើង នៅក្នុង [house_place : ផ្ទះបាយ] olly
23,បន្ថយ ពន្លឺ នៅក្នុង ផ្ទះបាយ,បន្ថយ ពន្លឺ នៅក្នុង [house_place : ផ្ទះបាយ]
24,ធ្វើ ឱ្យ បន្ទប់ មួយ ងងឹតជាង,ធ្វើ ឱ្យ [house_place : បន្ទប់] មួយ ងងឹតជាង
25,olly សម្អាត ផ្ទះ,olly សម្អាត [house_place : ផ្ទះ]
26,សម្អាត ផ្ទះ,សម្អាត [house_place : ផ្ទះ]
27,នៅហ្នឹងគគ្រិចសម្អាតតិច,នៅហ្នឹងគគ្រិចសម្អាតតិច
28,បូមធូលី ផ្ទះ,បូមធូលី [house_place : ផ្ទះ]
29,olly បូមធូលី នៅក្នុង ផ្ទះ,olly បូមធូលី នៅក្នុង [house_place : ផ្ទះ]
30,ការសម្អាតល្អគឺកំចាត់ធូលីអាក្រក់ ឥឡូវ​នេះ​ធ្វើ​វេទមន្ត​របស់​អ្នក​សម្អាត​ កម្រាល ព្រំ​របស់​ខ្ញុំ,ការសម្អាតល្អគឺកំចាត់ធូលីអាក្រក់ ឥឡូវ​នេះ​ធ្វើ​វេទមន្ត​របស់​អ្នក​សម្អាត​ [house_place : កម្រាល] ព្រំ​របស់​ខ្ញុំ
31,សម្អាត ផ្ទះ បាយ,សម្អាត [house_place : ផ្ទះ បាយ]
32,រុញ កំរាលព្រំ ជុំវិញ,រុញ [house_place : កំរាលព្រំ] ជុំវិញ
33,ពិនិត្យមើលពេលដែលកម្មវិធីចាប់ផ្តើម,ពិនិត្យមើលពេលដែលកម្មវិធីចាប់ផ្តើម
34,ខ្ញុំចង់ស្តាប់ បទចម្រៀង នីកូ ម្តងទៀត,ខ្ញុំចង់ស្តាប់ បទចម្រៀង [artist_name : នីកូ] ម្តងទៀត
35,សូមចាក់ បទចម្រៀង នោះ ម្តងទៀត,សូមចាក់ [media_type : បទចម្រៀង] នោះ ម្តងទៀត
36,ការត្រួតពិនិត្យឡានរបស់ខ្ញុំគឺរួចរាល់ហើយ,ការត្រួតពិនិត្យឡានរបស់ខ្ញុំគឺរួចរាល់ហើយ
37,ពិនិត្យមើលកុំព្យូទ័រយួរដៃរបស់ខ្ញុំកំពុងដំណើរការ,ពិនិត្យមើលកុំព្យូទ័រយួរដៃរបស់ខ្ញុំកំពុងដំណើរការ
38,តើ ពន្លឺ នៅ លើ អេក្រង់ របស់ ខ្ញុំ ខ្សោយ មែន ទេ,តើ ពន្លឺ នៅ លើ អេក្រង់ របស់ ខ្ញុំ ខ្សោយ មែន ទេ
39,ខ្ញុំ​ត្រូវ​ការ​បើកសេវា​ទីតាំង​ តើអ្នក​អាច​ពិនិត្យ​មើលបានទេ​,ខ្ញុំ​ត្រូវ​ការ​បើកសេវា​ទីតាំង​ តើអ្នក​អាច​ពិនិត្យ​មើលបានទេ​
40,សូម ឆែក មើល ស្ថាន ភាព នៃ ជើង ហោះ ហើរ air asia របស់ ខ្ញុំ,សូម ឆែក មើល ស្ថាន ភាព នៃ ជើង ហោះ ហើរ air asia របស់ ខ្ញុំ
41,ខ្ញុំ ចង់ ដាក់ ស្ថាន ភាព នៅ លើ អេក្រង់ ពន្លឺ របស់ ខ្ញុំ,ខ្ញុំ ចង់ ដាក់ ស្ថាន ភាព នៅ លើ អេក្រង់ ពន្លឺ របស់ ខ្ញុំ
42,ឲ្យ ខ្ញុំ នូវ ស្ថាន ភាព នៅ លើ អង្គ ចង ចាំ ដែល មាន របស់ ខ្ញុំ,ឲ្យ ខ្ញុំ នូវ ស្ថាន ភាព នៅ លើ អង្គ ចង ចាំ ដែល មាន របស់ ខ្ញុំ
43,ខ្ញុំ​មិន​ហត់​ទេ ខ្ញុំ​ពិត​ជា​សប្បាយ​ចិត្ត,ខ្ញុំ​មិន​ហត់​ទេ ខ្ញុំ​ពិត​ជា​សប្បាយ​ចិត្ត
44,អូលី ខ្ញុំមិនហត់ទេ ខ្ញុំពិតជាសប្បាយចិត្តណាស់,អូលី ខ្ញុំមិនហត់ទេ ខ្ញុំពិតជាសប្បាយចិត្តណាស់
45,មានរឿងអ្វីហ្នឹង,មានរឿងអ្វីហ្នឹង
46,តើមានអ្វីកើតឡើង អូលី,តើមានអ្វីកើតឡើង អូលី
47,អូស្ត្រាលី,[place_name : អូស្ត្រាលី]
48,ប្រាប់ខ្ញុំពីម៉ោងនៅ មូស្គូ,ប្រាប់ខ្ញុំពីម៉ោងនៅ [place_name : មូស្គូ]
49,ជីធីអឹមបូកប្រាំ,[time_zone : ជីធីអឹមបូកប្រាំ]
50,អូលី ប្រាប់ខ្ញុំម៉ោង g. m. t. បូកប្រាំ,អូលី ប្រាប់ខ្ញុំម៉ោង [time_zone : g. m. t. បូកប្រាំ]
51,olly រាយជម្រើស ដឹកជញ្ជូន ដែលមានគេចូលចិត្តខ្ពស់ សំរាប់ ម្ហូបចិន,olly រាយជម្រើស [order_type : ដឹកជញ្ជូន] ដែលមានគេចូលចិត្តខ្ពស់ សំរាប់ [food_type : ម្ហូបចិន]
52,ជម្រើស ដឹកជញ្ជូន ដែលមានការវាយតម្លៃច្រើនបំផុតសម្រាប់អាហារ ចិន,ជម្រើស [order_type : ដឹកជញ្ជូន] ដែលមានការវាយតម្លៃច្រើនបំផុតសម្រាប់អាហារ [food_type : ចិន]
53,បញ្ជី ការដឹកជញ្ជូន ដែលវាយតម្លៃល្អបំផុត ជម្រើសសម្រាប់អាហារ ចិន,បញ្ជី [order_type : ការដឹកជញ្ជូន] ដែលវាយតម្លៃល្អបំផុត ជម្រើសសម្រាប់អាហារ [food_type : ចិន]
54,អូលី ជម្រើស ដឹកជញ្ជូន ដែលវាយតម្លៃច្រើនបំផុតសម្រាប់អាហារ ចិន,អូលី ជម្រើស [order_type : ដឹកជញ្ជូន] ដែលវាយតម្លៃច្រើនបំផុតសម្រាប់អាហារ [food_type : ចិន]
55,ខ្ញុំចង់ញ៉ាំ ការី ខ្ចប់ តើមានអ្វីណែនាំទេ,ខ្ញុំចង់ញ៉ាំ [food_type : ការី] ខ្ចប់ តើមានអ្វីណែនាំទេ
56,ខ្ញុំចង់បាន ការី ខ្លះមានការណែនាំ ណាខ្លះ olly,ខ្ញុំចង់បាន [food_type : ការី] ខ្លះមានការណែនាំ ណាខ្លះ olly
57,ស្វែងរក អាហារថៃ ខ្ចប់ របស់ខ្ញុំ នៅជុំវិញ ផ្សារថ្មី,ស្វែងរក [food_type : អាហារថៃ] [order_type : ខ្ចប់] របស់ខ្ញុំ នៅជុំវិញ [place_name : ផ្សារថ្មី]
58,ស្វែងរកសេវា ខ្ចប់ ម្ហូបថៃ របស់ខ្ញុំ នៅម្តុំ ផ្សារសូរិយា,ស្វែងរកសេវា [order_type : ខ្ចប់] [food_type : ម្ហូបថៃ] របស់ខ្ញុំ នៅម្តុំ [place_name : ផ្សារសូរិយា]
59,លុប ម៉ោង រោទិ៍ នៅ ម៉ោង ប្រាំ ពីរ ព្រឹក,លុប ម៉ោង រោទិ៍ នៅ [time : ម៉ោង ប្រាំ ពីរ ព្រឹក]
60,បញ្ឈប់ ម៉ោង រោទិ៍ នៅ ម៉ោង ប្រាំ ពីរ ព្រឹក,បញ្ឈប់ ម៉ោង រោទិ៍ នៅ [time : ម៉ោង ប្រាំ ពីរ ព្រឹក]
61,តើ ខ្ញុំ បាន កំណត់ ម៉ោង រោទិ៍ សម្រាប់ អ្វី ខ្លះ,តើ ខ្ញុំ បាន កំណត់ ម៉ោង រោទិ៍ សម្រាប់ អ្វី ខ្លះ
62,សូម បង្ហាញ ម៉ោង រោទិ៍ ដែល បាន កំណត់,សូម បង្ហាញ ម៉ោង រោទិ៍ ដែល បាន កំណត់
63,ប្រាប់ខ្ញុំអំពីម៉ោងរោទ៍របស់ខ្ញុំ,ប្រាប់ខ្ញុំអំពីម៉ោងរោទ៍របស់ខ្ញុំ
65,តើមានអ្វីកើតឡើងនៅក្នុង កីឡាបាល់ទាត់ ថ្ងៃនេះ,តើមានអ្វីកើតឡើងនៅក្នុង [news_topic : កីឡាបាល់ទាត់] [date : ថ្ងៃនេះ]
66,សូមលេង ម្សិលមិញ ពី នីកូ,សូមលេង [song_name : ម្សិលមិញ] ពី [artist_name : នីកូ]
67,ខ្ញុំចង់ស្តាប់ បងខុសហើយ របស់ ចចកសមុទ្រ,ខ្ញុំចង់ស្តាប់ [song_name : បងខុសហើយ] របស់ [artist_name : ចចកសមុទ្រ]
68,លេង ហេតុអ្វីគេកុហកខ្ញុំ ដោយ នីកូ,លេង [song_name : ហេតុអ្វីគេកុហកខ្ញុំ] ដោយ [artist_name : នីកូ]
69,ខ្ញុំ ចូលចិត្ត បទចម្រៀង រ៉ុក,ខ្ញុំ ចូលចិត្ត បទចម្រៀង [music_genre : រ៉ុក]
70,ក្រុម តន្ត្រី ដែល ខ្ញុំ ចូលចិត្ត គឺ មាស សុខសោភា,ក្រុម តន្ត្រី ដែល ខ្ញុំ ចូលចិត្ត គឺ [artist_name : មាស សុខសោភា]
71,ខ្ញុំ ចូលចិត្ត បទចម្រៀង មាស សុខសោភា,ខ្ញុំ ចូលចិត្ត បទចម្រៀង [artist_name : មាស សុខសោភា]
72,ចាប់ផ្ដើមចាក់ តន្រ្តី ពី ជុំ លីណូ,ចាប់ផ្ដើមចាក់ តន្រ្តី ពី ជុំ លីណូ
73,លេង បទចម្រៀង ល្អបំផុត របស់ខ្ញុំ,លេង បទចម្រៀង ល្អបំផុត របស់ខ្ញុំ
