id,utt,annot_utt
0,разбуди меня в пять утра на этой неделе,разбуди меня в [time : пять утра] на [date : этой неделе]
1,разбуди меня в девять утра в пятницу,разбуди меня в [time : девять утра] в [date : пятницу]
2,поставь будильник на два часа вперед,поставь будильник [time : на два часа вперед]
3,тише,тише
4,олли тихо,олли тихо
5,отстановись,отстановись
6,олли остановись на десять секунд,олли остановись на [time : десять секунд]
7,остановись на десять секунд,остановись на [time : десять секунд]
8,розовый это то что нам надо,[color_type : розовый] это то что нам надо
9,сделай освещение здесь чуть более тёплым,сделай освещение здесь чуть более [color_type : тёплым]
10,пожалуйста сделай свет подходящий для чтения,пожалуйста сделай свет [color_type : подходящий для чтения]
11,выключи свет пожалуйста,выключи свет пожалуйста
12,время идти спать,время идти спать
13,олли время спать,олли время спать
14,и опустилась темнота,и опустилась темнота
15,выключи свет в ванной,выключи свет в [house_place : ванной]
16,olly приглуши светильники в холле,olly приглуши светильники в [house_place : холле]
17,приглуши свет в гостиной,приглуши свет в [house_place : гостиной]
18,выключи свет в спальне,выключи свет в [house_place : спальне]
19,olly выключи свет в спальне,olly выключи свет в [house_place : спальне]
20,установи светильники на двадцать процентов,установи светильники [change_amount : на двадцать процентов]
21,olly установи уровень света на двадцать процентов,olly установи уровень света на [change_amount : двадцать процентов]
22,olly приглуши свет на кухне,olly приглуши свет на [house_place : кухне]
23,приглуши свет на кухне,приглуши свет на [house_place : кухне]
24,сделай в комнате темнее,сделай [house_place : в комнате] темнее
25,olly начни уборку в квартире,olly начни уборку в [house_place : квартире]
26,убери квартиру,убери [house_place : квартиру]
27,здесь слишком грязно приберись,здесь слишком грязно приберись
28,пропылесось весь дом,пропылесось [house_place : весь дом]
29,пропылесось дом olly,пропылесось [house_place : дом] olly
30,уборка это хорошо пыль это так плохо сделай сейчас свою магию почисти мой ковёр,уборка это хорошо пыль это так плохо сделай сейчас свою магию почисти мой [house_place : ковёр]
31,пропылесось в прихожей,пропылесось в [house_place : прихожей]
32,пропылесосить ковры вокруг,пропылесосить [house_place : ковры] вокруг
33,проверь во сколько начинается шоу,проверь во сколько начинается шоу
34,хочу услышать песню светланы лободы снова,хочу услышать песню [artist_name : светланы лободы] снова
35,я хочу воспроизвести ту музыку снова,я хочу воспроизвести ту [media_type : музыку] снова
36,проверь готов ли мой автомобиль,проверь готов ли мой автомобиль
37,проверь работает ли ноутбук,проверь работает ли ноутбук
38,яркость моего экрана снижается,яркость моего экрана снижается
39,мне нужно включить сервисы определения местоположения можешь проверить,мне нужно включить сервисы определения местоположения можешь проверить
40,проверь статус моего потребления энергии,проверь статус моего потребления энергии
41,хочу узнать статус яркости моего экрана,хочу узнать статус яркости моего экрана
42,покажи статус доступной памяти,покажи статус доступной памяти
43,я не устал я действительно счастлив,я не устал я действительно счастлив
44,олли я не устал я на самом деле счастлив,олли я не устал я на самом деле счастлив
45,как дела,как дела
46,как дела olly,как дела olly
47,сколько времени в австралии,сколько времени в [place_name : австралии]
48,скажи мне время в москве,скажи мне время в [place_name : москве]
49,скажи мне какое среднее время по гринвичу плюс пять,скажи мне какое [time_zone : среднее время по гринвичу плюс пять]
50,olly скажи мне время по плюс пять по всемирному времени,olly скажи мне время по [time_zone : плюс пять по всемирному времени]
51,olly назови самые популярные сервисы доставки китайской еды,olly назови самые популярные сервисы [order_type : доставки] [food_type : китайской] еды
52,самые популярные варианты доставки китайской еды,самые популярные варианты [order_type : доставки] [food_type : китайской] еды
53,назови самые популярные сервисы доставки китайской еды,назови самые популярные сервисы [order_type : доставки] [food_type : китайской] еды
54,алиса доставка китайской еды с самым высоким рейтингом,алиса [order_type : доставка] [food_type : китайской] еды с самым высоким рейтингом
55,я хочу немного карри с собой рекомендации,я хочу немного [food_type : карри] с собой рекомендации
56,я хочу немного карри есть какие нибудь предложения olly,я хочу немного [food_type : карри] есть какие нибудь предложения olly
57,найди мои тайские блюда на вынос в панинаро,найди мои [food_type : тайские] [order_type : блюда на вынос] в [place_name : панинаро]
58,найди мне тайскую еду на вынос около петропавловской крепости,найди мне [food_type : тайскую еду] [order_type : на вынос] около [place_name : петропавловской крепости]
59,отмени мой будильник на семь утра,отмени мой будильник на [time : семь утра]
60,останови будильник на семь утра,останови будильник на [time : семь утра]
61,какие будильники я установил,какие будильники я установил
62,пожалуйста список активных будильников,пожалуйста список активных будильников
63,расскажи мне о моих будильниках,расскажи мне о моих будильниках
65,что происходит сегодня в футболе,что происходит [date : сегодня] в [news_topic : футболе]
66,поставь пожалуйста кравц обнуляй,поставь пожалуйста [artist_name : кравц] [song_name : обнуляй]
67,я бы хотел послушать король и шут прыгнуть со скалы,я бы хотел послушать [artist_name : король и шут] [song_name : прыгнуть со скалы]
68,сыграть мне башню мумий тролля,сыграть мне [song_name : башню] [artist_name : мумий тролля]
69,я люблю музыку в стиле рок,я люблю музыку в стиле [music_genre : рок]
70,моя любимая музыкальная группа это чайф,моя любимая музыкальная группа это [artist_name : чайф]
71,я люблю песни леонида агутина,я люблю песни [artist_name : леонида агутина]
72,начни играть музыку из избранного,начни играть музыку из избранного
73,включи мою избранную музыку,включи мою избранную музыку
74,какая группа сейчас играет,какая группа сейчас играет
75,кто автор текущей песни,кто автор текущей песни
76,с какого альбома эта музыка,с какого альбома эта музыка
77,олли я действительно наслаждаюсь этой песней,олли я действительно наслаждаюсь этой песней
78,песня которую ты играешь великолепна,песня которую ты играешь великолепна
79,это одно из самых лучших песен для меня,это одно из самых лучших песен для меня
80,сделай яркость освещения поярче,сделай яркость освещения поярче
81,сделай свет поярче,сделай свет поярче
82,включи свет на максимум,включи свет [change_amount : на максимум]
83,эй включи робот пылесос,эй включи [device_type : робот пылесос]
84,включи робот пылесос,включи [device_type : робот пылесос]
85,скажи мне сегодняшнее число,скажи мне [date : сегодняшнее] число
86,какая сегодня дата,какая [date : сегодня] дата
87,пожалуйста закажи немного суши на ужин,пожалуйста закажи немного [food_type : суши] на [meal_type : ужин]
88,эй я хочу чтобы ты заказал бургер,эй я хочу чтобы ты заказал [food_type : бургер]
