id,utt,annot_utt
0,이번 주 오전 다섯 시 에 깨워줘,[date : 이번 주] [time : 오전 다섯 시] 에 깨워줘
1,금요일 오전 아홉 시 에 깨워줘,[date : 금요일] [time : 오전 아홉 시] 에 깨워줘
2,지금부터 두시 간 동안 알람 설정해,[time : 지금부터 두시 간] 동안 알람 설정해
3,조용히 해,조용히 해
4,올리 조용히 해,올리 조용히 해
5,그만,그만
6,올리 십초 동안 멈춰줘,올리 [time : 십초] 동안 멈춰줘
7,십초 간 일시정지 해,[time : 십초] 간 일시정지 해
8,분홍색,[color_type : 분홍색]
9,여기 조명 조금 더 따뜻하게 해 줘,여기 조명 조금 더 [color_type : 따뜻하게] 해 줘
10,독서하기에 알맞게 조명 설정해,[color_type : 독서하기에 알맞게] 조명 설정해
11,불 꺼 줘,불 꺼 줘
12,잘 시간이야,잘 시간이야
13,잘 시간이야,잘 시간이야
14,그리고 어둠이 내려앉았다,그리고 어둠이 내려앉았다
15,화장실 불 꺼 줘,[house_place : 화장실] 불 꺼 줘
16,현관 불 어둡게 해줘,[house_place : 현관] 불 어둡게 해줘
17,현관 불 어둡게 해줘,[house_place : 현관] 불 어둡게 해줘
18,안방 불 꺼 줘,[house_place : 안방] 불 꺼 줘
19,침실 조명 꺼,[house_place : 침실] 조명 꺼
20,조명 이십 퍼센트로 설정해줘,조명 [change_amount : 이십 퍼센트로] 설정해줘
21,올리 조명 이십 퍼센트로 설정해,올리 조명 [change_amount : 이십 퍼센트로] 설정해
22,주방 조명 어둡게,[house_place : 주방] 조명 어둡게
23,주방 불 어둡게 해줘,[house_place : 주방] 불 어둡게 해줘
24,방 어둡게 해줘,[house_place : 방] 어둡게 해줘
25,올리 집 청소해,올리 [house_place : 집] 청소해
26,아파트 청소,[house_place : 아파트] 청소
27,여기 더러우니 청소기 돌려줘,여기 더러우니 청소기 돌려줘
28,집 청소기 돌려,[house_place : 집] 청소기 돌려
29,올리 집 청소기 돌려,올리 [house_place : 집] 청소기 돌려
30,청소는 좋은 거지 먼지가 가득해 카페트 깨끗하게 해줘,청소는 좋은 거지 먼지가 가득해 [house_place : 카페트] 깨끗하게 해줘
31,거실 청소기 돌려,[house_place : 거실] 청소기 돌려
32,거실 청소기 돌려줘,[house_place : 거실] 청소기 돌려줘
33,쇼가 시작하는 시간 확인,쇼가 시작하는 시간 확인
34,잔나비 노래 다시 틀어줘,[artist_name : 잔나비] 노래 다시 틀어줘
35,그 노래 다시 한번 듣고 싶어,그 [media_type : 노래] 다시 한번 듣고 싶어
36,내 차가 준비됐는지 확인해,내 차가 준비됐는지 확인해
37,내 노트북이 작동하는지 체크해 줘,내 노트북이 작동하는지 체크해 줘
38,내 화면 밝기 어두워,내 화면 밝기 어두워
39,위치 서비스를 켜야 하는데 확인 할 수 있어,위치 서비스를 켜야 하는데 확인 할 수 있어
40,내 전력 사용 상태 확인해줘,내 전력 사용 상태 확인해줘
41,내 화면 밝기 현황 알려줘,내 화면 밝기 현황 알려줘
42,사용 가능한 메모리 상태 알려줘,사용 가능한 메모리 상태 알려줘
43,나 안피곤해 사실 정말 행복해,나 안피곤해 사실 정말 행복해
44,올리야 나 안 피곤해 사실 행복해,올리야 나 안 피곤해 사실 행복해
45,무슨 일이니,무슨 일이니
46,올리야 무슨 일 있어,올리야 무슨 일 있어
47,호주 몇 시야,[place_name : 호주] 몇 시야
48,모스크바 몇 시인지 알려줘,[place_name : 모스크바] 몇 시인지 알려줘
49,g. m. t. 에서 다섯 시간 더하면 몇 시인지 알려줘,[time_zone : g. m. t. 에서 다섯 시간 더하면] 몇 시인지 알려줘
50,g. m. t. 플러스 파이브 시간대의 시간 말해줘,[time_zone : g. m. t. 플러스 파이브] 시간대의 시간 말해줘
51,올리 가장 인기 있는 한식 배달 알려줘,올리 가장 인기 있는 [food_type : 한식] [order_type : 배달] 알려줘
52,한식 음식에 대한 가장 높은 등급의 배달 옵션,[food_type : 한식] 음식에 대한 가장 높은 등급의 [order_type : 배달] 옵션
53,중국 식당의 가장 인기 있는 배달 옵션 보여줘,[food_type : 중국] 식당의 가장 인기 있는 [order_type : 배달] 옵션 보여줘
54,올리 가장 인기 있는 중국음식 배달 옵션 찾아줘,올리 가장 인기 있는 [food_type : 중국음식] [order_type : 배달] 옵션 찾아줘
55,추천할 만한 포장 카레가 있으면 좋겠어,추천할 만한 포장 [food_type : 카레가] 있으면 좋겠어
56,올리야 돈까스 먹고 싶은데 어떤 추천이 있을까,올리야 [food_type : 돈까스] 먹고 싶은데 어떤 추천이 있을까
57,강남 근처에서 내 중식 테이크아웃 찾아줘,[place_name : 강남] 근처에서 내 [food_type : 중식] [order_type : 테이크아웃] 찾아줘
58,광장시장 근처에서 내 태국 포장음식 찾아,[place_name : 광장시장] 근처에서 내 [food_type : 태국] [order_type : 포장음식] 찾아
59,오전 일곱시에 알람 취소해줘,오전 [time : 일곱시에] 알람 취소해줘
60,오전 일곱 시 알람 중지,[time : 오전 일곱 시] 알람 중지
61,내가 어떤 알람들 맞췄어,내가 어떤 알람들 맞췄어
62,활성화된 알람 나열해주시겠어요,활성화된 알람 나열해주시겠어요
63,내 알람들 알려줘,내 알람들 알려줘
65,오늘 축구 소식 있어,[date : 오늘] [news_topic : 축구] 소식 있어
66,아이유 의 겨울잠 들려주세요,[artist_name : 아이유] 의 [song_name : 겨울잠] 들려주세요
67,산들의 취기를 빌려 듣고 싶어,[artist_name : 산들의] [song_name : 취기를 빌려] 듣고 싶어
68,비비 의 우리가 헤어져야 했던 이유 재생,[artist_name : 비비] 의 [song_name : 우리가 헤어져야 했던 이유] 재생
69,나는 록 음악 좋아,나는 [music_genre : 록] 음악 좋아
70,내가 가장 좋아하는 밴드는 송골매야,내가 가장 좋아하는 밴드는 [artist_name : 송골매야]
71,나는 코요태 노래 좋아,나는 [artist_name : 코요태] 노래 좋아
72,애창곡 음악 틀어줘,애창곡 음악 틀어줘
73,내 최고의 음악 틀어줘,내 최고의 음악 틀어줘
74,지금 나오는 음악 밴드 누구야,지금 나오는 음악 밴드 누구야
75,현재 나오는 음악 작가가 누구야,현재 나오는 음악 작가가 누구야
76,지금 음악 나오는 저 앨범 뭐야,지금 음악 나오는 저 앨범 뭐야
77,이 음악 정말 좋아,이 음악 정말 좋아
78,지금 재생한 노래 좋다,지금 재생한 노래 좋다
79,이건 나를 위한 최고의 노래 중 하나야,이건 나를 위한 최고의 노래 중 하나야
80,전등 밝기 더 높게 설정해줘,전등 밝기 더 높게 설정해줘
