id,utt,annot_utt
0,bangunkan saya pukul lima pagi minggu ini,bangunkan saya [time : pukul lima pagi] [date : minggu ini]
1,bagunkan saya jam sembilan pagi hari jumat,bagunkan saya [time : jam sembilan pagi] hari [date : jumat]
2,atur alarm dua jam dari sekarang,atur alarm [time : dua jam dari sekarang]
3,diam,diam
4,olly tenang,olly tenang
5,berhenti,berhenti
6,olly jeda selama sepuluh detik,olly jeda selama [time : sepuluh detik]
7,jeda untuk sepuluh detik,jeda untuk [time : sepuluh detik]
8,kami ingin merah muda,kami ingin [color_type : merah muda]
9,buat pencahayaan sedikit lebih hangat di sini,buat pencahayaan sedikit lebih [color_type : hangat] di sini
10,tolong atur pencahayaan yang cocok untuk membaca,tolong atur pencahayaan [color_type : yang cocok untuk membaca]
11,tolong matikan lampu,tolong matikan lampu
12,waktunya untuk tidur,waktunya untuk tidur
13,waktunya tidur olly,waktunya tidur olly
14,dan kegelapan menyelimuti,dan kegelapan menyelimuti
15,matikan lampu di dalam kamar mandi,matikan lampu di dalam [house_place : kamar mandi]
16,olly redupkan lampu di aula,olly redupkan lampu di [house_place : aula]
17,redupkan lampu di aula,redupkan lampu di [house_place : aula]
18,matikan lampu di kamar tidur,matikan lampu di [house_place : kamar tidur]
19,olly matikan lampu di kamar tidur,olly matikan lampu di [house_place : kamar tidur]
20,atur penerangan ke dua puluh persen,atur penerangan [change_amount : ke dua puluh persen]
21,olly atur lampu ke dua puluh persen,olly atur lampu [change_amount : ke dua puluh persen]
22,olly redupkan lampu di dapur,olly redupkan lampu di [house_place : dapur]
23,redupkan lampu di dapur,redupkan lampu di [house_place : dapur]
24,buat ruangan lebih gelap,buat [house_place : ruangan] lebih gelap
25,olly bersihkan apartemen,olly bersihkan [house_place : apartemen]
26,bersihkan apartemen,bersihkan [house_place : apartemen]
27,di sini kotor ayo bersih bersih,di sini kotor ayo bersih bersih
28,bersihkan rumah,bersihkan [house_place : rumah]
29,sedot debu rumah google,sedot debu [house_place : rumah] google
30,membersihkan itu baik debu sangat buruk lakukan sekarang sihirmu bersihkan karpet ku,membersihkan itu baik debu sangat buruk lakukan sekarang sihirmu bersihkan [house_place : karpet] ku
31,bersihkan koridor,bersihkan [house_place : koridor]
32,sedot debu karpet,sedot debu [house_place : karpet]
33,periksa apakah pertunjukan dimulai,periksa apakah pertunjukan dimulai
34,saya ingin mendengar lagu vidi aldiano sekali lagi,saya ingin mendengar lagu [artist_name : vidi aldiano] sekali lagi
35,saya mau putar musik itu sekali lagi,saya mau putar [media_type : musik] itu sekali lagi
36,periksa apakah mobil saya sudah siap,periksa apakah mobil saya sudah siap
37,cek apa laptopku masih jalan,cek apa laptopku masih jalan
38,apa kecerahan layar aku ada di tingkat rendah,apa kecerahan layar aku ada di tingkat rendah
39,aku butuh nyalain layanan lokasi bisa cek,aku butuh nyalain layanan lokasi bisa cek
40,cek status penggunaan daya saya,cek status penggunaan daya saya
41,saya ingin melihat status tingkat kecerahan layar saya,saya ingin melihat status tingkat kecerahan layar saya
42,beritahu saya status memori tersedia,beritahu saya status memori tersedia
43,saya tidak lelah sebenarnya saya merasa senang,saya tidak lelah sebenarnya saya merasa senang
44,olly aku gak capek sebenarnya aku senang,olly aku gak capek sebenarnya aku senang
45,apa kabar,apa kabar
46,apa kabar olly,apa kabar olly
47,waktu di australia,waktu di [place_name : australia]
48,beri tahu saya waktu di malang,beri tahu saya waktu di [place_name : malang]
49,jam berapa sekarang di g. m. t. plus lima,jam berapa sekarang di [time_zone : g. m. t. plus lima]
50,olly beri tahu waktu di g. m. t. plus lima,olly beri tahu waktu di [time_zone : g. m. t. plus lima]
51,olly buat daftar layanan pengiriman untuk makanan jawa dengan rating tertinggi,olly buat daftar layanan [order_type : pengiriman] untuk makanan [food_type : jawa] dengan rating tertinggi
52,pilihan pesan antar paling bernilai baik untuk makanan cina,pilihan [order_type : pesan antar] paling bernilai baik untuk makanan [food_type : cina]
53,daftar makanan cina dengan rating tertinggi yang bisa pesan antar,daftar makanan [food_type : cina] dengan rating tertinggi yang bisa [order_type : pesan antar]
54,ratna tolong berikan pilihan pengiriman yang paling banyak dinilai untuk masakan cina,ratna tolong berikan pilihan pengiriman yang paling banyak dinilai untuk masakan [food_type : cina]
55,saya mau kari dibungkus ada rekomendasi,saya mau [food_type : kari] dibungkus ada rekomendasi
56,saya ingin kari yang bisa dibawa pulang apakah ada rekomendasi olly,saya ingin [food_type : kari] yang bisa dibawa pulang apakah ada rekomendasi olly
57,temukan buat saya makanan khas thailand untuk dibawa pulang di sekitar ranch market,temukan buat saya makanan [food_type : khas thailand] untuk [order_type : dibawa pulang] di sekitar [place_name : ranch market]
58,temukan layanan bawa pulang makanan sunda saya dekat simpangan depok,temukan layanan [order_type : bawa pulang] [food_type : makanan sunda] saya dekat [place_name : simpangan depok]
59,batalkan alarm saya pukul tujuh pagi,batalkan alarm saya [time : pukul tujuh pagi]
60,hentikan alarm pukul tujuh pagi,hentikan alarm [time : pukul tujuh pagi]
61,alarm apa saja yang sudah saya setel,alarm apa saja yang sudah saya setel
62,tolong daftar alarm yang aktif,tolong daftar alarm yang aktif
63,apa saja alarm saya,apa saja alarm saya
65,apa yang terjadi di sepak bola hari ini,apa yang terjadi di [news_topic : sepak bola] [date : hari ini]
66,tolong putar ruang sendiri oleh tulus,tolong putar [song_name : ruang sendiri] oleh [artist_name : tulus]
67,saya ingin mendengar tulus ruang sendiri,saya ingin mendengar [artist_name : tulus] [song_name : ruang sendiri]
68,putar lagu barcelona dari queen,putar [song_name : lagu barcelona] [artist_name : dari queen]
69,saya suka musik rock,saya suka musik [music_genre : rock]
70,band musik favorit saya adalah noah,band musik favorit saya adalah [artist_name : noah]
71,saya suka lagu lagu tulus,saya suka lagu lagu [artist_name : tulus]
72,mulai memutar musik dari favorit,mulai memutar musik dari favorit
73,tolong putar musik terbaik saya,tolong putar musik terbaik saya
74,band apa yang sekarang dimainkan,band apa yang sekarang dimainkan
75,siapa penulis lagu yang lagi diputar,siapa penulis lagu yang lagi diputar
76,apa itu album dari lagu saat ini,apa itu album dari lagu saat ini
77,olly saya sangat menikmati lagu ini,olly saya sangat menikmati lagu ini
78,lagu yang kamu mainkan luar biasa,lagu yang kamu mainkan luar biasa
79,ini salah satu lagu terbaik bagi saya,ini salah satu lagu terbaik bagi saya
80,atur kecerahan lampu menjadi lebih terang,atur kecerahan lampu menjadi lebih terang
81,buat lampu menjadi lebih terang,buat lampu menjadi lebih terang
82,tolong nyalakan lampu ke yang paling terang,tolong nyalakan lampu ke [change_amount : yang paling terang]
