id,utt,annot_utt
0,مجھے اس ہفتے صبح کے پانچ بجے جگا دیں,مجھے [date : اس ہفتے] [time : صبح کے پانچ بجے] جگا دیں
1,مجھے جمعہ کی صبح نو بجے جگا دیں,مجھے [date : جمعہ] کی صبح [time : نو بجے] جگا دیں
2,اب سے دو گھنٹے کے لیے الارم سیٹ کریں,[time : اب سے دو گھنٹے] کے لیے الارم سیٹ کریں
3,خاموش,خاموش
4,علی خاموش رہو,علی خاموش رہو
5,روکو,روکو
6,علی دس سیکنڈ کے لیے رکیں,علی [time : دس سیکنڈ] کے لیے رکیں
7,دس سیکنڈ کے لیے رکیں,[time : دس سیکنڈ] کے لیے رکیں
8,ہمیں صرف گلابی کی ضرورت ہے,ہمیں صرف [color_type : گلابی] کی ضرورت ہے
9,یہاں روشنی کو تھوڑا مزید گرم بنائیں,یہاں روشنی کو تھوڑا مزید [color_type : گرم] بنائیں
10,براہ کرم پڑھنے کے لیے موزوں روشنیاں سیٹ کریں,براہ کرم [color_type : پڑھنے کے لیے موزوں] روشنیاں سیٹ کریں
11,روشنی بند کرو پلیز,روشنی بند کرو پلیز
12,سونے کا وقت,سونے کا وقت
13,ماہی کا سونے کا وقت,ماہی کا سونے کا وقت
14,اور اندھیرا چھا گیا ہے,اور اندھیرا چھا گیا ہے
15,باتھ روم میں روشنی بند کرو,[house_place : باتھ روم] میں روشنی بند کرو
16,ہال کی روشنیاں مدھم کر دیں,[house_place : ہال] کی روشنیاں مدھم کر دیں
17,ہال کی روشنیاں مدھم کر دیں,[house_place : ہال] کی روشنیاں مدھم کر دیں
18,سونے کے کمرے میں روشنی بند کرو,سونے کے [house_place : کمرے] میں روشنی بند کرو
19,ماہی سونے کے باتھ روم کی روشنی بند کرو,ماہی سونے کے [house_place : باتھ روم] کی روشنی بند کرو
20,بتیوں کو بیس فیسد پر سیٹ کریں,بتیوں کو [change_amount : بیس فیسد] پر سیٹ کریں
21,ماہی نے بیس فیسد سے لائٹیں لگا دیں,ماہی نے [change_amount : بیس فیسد سے] لائٹیں لگا دیں
22,باورچی خانہ ماہی کی روشنی کو مدھم کر دو,[house_place : باورچی خانہ] ماہی کی روشنی کو مدھم کر دو
23,باورچی خانہ کی روشنی کو مدھم کرو,[house_place : باورچی خانہ] کی روشنی کو مدھم کرو
24,کمرے کو گہرا بنائیں,[house_place : کمرے] کو گہرا بنائیں
25,ماہی فلیٹ صاف کرو,ماہی [house_place : فلیٹ] صاف کرو
26,گھر صاف کرو,[house_place : گھر] صاف کرو
27,شار,شار
28,گھر,[house_place : گھر]
29,ماہی گھر کو خالی کرو,ماہی [house_place : گھر] کو خالی کرو
30,صفائی اچھی ہے دھول اتنی بری ہے اب کرو اپنے جادو سے میرے قالین کو صاف کرو,صفائی اچھی ہے دھول اتنی بری ہے اب کرو اپنے جادو سے میرے [house_place : قالین] کو صاف کرو
31,دالان ہوور,[house_place : دالان] ہوور
32,چاروں طرف قالین بچھا دیں,چاروں طرف [house_place : قالین] بچھا دیں
33,جب شو شروع ہو تو چیک کرنا,جب شو شروع ہو تو چیک کرنا
34,میں عاطف اسلم کا گانا دوبارہ سننا چاہتا ہوں,میں [artist_name : عاطف اسلم] کا گانا دوبارہ سننا چاہتا ہوں
35,میں وہ موسیقی دوبارہ سننا چاہتا ہوں,میں وہ [media_type : موسیقی] دوبارہ سننا چاہتا ہوں
36,چیک کریں میری گاڑی تیار ہے,چیک کریں میری گاڑی تیار ہے
37,چیک کریں میرا لیپ ٹاپ کام کر رہا ہے,چیک کریں میرا لیپ ٹاپ کام کر رہا ہے
38,کیا میری سکرین کی چمک کم چل رہی ہے,کیا میری سکرین کی چمک کم چل رہی ہے
