id,utt,annot_utt
0,এই সপ্তাহে পাঁচটায় আমাকে ঘুম থেকে জাগাও,[date : এই সপ্তাহে] [time : পাঁচটায়] আমাকে ঘুম থেকে জাগাও
1,আমাকে শুক্রবার সকাল ন-টায় জাগিয়ে দেবেন,আমাকে [date : শুক্রবার] [time : সকাল ন-টায়] জাগিয়ে দেবেন
2,এখন থেকে দুই ঘন্টার জন্য একটি অ্যালার্ম সেট করুন,[time : এখন থেকে দুই ঘন্টার] জন্য একটি অ্যালার্ম সেট করুন
3,শান্ত,শান্ত
4,অলি শান্ত,অলি শান্ত
5,বন্ধ রাখা,বন্ধ রাখা
6,অলি দশ সেকেন্ডের জন্য বিরতি,অলি দশ [time : সেকেন্ডের] জন্য বিরতি
7,দশ সেকেন্ডের জন্য বিরতি,[time : দশ সেকেন্ডের] জন্য বিরতি
8,গোলাপী আমাদের প্রয়োজন সব,[color_type : গোলাপী] আমাদের প্রয়োজন সব
9,make এখানে আলো আরও একটু উষ্ণ করুন,make এখানে আলো আরও একটু [color_type : উষ্ণ] করুন
10,পড়ার জন্য উপযুক্ত আলো সেট করুন,[color_type : পড়ার জন্য উপযুক্ত] আলো সেট করুন
11,দয়া করে আলো বন্ধ করুন,দয়া করে আলো বন্ধ করুন
12,ঘুমানোর সময়,ঘুমানোর সময়
13,এখন ঘুমানোর সময় শাবানা,এখন ঘুমানোর সময় শাবানা
14,এবং অন্ধকার কমে গেছে,এবং অন্ধকার কমে গেছে
15,বাথরুমের আলো বন্ধ করুন,[house_place : বাথরুমের] আলো বন্ধ করুন
16,ওলি হলের আলো আবছা কর,ওলি [house_place : হলের] আলো আবছা কর
17,হলঘরের আলো নিভিয়ে দাও,[house_place : হলঘরের] আলো নিভিয়ে দাও
18,বসার ঘরের আলো নিভিয়ে দাও,[house_place : বসার ঘরের] আলো নিভিয়ে দাও
19,বেডরুমের আলো নিভিয়ে দাও,[house_place : বেডরুমের] আলো নিভিয়ে দাও
