id,utt,annot_utt
0,энэ долоо хоног намайг таван цагт сэрээгээрэй,[date : энэ долоо хоног] намайг [time : таван цагт] сэрээгээрэй
1,тавдахад есөн цагт намайг сэрээгээрэй,[date : тавдахад] [time : есөн цагт] намайг сэрээгээрэй
2,одооноос хоёр цагийн дараа сэрүүлэг тавь,[time : одооноос хоёр цагийн дараа] сэрүүлэг тавь
3,чимээгүй,чимээгүй
4,олли чимээгүй,олли чимээгүй
5,зогс,зогс
6,olly арван секунд түр зогсоо,olly [time : арван секунд] түр зогсоо
7,арван секунд завсарла,[time : арван секунд] завсарла
8,бидэнд ягаан өнгө л хэрэгтэй байна,бидэнд [color_type : ягаан] өнгө л хэрэгтэй байна
9,гэрэлтүүлгийг энд бага зэрэг илүү зөөлөн болго,гэрэлтүүлгийг энд бага зэрэг илүү [color_type : зөөлөн] болго
10,гэрэлтүүлгийг уншихад тохиромжтой болгоно уу,гэрэлтүүлгийг [color_type : уншихад тохиромжтой] болгоно уу
11,гэрлийг унтраа,гэрлийг унтраа
12,унтах цаг боллоо,унтах цаг боллоо
13,олли унтах цаг боллоо,олли унтах цаг боллоо
14,тэгээд гүн харанхуй боллоо,тэгээд гүн харанхуй боллоо
15,угаалгын өрөөний гэрлийг унтраа,[house_place : угаалгын өрөөний] гэрлийг унтраа
16,olly танхимын гэрлийг бүдэгрүүл,olly [house_place : танхимын] гэрлийг бүдэгрүүл
17,үүдний өрөөний гэрлийг бүдэгрүүл,[house_place : үүдний өрөөний] гэрлийг бүдэгрүүл
18,унтлагын өрөөний гэрэлнүүдийг унтраагаарай,[house_place : унтлагын өрөөний] гэрэлнүүдийг унтраагаарай
19,олли унтлагын өрөөний гэрлийг унтраагаарай,олли [house_place : унтлагын өрөөний] гэрлийг унтраагаарай
20,гэрэлтүүлгийг хорин хувь болго,гэрэлтүүлгийг [change_amount : хорин хувь] болго
21,olly гэрэлтүүлгийг хорин хувь болго,olly гэрэлтүүлгийг [change_amount : хорин хувь] болго
22,гал тогооны өрөөний гэрлийг бүдэгрүүл олли,[house_place : гал тогооны өрөөний] гэрлийг бүдэгрүүл олли
23,гал тогооны гэрлийг бүдэгрүүлээрэй,[house_place : гал тогооны] гэрлийг бүдэгрүүлээрэй
24,өрөөг илүү харанхуй болго,[house_place : өрөөг] илүү харанхуй болго
25,олли гэр цэвэрлэ,олли [house_place : гэр] цэвэрлэ
26,гэр цэвэрлэ,[house_place : гэр] цэвэрлэ
27,энд муухай хогтой байна жаахан дуу гаргаарай,энд муухай хогтой байна жаахан дуу гаргаарай
28,гэрийг соруул,[house_place : гэрийг] соруул
29,olly гэрийн тоосыг соруулна уу,olly [house_place : гэрийн] тоосыг соруулна уу
30,цэвэрхэн байх сайхан шүү тоос шороо маш муу одоо миний хивсийг цэвэрлээрэй,цэвэрхэн байх сайхан шүү тоос шороо маш муу одоо миний [house_place : хивсийг] цэвэрлээрэй
31,үүдний өрөөг соруул,[house_place : үүдний өрөөг] соруул
32,хивснүүдийн тоосыг соруул,[house_place : хивснүүдийн] тоосыг соруул
33,шоу хэзээ эхлэхийг шалгах,шоу хэзээ эхлэхийг шалгах
34,the compassын дууг дахиад нэг сонсмоор байна,[artist_name : the compassын] дууг дахиад нэг сонсмоор байна
35,тэр хөгжмийг дахин тоглуулна уу,тэр [media_type : хөгжмийг] дахин тоглуулна уу
36,миний машин бэлэн болсон эсэхийг шалга,миний машин бэлэн болсон эсэхийг шалга
37,миний лабтоп ажиллаж байгаа эсэхийг шалгаач,миний лабтоп ажиллаж байгаа эсэхийг шалгаач
38,миний дэлгэц ний гэрэлтүүлэг буураад байна,миний дэлгэц ний гэрэлтүүлэг буураад байна
