id,utt,annot_utt
0,這週早上五點叫醒我,[date : 這週] [time : 早上五點] 叫醒我
1,禮拜五早上九點叫醒我,[date : 禮拜五] [time : 早上九點] 叫醒我
2,設定兩小時後的鬧鐘,設定 [time : 兩小時後] 的鬧鐘
3,安靜,安靜
4,奧利很安靜,奧利很安靜
5,停,停
6,olly 暫停十秒,olly 暫停 [time : 十秒]
7,暫停十秒,暫停 [time : 十秒]
8,我們需要的粉紅色,我們需要的 [color_type : 粉紅色]
9,使這裡燈光稍微更溫暖,使這裡燈光稍微更 [color_type : 溫暖]
10,設定適合閱讀的燈光,設定 [color_type : 適合閱讀] 的燈光
11,請關掉電燈,請關掉電燈
12,該睡覺了,該睡覺了
13,該睡覺了 olly,該睡覺了 olly
14,黑暗降臨,黑暗降臨
15,關掉浴室電燈,關掉 [house_place : 浴室] 電燈
16,大廳燈光調暗,[house_place : 大廳] 燈光調暗
17,大廳的燈調暗,[house_place : 大廳的] 燈調暗
18,關掉臥室電燈,關掉 [house_place : 臥室] 電燈
19,關掉臥室電燈,關掉 [house_place : 臥室] 電燈
20,把光線設定在百分之二十,把光線設定在 [change_amount : 百分之二十]
21,燈光調到百分之二十,燈光調 [change_amount : 到百分之二十]
22,olly 請調暗廚房燈,olly 請調暗廚房燈
23,調暗廚房的燈光,調暗 [house_place : 廚房] 的燈光
24,把房間變暗一點,把 [house_place : 房間] 變暗一點
25,打掃住處,打掃 [house_place : 住處]
26,打掃公寓,打掃 [house_place : 公寓]
27,這裡很髒製造一點噪音,這裡很髒製造一點噪音
28,房子吸塵,[house_place : 房子] 吸塵
29,吸房子地板,吸 [house_place : 房子] 地板
30,打掃好灰塵不好快幫我清理地毯,打掃好灰塵不好快幫我清理 [house_place : 地毯]
31,去吸走廊,去吸 [house_place : 走廊]
32,在地毯附近巡迴,在 [house_place : 地毯] 附近巡迴
33,查一下這節目甚麼時候開始,查一下這節目甚麼時候開始
34,我想再聼一次周杰倫的歌曲,我想再聼一次 [artist_name : 周杰倫] 的歌曲
35,再一次播放那首音樂,再一次播放那首音樂
36,檢查我的車準備好了嗎,檢查我的車準備好了嗎
37,檢查我的筆記型電腦是否正常工作,檢查我的筆記型電腦是否正常工作
38,我的螢幕明亮度變低了嗎,我的螢幕明亮度變低了嗎
39,我需要定位服務你能查一下嗎,我需要定位服務你能查一下嗎
40,檢查我的電池使用狀態,檢查我的電池使用狀態
41,我想知道我的螢幕亮度,我想知道我的螢幕亮度
42,我的可用內存的狀態,我的可用內存的狀態
43,我不累我其實很開心,我不累我其實很開心
44,olly 我不累我其實很開心,olly 我不累我其實很開心
45,怎樣啦,怎樣啦
46,怎麼了 olly,怎麼了 olly
47,澳洲幾點,[place_name : 澳洲] 幾點
48,告訴我莫斯科的時間,告訴我 [place_name : 莫斯科] 的時間
49,格林威治時間加五小時是幾點,[time_zone : 格林威治時間加五小時] 是幾點
50,olly 告訴我 g. m. t. 加五的時間,olly 告訴我 [time_zone : g. m. t. 加五] 的時間
51,olly 列出最高分的外送中式食物選擇,olly 列出最高分的 [order_type : 外送] [food_type : 中式] 食物選擇
52,最受好評的中式餐點外送選項,最受好評的 [food_type : 中式] 餐點 [order_type : 外送] 選項
53,列出最受好評的中式餐點外送選項,列出最受好評的 [food_type : 中式] 餐點 [order_type : 外送] 選項
54,olly 最高分的中式外送選擇,olly 最高分的 [food_type : 中式] [order_type : 外送] 選擇
55,有任何推薦的咖哩外帶餐點嗎,有任何推薦的 [food_type : 咖哩] 外帶餐點嗎
56,我想要吃咖哩任何建議 olly,我想要吃 [food_type : 咖哩] 任何建議 olly
57,在中正紀念堂找我的泰式外帶,在 [place_name : 中正紀念堂] 找我的 [food_type : 泰式] [order_type : 外帶]
58,在中正紀念堂找我的泰式外帶,在 [place_name : 中正紀念堂] 找我的 [food_type : 泰式] [order_type : 外帶]
59,取消早上七點的鬧鐘,取消 [time : 早上七點] 的鬧鐘
60,停止早上七點的鬧鐘,停止 [time : 早上七點] 的鬧鐘
61,我設了那些鬧鐘,我設了那些鬧鐘
62,列出所有的鬧鐘,列出所有的鬧鐘
63,告訴我我所有的鬧鐘時間,告訴我我所有的鬧鐘時間
65,今天有什麼足球的消息嗎,[date : 今天] 有什麼 [news_topic : 足球] 的消息嗎
66,我要聽周杰倫的花海,我要聽周杰倫的花海
67,五月天洋蔥,[artist_name : 五月天] [song_name : 洋蔥]
68,幫我播放皇后合唱團的巴塞隆納,幫我播放 [artist_name : 皇后合唱團] 的 [song_name : 巴塞隆納]
69,我喜歡搖滾音樂,我喜歡 [music_genre : 搖滾] 音樂
70,我最喜歡的樂團是皇后樂團,我最喜歡的樂團是 [artist_name : 皇后樂團]
71,我喜歡草東沒有派對歌曲,我喜歡 [artist_name : 草東沒有派對] 歌曲
72,開始播放最愛中的音樂,開始播放最愛中的音樂
73,我最棒的音樂,我最棒的音樂
74,這樂團正在演奏甚麼,這樂團正在演奏甚麼
75,目前這首音樂的作者是誰,目前這首音樂的作者是誰
76,目前那首音樂的那個專輯是什麼,目前那首音樂的那個專輯是什麼
77,olly 我真的很享受這首歌,olly 我真的很享受這首歌
78,你正在播放的歌太棒了,你正在播放的歌太棒了
79,對我而言這是最棒的其中一首歌,對我而言這是最棒的其中一首歌
80,將燈的亮度設定更高,將燈的亮度設定更高
81,把燈開的更亮些,把燈開的更亮些
82,燈光調到最亮,燈光調 [change_amount : 到最亮]
83,開啟掃拖機器人,開啟 [device_type : 掃拖機器人]
84,打開掃地機器人,打開 [device_type : 掃地機器人]
85,告訴我今天的日期,告訴我 [date : 今天的] 日期
86,今天幾號,[date : 今天] 幾號
87,訂一些壽司當晚餐,訂一些 [food_type : 壽司] 當 [meal_type : 晚餐]
88,幫我訂漢堡,幫我訂 [food_type : 漢堡]
89,晚上的晚餐就吃壽司,[timeofday : 晚上] 的 [meal_type : 晚餐] 就吃 [food_type : 壽司]
90,我的晚餐訂單怎麼了,我的晚餐訂單怎麼了
91,我可以跟漢堡王訂外帶晚餐嗎,我可以跟 [business_name : 漢堡王] 訂 [order_type : 外帶] [meal_type : 晚餐] 嗎
92,爭鮮有做外帶嗎,[business_name : 爭鮮] 有做 [order_type : 外帶] 嗎
93,設定十二點的鬧鐘,設定 [time : 十二點] 的鬧鐘
94,從現在開始四十分鐘後設一個置鬧鐘,[time : 從現在開始四十分鐘後] 設一個置鬧鐘
95,為每個工作日設置八點鬧鐘,為 [general_frequency : 每個工作日] 設置 [time : 八點] 鬧鐘
96,正在下雨嗎,正在 [weather_descriptor : 下雨] 嗎
97,下雨了嗎,[weather_descriptor : 下雨] 了嗎
98,現在正在下雪嗎,現在正在 [weather_descriptor : 下雪] 嗎
99,一週的天氣預測,[time : 一週的] 天氣預測
100,本週的預測是什麼,本 [time : 週的] 預測是什麼
101,這週天氣怎麼樣,[date : 這週] 天氣怎麼樣
102,這個禮拜的天氣如何,[date : 這個禮拜] 的天氣如何
103,告訴我這週天氣,告訴我 [date : 這週] 天氣
104,b. b. c. 新聞,[media_type : b. b. c.] 新聞
105,民視有什麼新聞,[media_type : 民視] 有什麼新聞
106,華視最新消息,[media_type : 華視] 最新消息
107,播放告白氣球,播放 [song_name : 告白氣球]
108,歌曲我喜歡,歌曲我喜歡
109,播放天后,播放 [song_name : 天后]
110,播放周杰倫,播放 [artist_name : 周杰倫]
111,一點酷玩樂團,一點酷玩樂團
112,播放一些大衛鮑伊的歌曲,播放一些 [artist_name : 大衛鮑伊] 的歌曲
113,重複這首歌,[player_setting : 重複] 這首歌
114,隨機播放這個歌單,[player_setting : 隨機播放] 這個歌單
115,將音量設置為小聲,將音量設置為 [change_amount : 小聲]
116,正在播放甚麼,正在播放甚麼
117,這是什麼音樂,這是什麼音樂
118,告訴我這首歌的藝人,告訴我這首歌的藝人
119,讓我笑,讓我笑
120,olly 讓我笑,olly 讓我笑
121,講個好的笑話,講個 [joke_type : 好的] 笑話
122,用我的方式傻笑,用我的方式傻笑
123,給我說個笑話,給我說個笑話
124,olly 跟我說的笑話,olly 跟我說的笑話
125,alexa 跟我說個笑話,alexa 跟我說個笑話
126,鼓勵我下,鼓勵我下
127,今天星期幾,[date : 今天] 星期幾
128,是幾月幾號,是幾月幾號
129,告訴我今天的事,告訴我 [date : 今天] 的事
130,叫披薩,叫 [food_type : 披薩]
131,幫我從熊貓訂爭鮮,幫我從 [business_name : 熊貓] 訂 [food_type : 爭鮮]
132,訂個外帶,訂個 [order_type : 外帶]
133,我的訂單何時送到,我的訂單何時送到
134,我的外帶還要多久,我的 [order_type : 外帶] 還要多久
135,達美樂外送的狀態,[business_name : 達美樂] [order_type : 外送] 的狀態
136,正在播放甚麼,正在播放甚麼
137,告訴我這首歌的名字,告訴我這首歌的名字
138,那是哪首歌,那是哪首歌
139,播放我的爵士樂播放清單,播放我的 [music_genre : 爵士] 樂播放清單
140,我的爵士樂播放清單,我的 [music_genre : 爵士樂] 播放清單
141,播放我的最愛播放清單,播放我的最愛播放清單
142,這是一首好歌,這是一首好歌
143,我不喜歡它,我不喜歡它
144,我喜歡它,我喜歡它
145,我喜歡爵士樂,我喜歡 [music_genre : 爵士樂]
146,播放一些爵士音樂,播放一些爵士音樂
147,我想聼爵士樂,我想聼 [music_genre : 爵士] 樂
148,爵士樂,[music_genre : 爵士樂]
149,這首歌讚,這首歌讚
150,我喜歡這首歌曲,我喜歡這首歌曲
151,請再播放它再一遍,請再播放它再一遍
152,調音量,調音量
153,啟用隨機播放,啟用 [player_setting : 隨機播放]
154,儲存設定,儲存設定
155,設定亮度為百分之五十,設定亮度為 [change_amount : 百分之五十]
156,調降亮度,調降亮度
157,降低亮度,降低亮度
