id,utt,annot_utt
0,ಈ ವಾರ ಬೆಳಗ್ಗೆ ಐದು ಗಂಟೆಗೆ ನನ್ನನ್ನು ಎದ್ದೇಳಿ,[date : ಈ ವಾರ] [time : ಬೆಳಗ್ಗೆ ಐದು ಗಂಟೆಗೆ] ನನ್ನನ್ನು ಎದ್ದೇಳಿ
1,ಶುಕ್ರವಾರ ಬೆಳಗ್ಗೆ ಒಂಬತ್ತು ಗಂಟೆಗೆ ನನ್ನನ್ನು ಎಬ್ಬಿಸಿ ಗುರಿ ಅಲಾರಂ ಹೊಂದಿಸುವ ಕುರಿತು ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಸಹಾಯಕರನ್ನು ಕೇಳಲಾಗುತ್ತಿದೆ,[date : ಶುಕ್ರವಾರ] ಬೆಳಗ್ಗೆ [time : ಒಂಬತ್ತು ಗಂಟೆಗೆ] ನನ್ನನ್ನು ಎಬ್ಬಿಸಿ ಗುರಿ ಅಲಾರಂ ಹೊಂದಿಸುವ ಕುರಿತು ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಸಹಾಯಕರನ್ನು ಕೇಳಲಾಗುತ್ತಿದೆ
2,ಈಗಿನಿಂದ ಎರಡು ಗಂಟೆಗಳು ಕಾಲ ಅಲಾರಾಂ ಹೊಂದಿಸಿ,[time : ಈಗಿನಿಂದ ಎರಡು ಗಂಟೆಗಳು] ಕಾಲ ಅಲಾರಾಂ ಹೊಂದಿಸಿ
3,ಸ್ತಬ್ಧ,ಸ್ತಬ್ಧ
4,ಓಲಿ ಶಾಂತ,ಓಲಿ ಶಾಂತ
5,ನಿಲ್ಲಿಸು,ನಿಲ್ಲಿಸು
6,olly ಹತ್ತು ಸೆಕೆಂಡುಗಳು ಕಾಲ ವಿರಾಮಗೊಳಿಸಿ,olly [time : ಹತ್ತು ಸೆಕೆಂಡುಗಳು] ಕಾಲ ವಿರಾಮಗೊಳಿಸಿ
7,ಹತ್ತು ಸೆಕೆಂಡುಗಳ ಕಾಲ ವಿರಾಮಗೊಳಿಸಿ,[time : ಹತ್ತು ಸೆಕೆಂಡುಗಳ] ಕಾಲ ವಿರಾಮಗೊಳಿಸಿ
8,ಗುಲಾಬಿ ನಮಗೆ ಬೇಕಾಗಿರುವುದು,[color_type : ಗುಲಾಬಿ] ನಮಗೆ ಬೇಕಾಗಿರುವುದು
9,ಇಲ್ಲಿ ಲೈಟಿಂಗ್ ಸ್ವಲ್ಪ ಹೆಚ್ಚು ಬೆಚ್ಚಗಾಗಿಸಿ,ಇಲ್ಲಿ ಲೈಟಿಂಗ್ ಸ್ವಲ್ಪ ಹೆಚ್ಚು [color_type : ಬೆಚ್ಚಗಾಗಿಸಿ]
