id,utt,annot_utt
0,በዚህ ሳምንት ከንጋቱ አስራአንድ ሰዓት ከእንቅልፍ አንቃኝ,[date : በዚህ ሳምንት] [time : ከንጋቱ አስራአንድ ሰዓት] ከእንቅልፍ አንቃኝ
1,አርብ ዘጠኝ ኤ. ኤም. ሰዓት ላይ አንቃኝ,[date : አርብ] [time : ዘጠኝ ኤ. ኤም.] ሰዓት ላይ አንቃኝ
2,ከሁለት ሰአት በኀላ ሚጠራ የማንቂያ ደውል ያዝ,[time : ከሁለት ሰአት በኀላ ሚጠራ] የማንቂያ ደውል ያዝ
3,ጸጥታ,ጸጥታ
4,ኦሊ ዝም በል,ኦሊ ዝም በል
5,አቁም,አቁም
6,ኦሊ ለአስር ሰከንዶች አቁም,ኦሊ [time : ለአስር ሰከንዶች] አቁም
7,ለአስር ሰከንድ አቁም,[time : ለአስር ሰከንድ] አቁም
8,ሮዝ ብቻ ነው የምንፈልገው,[color_type : ሮዝ] ብቻ ነው የምንፈልገው
9,እዚህ መብራቱን መጠን ተጨማሪ ሞቃት አድርግ,እዚህ መብራቱን መጠን ተጨማሪ [color_type : ሞቃት] አድርግ
10,እባክህ መብራቱን ለማንበብ የሚመች አድርገህ አስተካክል,እባክህ መብራቱን [color_type : ለማንበብ የሚመች] አድርገህ አስተካክል
11,እባክህ መብራቶች እንዲጠፉ አድርግ,እባክህ መብራቶች እንዲጠፉ አድርግ
12,ለመተኛት ጊዜ,ለመተኛት ጊዜ
13,ኦሊ ለመተኛት ጊዜ,ኦሊ ለመተኛት ጊዜ
14,ጨለማውም ወደቀ,ጨለማውም ወደቀ
15,የባኞ ቤት መብራት አጥፋ,[house_place : የባኞ ቤት] መብራት አጥፋ
16,በቀለ በመተላለፍያ ላይ ያሉትን መብራቶችን ቀንስ,በቀለ [house_place : በመተላለፍያ] ላይ ያሉትን መብራቶችን ቀንስ
17,በ አዳራሽ ውስጥ ያሉትን መብራቶች አደበዝዝ,በ [house_place : አዳራሽ] ውስጥ ያሉትን መብራቶች አደበዝዝ
18,የአልጋ ቤት መብራቶች ን አጥፋ,[house_place : የአልጋ ቤት] መብራቶች ን አጥፋ
19,ኦሊ መኝታ ቤት መብራት አጥፋ,ኦሊ [house_place : መኝታ ቤት] መብራት አጥፋ
20,መብራቶችን ወደ ሃያ ፐርሰንት ያቀናብሩ,መብራቶችን [change_amount : ወደ ሃያ ፐርሰንት] ያቀናብሩ
21,ኦሊ ብርሃኑን ሃያ ፐርሰንት ላይ አድርግ,ኦሊ ብርሃኑን [change_amount : ሃያ ፐርሰንት] ላይ አድርግ
22,በኩሽና ውስጥ ያሉትን መብራቶች ብቻ አደብዝዝ,[house_place : በኩሽና] ውስጥ ያሉትን መብራቶች ብቻ አደብዝዝ
23,መድ ቤት ውስጥ ያሉትን መብራት ደብዛዛ,[house_place : መድ ቤት] ውስጥ ያሉትን መብራት ደብዛዛ
24,አንድ ከፍል ጨለማ ማድረግ አለብዎ,አንድ [house_place : ከፍል] ጨለማ ማድረግ አለብዎ
25,ኦሊ አፓርታማ ውን አጽዳ,ኦሊ [house_place : አፓርታማ] ውን አጽዳ
26,አፓርታማዉን አፅዳ,[house_place : አፓርታማዉን] አፅዳ
27,እዚህ ጋ አልፀዳም አፅዳው,እዚህ ጋ አልፀዳም አፅዳው
28,ቤት አጽዳ,[house_place : ቤት] አጽዳ
29,አበበ ቤት ቫክዩም አድርግ,አበበ [house_place : ቤት] ቫክዩም አድርግ
30,ማፅዳት ጥሩ ነው አቧራ በጣም መጥፎ ነው አሁን በአስማትህ የእኔን ምንጣፍ አጥራ,ማፅዳት ጥሩ ነው አቧራ በጣም መጥፎ ነው አሁን በአስማትህ የእኔን [house_place : ምንጣፍ] አጥራ
31,የመተላለፊያ መንገድ ያንዣብቡ,[house_place : የመተላለፊያ መንገድ] ያንዣብቡ
32,ምንጣፎችን ዙሪያውን አንዣብብ,[house_place : ምንጣፎችን] ዙሪያውን አንዣብብ
33,ትይንቱ ሚጀመርበትን አረጋግጥ,ትይንቱ ሚጀመርበትን አረጋግጥ
34,የቴዲ አፍሮን ዘፈን ድገም,[artist_name : የቴዲ አፍሮን] ዘፈን ድገም
35,ያንን ሙዚቃ እንደገና መጫወት እፈልጋለሁ,ያንን [media_type : ሙዚቃ] እንደገና መጫወት እፈልጋለሁ
36,መኪናዬ ዝግጁ መሆኑን እዪልኝ,መኪናዬ ዝግጁ መሆኑን እዪልኝ
37,ላፕቶፔ እንደሚሠራ እዪልኝ,ላፕቶፔ እንደሚሠራ እዪልኝ
38,የእስክሪኔ ደማቅነት እየቀነሰ ነው,የእስክሪኔ ደማቅነት እየቀነሰ ነው
