id,utt,annot_utt
0,ఈ వారం ఉదయం ఐదు గంటలకు నన్ను మేల్కొలపండి,[date : ఈ వారం] [time : ఉదయం ఐదు] గంటలకు నన్ను మేల్కొలపండి
1,శుక్రవారం ఉదయం తొమ్మిది గంటలు కి నన్ను నిద్ర లేపు,[date : శుక్రవారం] [time : ఉదయం తొమ్మిది గంటలు] కి నన్ను నిద్ర లేపు
2,ఇప్పటి నుండి రెండు గంటలకు అలారం సెట్ చేయి,[time : ఇప్పటి నుండి రెండు గంటలకు] అలారం సెట్ చేయి
3,నిశ్శబ్దంగా,నిశ్శబ్దంగా
4,ఒల్లీ నిశ్శబ్దంగా ఉండు,ఒల్లీ నిశ్శబ్దంగా ఉండు
5,ఆపండి,ఆపండి
6,ఓలి పదిహేను సెకండ్లు పోజ్ చేయి,ఓలి [time : పదిహేను సెకండ్లు] పోజ్ చేయి
7,పది సెకన్లు పాజ్ చేయండి,[time : పది సెకన్లు] పాజ్ చేయండి
8,గులాబీ మనకు కావలసిందల్లా,[color_type : గులాబీ] మనకు కావలసిందల్లా
9,ఇక్కడ కాంతి ఇంకా కొంచం వేడి గా మార్చు,ఇక్కడ కాంతి ఇంకా [color_type : కొంచం వేడి] గా మార్చు
10,దయచేసి చదవడానికి తగిన లైటింగ్‌ని సెట్ చేయండి,[color_type : దయచేసి చదవడానికి తగిన] లైటింగ్‌ని సెట్ చేయండి
11,దయచేసి లైట్లను ఆఫ్ చేయండి,దయచేసి లైట్లను ఆఫ్ చేయండి
12,నిద్రించుటకు వేళయ్యింది,నిద్రించుటకు వేళయ్యింది
13,ఒల్లీ నిద్రపోయే సమయం,ఒల్లీ నిద్రపోయే సమయం
14,మరియు చీకటి పడిపోయింది,మరియు చీకటి పడిపోయింది
15,బాత్రూంలో లైట్ ఆఫ్ చేయండి,[house_place : బాత్రూంలో] లైట్ ఆఫ్ చేయండి
16,ఓలి హాలు లో లైట్స్ డిం చేయి,ఓలి [house_place : హాలు] లో లైట్స్ డిం చేయి
17,హాల్లో లైట్లు డిమ్ చేయండి,[house_place : హాల్లో] లైట్లు డిమ్ చేయండి
18,పడకగదిలో లైట్లు ఆఫ్ చేయండి,[house_place : పడకగదిలో] లైట్లు ఆఫ్ చేయండి
19,ఓలీ బెడ్ రూమ్ లో లైట్లు ఆఫ్ చేయండి,ఓలీ [house_place : బెడ్ రూమ్] లో లైట్లు ఆఫ్ చేయండి
20,ఇరవై శాతం లైట్లు సెట్,[change_amount : ఇరవై శాతం] లైట్లు సెట్
21,ఇరవై శాతం వరకు ఒల్లీ సెట్ లైట్లు,[change_amount : ఇరవై శాతం వరకు] ఒల్లీ సెట్ లైట్లు
22,వంటగదిలో లైట్లను డిమ్ చేయండి ఓలీ,[house_place : వంటగదిలో] లైట్లను డిమ్ చేయండి ఓలీ
23,వంటగదిలో లైట్లను మసకబారడం,[house_place : వంటగదిలో] లైట్లను మసకబారడం
24,గదిని చీకటిగా చేయండి,[house_place : గదిని] చీకటిగా చేయండి
25,ఒల్లీ ఫ్లాట్ శుభ్రం,ఒల్లీ [house_place : ఫ్లాట్] శుభ్రం
26,ఫ్లాట్ శుభ్రం,[house_place : ఫ్లాట్] శుభ్రం
27,ఇక్కడ మురికిగా ఉంది కొంచెం శబ్దం చేయండి,ఇక్కడ మురికిగా ఉంది కొంచెం శబ్దం చేయండి
28,ఇంటిని వాక్యూమ్ చేయండి,[house_place : ఇంటిని] వాక్యూమ్ చేయండి
29,ఓలి ఆఫీస్ రూమ్ నీటుగా చేయి,ఓలి [house_place : ఆఫీస్ రూమ్] నీటుగా చేయి
30,శుభ్రపరచడం మంచిది దుమ్ము చాలా చెడ్డది ఇప్పుడు మీ మేజిక్ నా కార్పెట్‌ ను శుభ్రం చేయండి,శుభ్రపరచడం మంచిది దుమ్ము చాలా చెడ్డది ఇప్పుడు మీ మేజిక్ నా [house_place : కార్పెట్‌] ను శుభ్రం చేయండి
31,హాలు లో హోవర్ చేయండి,[house_place : హాలు] లో హోవర్ చేయండి
32,చుట్టూత కార్పెట్లు శుభ్రము చేయి,చుట్టూత [house_place : కార్పెట్లు] శుభ్రము చేయి
33,ప్రదర్శన ఎప్పుడు ప్రారంభమవుతుందో తనిఖీ చేయండి,ప్రదర్శన ఎప్పుడు ప్రారంభమవుతుందో తనిఖీ చేయండి
34,నేను అరిజిత్ సింగ్ పాట మరల వినాలనుకుంటున్నాను,నేను [artist_name : అరిజిత్ సింగ్] పాట మరల వినాలనుకుంటున్నాను
35,ఆ మ్యూజిక్ మళ్ళి ప్లే చెయ్యాలి అనుకుంటున్నాను,ఆ [media_type : మ్యూజిక్] మళ్ళి ప్లే చెయ్యాలి అనుకుంటున్నాను
36,నా కారు సిద్ధంగా ఉందో లేదో తనిఖీ చేయండి,నా కారు సిద్ధంగా ఉందో లేదో తనిఖీ చేయండి
