id,utt,annot_utt
0,תעירי אותי השבוע בחמש בבוקר,תעירי אותי [date : השבוע] [time : בחמש בבוקר]
1,כוון את השעון ליום שישי בתשע בבוקר,כוון את השעון [date : ליום שישי] [time : בתשע בבוקר]
2,תגדירי התראה לעוד שעתיים מעכשיו,תגדירי התראה לעוד [time : שעתיים מעכשיו]
3,מצב שקט,מצב שקט
4,olly שקט,olly שקט
5,עצרי,עצרי
6,עצור לעשר שניות,עצור [time : לעשר שניות]
7,עצור לעשר שניות,עצור [time : לעשר שניות]
8,ורוד זה כל מה שאנחנו צריכים,[color_type : ורוד] זה כל מה שאנחנו צריכים
9,תעשה את התאורה קצת יותר חמימה כאן,תעשה את התאורה קצת יותר [color_type : חמימה] כאן
10,הגדר את התאורה לתאורה מתאימה לקריאה בבקשה,הגדר את התאורה לתאורה [color_type : מתאימה לקריאה] בבקשה
11,כבה את האורות בבקשה,כבה את האורות בבקשה
12,זמן לישון,זמן לישון
13,זמן לישון אולי,זמן לישון אולי
14,והחושך ירד,והחושך ירד
15,כבה את האור בשירותים,כבה את האור [house_place : בשירותים]
16,אולי תעמעם את האורות במסדרון,אולי תעמעם את האורות [house_place : במסדרון]
17,עמעם את האורות במסדרון,עמעם את האורות [house_place : במסדרון]
18,כבה את האורות בחדר השינה,כבה את האורות [house_place : בחדר השינה]
19,אולי כבה את האורות בחדר השינה,אולי כבה את האורות [house_place : בחדר השינה]
20,תגדיר את האורות לעשרים אחוז,תגדיר את האורות [change_amount : לעשרים אחוז]
21,אולי תגדירי אורות לעשרים אחוז,אולי תגדירי אורות [change_amount : לעשרים אחוז]
22,עמעם את האורות במטבח אולי,עמעם את האורות [house_place : במטבח] אולי
23,עמעם את האורות במטבח,עמעם את האורות [house_place : במטבח]
24,תעשה את החדר חשוך יותר,תעשה את [house_place : החדר] חשוך יותר
25,אולי נקה את הדירה,אולי נקה את [house_place : הדירה]
26,תנקי את הדירה,תנקי את [house_place : הדירה]
27,מלוכלך כאן תעשה קצת רעש,מלוכלך כאן תעשה קצת רעש
28,שאב את הבית,שאב את [house_place : הבית]
29,שאב את הבית olly,שאב את [house_place : הבית] olly
30,ניקיון זה טוב אבק זה כל כך גרוע תעשה את ניקיון הקסם שלך על השטיח שלי,ניקיון זה טוב אבק זה כל כך גרוע תעשה את ניקיון הקסם שלך על [house_place : השטיח] שלי
31,שאב את המסדרון,שאב את [house_place : המסדרון]
