id,utt,annot_utt
0,این هفته ساعت پنج صبح بیدارم کن,[date : این هفته] ساعت [time : پنج صبح] بیدارم کن
1,مرا جمعه ساعت نه صبح بیدار کن,مرا [date : جمعه] ساعت [time : نه صبح] بیدار کن
2,یک زنگ هشدار را برای دو ساعت دیگر تنظیم کن,یک زنگ هشدار را برای [time : دو ساعت دیگر] تنظیم کن
3,ساکت,ساکت
4,الی ساکت شو,الی ساکت شو
5,توقف,توقف
6,برای ده ثانیه متوقف کن,برای [time : ده ثانیه] متوقف کن
7,برای ده ثانیه مکث کن,برای [time : ده ثانیه] مکث کن
8,صورتی همان چیزی است که نیاز داریم,[color_type : صورتی] همان چیزی است که نیاز داریم
9,نور اینجا را کمی گرمتر کن,نور اینجا را کمی [color_type : گرمتر] کن
10,لطفا روشنایی را در حالت مناسب برای مطالعه تنظیم کن,لطفا روشنایی را در حالت [color_type : مناسب برای مطالعه] تنظیم کن
11,لطفا لامپ ها را خاموش کن,لطفا لامپ ها را خاموش کن
12,وقت خوابیدن است,وقت خوابیدن است
13,علی وقت خواب,علی وقت خواب
14,و تاریک شده است,و تاریک شده است
15,لامپ حمام را خاموش کن,لامپ [house_place : حمام] را خاموش کن
16,علی روشنایی هال را کم کن,علی روشنایی [house_place : هال] را کم کن
17,لامپ ها را در هال کم کن,لامپ ها را در [house_place : هال] کم کن
18,لامپ ها را در اتاق خواب خاموش کن,لامپ ها را در [house_place : اتاق خواب] خاموش کن
19,علی چراغ‌های اتاق خواب را خاموش کن,علی چراغ‌های [house_place : اتاق] خواب را خاموش کن
20,نور را روی بیست درصد تنظیم کن,نور را [change_amount : روی بیست درصد] تنظیم کن
21,آلی روشنایی را تا بیست درصد تنظیم کن,آلی روشنایی را [change_amount : تا بیست درصد] تنظیم کن
22,علی نور آشپزخانه را کم کن,علی نور [house_place : آشپزخانه] را کم کن
23,نور آشپزخانه را کم کن,نور [house_place : آشپزخانه] را کم کن
24,اتاق را تاریکتر بکن,[house_place : اتاق] را تاریکتر بکن
25,علی همکف را تمییز کن,علی [house_place : همکف] را تمییز کن
26,همکف را تمیز کن,[house_place : همکف] را تمیز کن
27,اینجا کثیف است سر و صدا کن,اینجا کثیف است سر و صدا کن
28,خانه را جارو کن,[house_place : خانه] را جارو کن
29,علی خانه را جاروبرقی بکش,علی [house_place : خانه] را جاروبرقی بکش
30,تمیز کردن خوب است گردو غبار خیلی بد است اکنون فرش من را تمیز کن,تمیز کردن خوب است گردو غبار خیلی بد است اکنون [house_place : فرش] من را تمیز کن
31,راهرو را جارو بکش,[house_place : راهرو] را جارو بکش
32,فرش‌ها را جارو بکش,[house_place : فرش‌ها] را جارو بکش
33,بررسی کن کی نمایش شروع می‌شود,بررسی کن کی نمایش شروع می‌شود
34,من میخوام دوباره آهنگ ابی را گوش بدم,من میخوام دوباره آهنگ [artist_name : ابی] را گوش بدم
35,من میخوام آن موزیک را دوباره پخش کنم,من میخوام آن [media_type : موزیک] را دوباره پخش کنم
36,بررسی کن ماشین من آماده است,بررسی کن ماشین من آماده است
37,چک کن ببین لپتاپم سالمه,چک کن ببین لپتاپم سالمه
38,آیا روشنایی اسکرین من دارد کم می شود,آیا روشنایی اسکرین من دارد کم می شود
39,من نیاز به سرویس های موقعیت دارم می توانی چک کنی,من نیاز به سرویس های موقعیت دارم می توانی چک کنی
40,وضعیت باتری من رو بررسی کن,وضعیت باتری من رو بررسی کن
41,من وضعیت روشنایی صفحه را می خواهم,من وضعیت روشنایی صفحه را می خواهم
42,وضعیت را در حافظه در دسترس من به من بدهید,وضعیت را در حافظه در دسترس من به من بدهید
43,من خسته نیستم من واقعا خوشحالم,من خسته نیستم من واقعا خوشحالم
44,الی من خسته نیستم والا شادم,الی من خسته نیستم والا شادم
45,چه خبر,چه خبر
46,الی چه خبر,الی چه خبر
47,در ایران ساعت چند است,در [place_name : ایران] ساعت چند است
48,تهران ساعت چنده,[place_name : تهران] ساعت چنده
49,پنج ساعت جلوتر از ساعت گرینویچ چند میشه,[time_zone : پنج ساعت جلوتر از ساعت گرینویچ] چند میشه
50,اولی بهم بگو ساعت توی پنج ساعت جلوتر از وقت گرینویچ چنده,اولی بهم بگو ساعت توی [time_zone : پنج ساعت جلوتر از وقت گرینویچ] چنده
51,الهه بالاترین امتیازهای گزینه های بیرون بر غذای ایرانی را لیست کن,الهه بالاترین امتیازهای گزینه های [order_type : بیرون بر] غذای [food_type : ایرانی] را لیست کن
52,بالاترین امتیاز سرویس تحویل در محل برای غذای چینی,بالاترین امتیاز سرویس [order_type : تحویل] در محل برای غذای [food_type : چینی]
53,غذای چینی تحویل در محل با بالاترین امتیازها را لیست کن,غذای [food_type : چینی] [order_type : تحویل] در محل با بالاترین امتیازها را لیست کن
54,olly بهترین گزینه‌های تحویل غذای چینی,olly بهترین گزینه‌های [order_type : تحویل] غذای [food_type : چینی]
55,من یک مقدار خوراک کاری دار بیرون بر می خواهم هیچ پیشنهادی داری,من یک مقدار [food_type : خوراک کاری دار] بیرون بر می خواهم هیچ پیشنهادی داری
56,من یه کمی خوراک کاری‌دار می‌خوام پیشنهادی داری اولی,من یه کمی [food_type : خوراک کاری‌دار] می‌خوام پیشنهادی داری اولی
57,برای من غذای ایرانی بیرون بر در بازار تهران پیدا کن,برای من غذای [food_type : ایرانی] [order_type : بیرون بر] در [place_name : بازار تهران] پیدا کن
58,غذای تایلندی بیرون‌بر من را اطراف بازار تهران پیدا کن,غذای [food_type : تایلندی] [order_type : بیرون‌بر] من را اطراف [place_name : بازار تهران] پیدا کن
59,هشدار ساعت هفت صبح من را لغو کن,هشدار ساعت [time : هفت صبح] من را لغو کن
60,زنگ هشدار هفت صبح را متوقف کن,زنگ هشدار [time : هفت صبح] را متوقف کن
61,من چه هشدارهایی تنظیم کرده‌ام,من چه هشدارهایی تنظیم کرده‌ام
62,لطفا هشدارهای فعال را فهرست کن,لطفا هشدارهای فعال را فهرست کن
63,درباره آلارم‌هایم به من بگو,درباره آلارم‌هایم به من بگو
65,اخبار امروز فوتبال چیست,اخبار [date : امروز] [news_topic : فوتبال] چیست
66,لطفا خاطر خواه از ایوان بند را پخش کن,لطفا [song_name : خاطر خواه] از [artist_name : ایوان بند] را پخش کن
67,من دوس دارم آهنگ آزادی منصور را گوش بدم,من دوس دارم آهنگ [song_name : آزادی] [artist_name : منصور] را گوش بدم
68,کافر از سامان جلیلی را برایم پخش کن,[song_name : کافر] از [artist_name : سامان جلیلی] را برایم پخش کن
69,من موسیقی راک دوست دارم,من موسیقی [music_genre : راک] دوست دارم
70,گروه موسیقی مورد علاقه من کویین است,گروه موسیقی مورد علاقه من [artist_name : کویین] است
71,من آهنگ های ابی را دوست دارم,من آهنگ های [artist_name : ابی] را دوست دارم
72,آهنگ از ایوان بند پخش کن,آهنگ از ایوان بند پخش کن
73,لطفا بهترین آهنگ من را پخش کن,لطفا بهترین آهنگ من را پخش کن
74,گروه در حال پخش چیست,گروه در حال پخش چیست
75,ترانه سرای موزیک در حال پخش کیست,ترانه سرای موزیک در حال پخش کیست
76,البومی که اهنگ آن در حال پخش هست چیست,البومی که اهنگ آن در حال پخش هست چیست
77,اوولی من واقعا از این آهنگ لذت میبرم,اوولی من واقعا از این آهنگ لذت میبرم
78,این آهنگی رو که داری پخش می کنی عالیه,این آهنگی رو که داری پخش می کنی عالیه
79,این یکی از بهترین اهنگ ها برای من است,این یکی از بهترین اهنگ ها برای من است
80,روشنایی چراغ‌ها را بیشتر کن,روشنایی چراغ‌ها را بیشتر کن
81,لامپ ها را روشن تر کن,لامپ ها را روشن تر کن
82,لطفا روشنایی را به حداکثر افزایش بده,لطفا روشنایی را [change_amount : به حداکثر] افزایش بده
83,جارو برقی رباتیک را روشن کن,[device_type : جارو برقی رباتیک] را روشن کن
84,ربات تمیز کننده را روشن کن,[device_type : ربات تمیز کننده] را روشن کن
85,تاریخ امروز را به من بگو,تاریخ [date : امروز] را به من بگو
86,امروز چندم است,[date : امروز] چندم است
87,لطفا مقداری سوشی برای شام سفارش بده,لطفا مقداری [food_type : سوشی] برای [meal_type : شام] سفارش بده
88,هی می خوام برگر سفارش بدی,هی می خوام [food_type : برگر] سفارش بدی
89,آیا می توانی برای امشب شام سوشی سفارش بدهی,آیا می توانی برای [timeofday : امشب] [meal_type : شام] [food_type : سوشی] سفارش بدهی
90,سفارش شام من چی شد,سفارش شام من چی شد
91,آیا می توانم شام بیرون بری از عطاویچ سفارش بدهم,آیا می توانم [meal_type : شام] [order_type : بیرون بری] از [business_name : عطاویچ] سفارش بدهم
92,آیا عطاویچ غذای بیرون بری دارد,آیا [business_name : عطاویچ] غذای [order_type : بیرون بری] دارد
93,زنگ هشدار را برای دوازده تنظیم کن,زنگ هشدار را برای [time : دوازده] تنظیم کن
94,چهل دقیقه‌ی دیگر زنگ هشدار را تنظیم کن,[time : چهل دقیقه‌ی دیگر] زنگ هشدار را تنظیم کن
95,زنگ هشدار را برای ساعت هشت هر روز هفته تنظیم کن,زنگ هشدار را برای ساعت [time : هشت] [general_frequency : هر روز هفته] تنظیم کن
96,داره بارون میاد,داره [weather_descriptor : بارون میاد]
97,آیا می خواهد باران ببارد,آیا می خواهد [weather_descriptor : باران] ببارد
98,داره برف میاد,داره [weather_descriptor : برف میاد]
99,پیش‌بینی هوای هفته چطوره,پیش‌بینی هوای [time : هفته] چطوره
100,پیش‌بینی هفته چیست,پیش‌بینی [time : هفته] چیست
101,هوای این هفته چطور است,هوای [date : این هفته] چطور است
102,هوای این هفته چطوره,هوای [date : این هفته] چطوره
103,وضع هوای این هفته را به من بگو,وضع هوای [date : این هفته] را به من بگو
104,اخبار خبرگزاری مهر را به من بگو,اخبار [media_type : خبرگزاری مهر] را به من بگو
105,خبرهای اخبار بی. بی. سی. چیست,خبرهای اخبار [media_type : بی. بی. سی.] چیست
106,آخرین اخبار بی. بی. سی. چیست,آخرین اخبار [media_type : بی. بی. سی.] چیست
107,مجنون لیلی را پخش کن,[song_name : مجنون لیلی] را پخش کن
108,آن آهنگ که من دوست دارم را پخش کن,آن آهنگ که من دوست دارم را پخش کن
109,عشق را پخش کن,[song_name : عشق] را پخش کن
