id,utt,annot_utt
0,obudź mnie o piątej rano w tym tygodniu,obudź mnie o [time : piątej rano] [date : w tym tygodniu]
1,obudź mnie o dziewiątej rano w piątek,obudź mnie o [time : dziewiątej rano] w [date : piątek]
2,nastaw alarm na za dwie godziny od teraz,nastaw alarm na za [time : dwie godziny od teraz]
3,cicho,cicho
4,olly cicho,olly cicho
5,przestań,przestań
6,olly zatrzymaj na dziesięć sekund,olly zatrzymaj [time : na dziesięć sekund]
7,pauza przez dziesięć sekund,pauza przez [time : dziesięć sekund]
8,różowy to to czego potrzebujemy,[color_type : różowy] to to czego potrzebujemy
9,zmień oświetlenie tutaj na trochę cieplejsze,zmień oświetlenie tutaj na trochę [color_type : cieplejsze]
10,nastaw światło na odpowiednie do czytania,nastaw światło [color_type : na odpowiednie do czytania]
11,wyłącz światła proszę,wyłącz światła proszę
12,czas spać,czas spać
13,czas spać olly,czas spać olly
14,i zapadła ciemność,i zapadła ciemność
15,wyłącz światło w łazience,wyłącz światło [house_place : w łazience]
16,olly przyciemnij światła w korytarzu,olly przyciemnij światła [house_place : w korytarzu]
17,ściemnij światła w holu,ściemnij światła w [house_place : holu]
18,wyłącz światła w sypialni,wyłącz światła w [house_place : sypialni]
19,olly wyłącz światła w sypialni,olly wyłącz światła w [house_place : sypialni]
20,nastaw światła na dwadzieścia procent,nastaw światła na [change_amount : dwadzieścia procent]
21,olly nastaw światła na dwadzieścia procent,olly nastaw światła [change_amount : na dwadzieścia procent]
22,przyciemnij światła w kuchni olly,przyciemnij światła w [house_place : kuchni] olly
23,ściemnij światła w kuchni,ściemnij światła w [house_place : kuchni]
24,zrób pokój ciemniejszy,zrób [house_place : pokój] ciemniejszy
25,olly posprzątaj mieszkanie,olly posprzątaj [house_place : mieszkanie]
26,posprzątaj mieszkanie,posprzątaj [house_place : mieszkanie]
27,brudno tu zrób trochę hałasu,brudno tu zrób trochę hałasu
28,odkurz dom,odkurz [house_place : dom]
29,odkurz dom olly,odkurz [house_place : dom] olly
