id,utt,annot_utt
0,今週は午前五時に起こして,[date : 今週] は [time : 午前五時] に起こして
1,金曜日の午前九時に起こしてください,[date : 金曜日] の [time : 午前九時] に起こしてください
2,今から二時間後にアラームをセットする,[time : 今から二時間後] にアラームをセットする
3,音を消して,音を消して
4,静かに,静かに
5,止めて,止めて
6,十秒間ポーズして,[time : 十秒] 間ポーズして
7,十秒停止,[time : 十秒] 停止
8,ピンクがいい,[color_type : ピンク] がいい
9,ここは照明をもう少し暖色にして,ここは照明をもう少し [color_type : 暖色] にして
10,読書に相応しいライトに設定して,[color_type : 読書に相応しい] ライトに設定して
11,ライトを消して,ライトを消して
12,寝る時間,寝る時間
13,olly 眠る時間,olly 眠る時間
14,暗くして,暗くして
15,浴室のライトを消す,[house_place : 浴室] のライトを消す
16,olly 玄関のライトを薄暗くして,olly [house_place : 玄関] のライトを薄暗くして
17,玄関のライトを暗くする,[house_place : 玄関] のライトを暗くする
18,寝室の電気を消す,[house_place : 寝室] の電気を消す
19,olly ベッドルームのライトを消して,olly [house_place : ベッドルーム] のライトを消して
20,ライトを二十パーセントにする,ライトを [change_amount : 二十パーセント] にする
21,olly 照明を二十パーセントまで設定する,olly 照明を [change_amount : 二十パーセントまで] 設定する
22,キッチンの照明を暗くして olly,[house_place : キッチン] の照明を暗くして olly
23,キッチンの電気を薄暗くする,[house_place : キッチン] の電気を薄暗くする
24,部屋を暗くする,[house_place : 部屋] を暗くする
25,olly アパートを掃除して,olly [house_place : アパート] を掃除して
26,アパートを掃除する,[house_place : アパート] を掃除する
27,ここは汚れているからかけて,ここは汚れているからかけて
28,家に掃除機をかけて,[house_place : 家] に掃除機をかけて
29,室内に掃除機をかける,[house_place : 室内] に掃除機をかける
30,掃除はいいけどほこりがひどくて魔法でカーペットをきれいにして,掃除はいいけどほこりがひどくて魔法で [house_place : カーペット] をきれいにして
31,廊下に掃除機をかけて,[house_place : 廊下] に掃除機をかけて
32,絨毯の周りを掃除機で掃除して,[house_place : 絨毯] の周りを掃除機で掃除して
33,ショーが始まる時間を教えて,ショーが始まる時間を教えて
34,大橋卓弥の曲が聞きたい。もう一度流して,[artist_name : 大橋卓弥] の曲が聞きたい。もう一度流して
35,あの曲をもう一度聴きたい,あの [media_type : 曲] をもう一度聴きたい
36,車が準備できているか確認してください,車が準備できているか確認してください
37,パソコンが動くか確認してください,パソコンが動くか確認してください
38,画面の明るさが低くなっているのかな,画面の明るさが低くなっているのかな
39,サービスの場所をチェックしてくれるかな,サービスの場所をチェックしてくれるかな
40,私の j. a. l. のステータスを確認して,私の j. a. l. のステータスを確認して
41,僕のスクリーンの明るさを表示したまえ,僕のスクリーンの明るさを表示したまえ
42,利用可能なメモリの状況を教えて,利用可能なメモリの状況を教えて
43,私は疲れていません、私は幸せです,私は疲れていません、私は幸せです
44,私は疲れていないよむしろ幸せ,私は疲れていないよむしろ幸せ
45,こんにちは,こんにちは
46,何ですか、オリ―さん,何ですか、オリ―さん
47,オーストラリアの時間は,[place_name : オーストラリア] の時間は
48,モスクワの時間を教えて,[place_name : モスクワ] の時間を教えて
49,g. m. t. プラス五の時間を教えて,[time_zone : g. m. t. プラス五] の時間を教えて
50,g. m. t. プラス五の時間を教えて,[time_zone : g. m. t. プラス五] の時間を教えて
51,中華料理の最も評価の高い配達オプションを一覧表示して,[food_type : 中華] 料理の最も評価の高い [order_type : 配達] オプションを一覧表示して
52,中華料理で最も評価の高い配達オプション,[food_type : 中華] 料理で最も評価の高い [order_type : 配達] オプション
53,中華料理の最も評価の高い配達オプションをリストする,[food_type : 中華] 料理の最も評価の高い [order_type : 配達] オプションをリストする
54,olly 中華料理で最も評価の高い配達オプション,olly [food_type : 中華] 料理で最も評価の高い [order_type : 配達] オプション
55,カレーを持ち帰りしたいがおすすめの店はあるか,[food_type : カレー] を持ち帰りしたいがおすすめの店はあるか
56,カレーを食べに行きたいのですがどこかおすすめはありますか,[food_type : カレー] を食べに行きたいのですがどこかおすすめはありますか
57,相模大野駅の近くの持ち帰りができるタイ料理屋を見つけて,[place_name : 相模大野駅] の近くの [order_type : 持ち帰り] ができる [food_type : タイ料理] 屋を見つけて
58,丸の内近くでテイクアウトできるタイ料理屋を見つけて,[place_name : 丸の内] 近くで [order_type : テイクアウト] できる [food_type : タイ] 料理屋を見つけて
59,午前七時のアラームをキャンセル,[time : 午前七時] のアラームをキャンセル
60,午前七時のアラームをストップ,[time : 午前七時] のアラームをストップ
61,どんなアラームを設定したか,どんなアラームを設定したか
62,有効なアラームをリストアップして,有効なアラームをリストアップして
63,アラームの内容を教えて,アラームの内容を教えて
65,今日のサッカーはどうなっていますか,[date : 今日] の [news_topic : サッカー] はどうなっていますか
66,星野源の不思議を再生してちょうだい,[artist_name : 星野源] の [song_name : 不思議] を再生してちょうだい
67,ラッドウィンプスのふたりごとが聞きたいです,[artist_name : ラッドウィンプス] の [song_name : ふたりごと] が聞きたいです
68,オフコースの愛を止めないでを再生,[artist_name : オフコース] の [song_name : 愛を止めないで] を再生
69,ロックミュージックが好き,[music_genre : ロック] ミュージックが好き
70,お気に入りのミュージックバンドクイーン,お気に入りのミュージックバンド [artist_name : クイーン]
71,私は福山雅治の歌が好きだ,私は [artist_name : 福山雅治] の歌が好きだ
72,お気に入りから音楽を再生する,お気に入りから音楽を再生する
73,ベストミュージックをかけて,ベストミュージックをかけて
74,今プレイしているバンドは何,今プレイしているバンドは何
75,この曲の作者は誰,この曲の作者は誰
76,今の曲はどのアルバムに収録されてるの,今の曲はどのアルバムに収録されてるの
77,この歌すっごくいいんだけど,この歌すっごくいいんだけど
78,今あなたがかけてる曲とても素敵だね,今あなたがかけてる曲とても素敵だね
79,この曲は私にとって最高の曲の一つです,この曲は私にとって最高の曲の一つです
80,照明の明るさを上げて,照明の明るさを上げて
81,光を明るく変える,光を明るく変える
82,照明を最大まで上げてください,照明を [change_amount : 最大まで] 上げてください
83,ねえ掃除ロボットを起動して,ねえ [device_type : 掃除ロボット] を起動して
84,掃除用ロボットをオンにして,[device_type : 掃除用ロボット] をオンにして
85,今日の日付を教えて,[date : 今日の] 日付を教えて
86,今日は何日ですか,[date : 今日] は何日ですか
87,夜ご飯の寿司を注文して,[meal_type : 夜ご飯] の [food_type : 寿司] を注文して
88,ハンバーガーを注文してほしい,[food_type : ハンバーガー] を注文してほしい
89,今夜の夜ご飯に寿司を注文してくれませんか,[timeofday : 今夜] の [meal_type : 夜ご飯] に [food_type : 寿司] を注文してくれませんか
90,私の晩御飯の注文は何,私の晩御飯の注文は何
91,デニーズで夜ご飯のテイクアウトを注文できますか,[business_name : デニーズ] で [meal_type : 夜ご飯] の [order_type : テイクアウト] を注文できますか
92,すき家テイクアウトに対応していますか,[business_name : すき家] [order_type : テイクアウト] に対応していますか
93,アラームを十二時にセット,アラームを [time : 十二時] にセット
94,今から四十分後にアラームを設定,[time : 今から四十分後] にアラームを設定
95,平日の八時にアラームを設定,[general_frequency : 平日] の [time : 八時] にアラームを設定
96,雨が降りますか,[weather_descriptor : 雨] が降りますか
97,雨は降りますか,[weather_descriptor : 雨] は降りますか
98,現在雪が降っていますか,現在 [weather_descriptor : 雪が降って] いますか
99,数週間の予報はどうですか,[time : 数週] 間の予報はどうですか
100,その週の予報はどうですか,その [time : 週の] 予報はどうですか
101,今週の天気はどうですか,[date : 今週] の天気はどうですか
102,今週の天気はどうですか,[date : 今週の] 天気はどうですか
103,今週の天気について教えて,[date : 今週] の天気について教えて
104,b. b. c. のニュースを教えて,[media_type : b. b. c.] のニュースを教えて
105,エヌエッチケーではどんなニュースがありますか,[media_type : エヌエッチケー] ではどんなニュースがありますか
106,b. b. c. の最新ニュースは何ですか,[media_type : b. b. c. の] 最新ニュースは何ですか
107,感電を流してよ,[song_name : 感電] を流してよ
108,私のお気に入りの曲をかけて,私のお気に入りの曲をかけて
109,赤いスイートピーをかけて,[song_name : 赤いスイートピー] をかけて
110,東京スカパラダイスオーケストラをかけて,[artist_name : 東京スカパラダイスオーケストラ] をかけて
111,米津玄師をかけて,[artist_name : 米津玄師] をかけて
112,優里の曲をいくつか流して,[artist_name : 優里] の曲をいくつか流して
113,このソングをループする,このソングを [player_setting : ループする]
114,このプレイリストをシャッフルして,このプレイリストを [player_setting : シャッフル] して
115,音量を小さく設定する,音量を [change_amount : 小さく] 設定する
116,今かかっている曲は何,今かかっている曲は何
117,これは何の音楽だか,これは何の音楽だか
118,この曲の歌手を教えて,この曲の歌手を教えて
119,私を笑わせて,私を笑わせて
120,オリー私を笑わせて,オリー私を笑わせて
121,面白い冗談をいって,[joke_type : 面白い] 冗談をいって
122,私が笑えるジョークを言え,私が笑えるジョークを言え
123,冗談を言って,冗談を言って
124,オリー冗談を言って,オリー冗談を言って
125,アレクサ、ジョークをいって,アレクサ、ジョークをいって
126,私を励まして,私を励まして
127,今日は何日ですか,[date : 今日] は何日ですか
128,日付は,日付は
129,今日について教えてください,[date : 今日] について教えてください
130,ピザを一枚注文して,[food_type : ピザ] を一枚注文して
131,出前館でピザを注文して,[business_name : 出前館] で [food_type : ピザ] を注文して
132,テイクアウトを注文,[order_type : テイクアウト] を注文
133,私の注文はいつ頃届きますか,私の注文はいつ頃届きますか
134,テイクアウトまでの時間,[order_type : テイクアウト] までの時間
135,ドミノピザのデリバリーの状況は,[business_name : ドミノピザ] の [order_type : デリバリー] の状況は
136,今何がかかっているの,今何がかかっているの
137,曲の名前を教えて,曲の名前を教えて
138,あれはなんていう曲だっけ,あれはなんていう曲だっけ
139,私の jazz playlist を再生,私の [music_genre : jazz] playlist を再生
140,演歌の再生一覧を開始,[music_genre : 演歌] の再生一覧を開始
141,私のお気に入りのプレイリストを再生して,私のお気に入りのプレイリストを再生して
142,いい曲だね,いい曲だね
143,好きじゃない,好きじゃない
144,これ好き,これ好き
145,ジャズが好き,[music_genre : ジャズ] が好き
146,何か jazz を再生してください,何か [music_genre : jazz] を再生してください
147,ジャズが聞きたい,[music_genre : ジャズ] が聞きたい
148,olly 、ジャズが聞きたいです,olly 、 [music_genre : ジャズ] が聞きたいです
149,この曲はとても良かった,この曲はとても良かった
150,この曲が好き,この曲が好き
151,それもう一度再生してちょうだい,それもう一度再生してちょうだい
152,音量を変える,音量を変える
153,シャッフルを有効にする,[player_setting : シャッフル] を有効にする
154,設定を保存,設定を保存
155,明るさを五十パーセントにする,明るさを [change_amount : 五十パーセント] にする
156,明るさを薄暗くして,明るさを薄暗くして
157,明かりを小さくする,明かりを小さくする
158,照明を暗く,照明を暗く
159,明るさを小さく,明るさを小さく
160,照明を薄暗く,照明を薄暗く
161,照明を暗くして,照明を暗くして
162,コーヒーをください,コーヒーをください
163,olly コーヒーをいれて,olly コーヒーをいれて
164,コーヒーがほしい,コーヒーがほしい
165,今コーヒーがとても飲みたい,今コーヒーがとても飲みたい
166,元気,元気
167,おいおい,おいおい
168,持ち帰りできますか,[order_type : 持ち帰り] できますか
169,配達はやっていますか,[order_type : 配達] はやっていますか
170,配達はやっていますか,[order_type : 配達] はやっていますか
171,olly この店は配達をやっていますか,olly この店は [order_type : 配達] をやっていますか
172,午前十時にアラームを設定,[time : 午前十時] にアラームを設定
173,明日午前六時にアラームを設定,[date : 明日] [time : 午前六時] にアラームを設定
174,木曜日午前七時に目覚まし設定,[date : 木曜日] [time : 午前七時] に目覚まし設定
175,テクノロジーの最新ニュースを教えて,[news_topic : テクノロジー] の最新ニュースを教えて
176,最新のテクノロジー関連のニュースを教えて,最新の [news_topic : テクノロジー] 関連のニュースを教えて
177,最新のビジネスニュースを教えて,最新の [news_topic : ビジネス] ニュースを教えて
178,国際ニュースを教えて,[place_name : 国際] ニュースを教えて
179,天気について教えて,天気について教えて
180,現在の天気はどうですか,現在の天気はどうですか
181,今雨が降っていますか,今 [weather_descriptor : 雨] が降っていますか
182,私のロックプレイリストを再生する,私の [music_genre : ロック] プレイリストを再生する
