id,utt,annot_utt
0,արթնացրու ինձ այս շաբաթ առավոտյան ժամը հինգին,արթնացրու ինձ [date : այս շաբաթ] [time : առավոտյան ժամը հինգին]
1,արթնացրու ինձ ուրբաթ առավոտյան ժամը ինին,արթնացրու ինձ [date : ուրբաթ] [time : առավոտյան ժամը ինին]
2,զարթուցիչ դրեք հիմիկվանից երկու ժամ,զարթուցիչ դրեք [time : հիմիկվանից երկու ժամ]
3,հանգիստ,հանգիստ
4,օլլի անձայն,օլլի անձայն
5,ստոպ,ստոպ
6,olly տաս վարկյան ստոպ տուր,olly [time : տաս վարկյան] ստոպ տուր
7,կանգ առ տաս վայրկյանով,կանգ առ [time : տաս վայրկյանով]
8,վարդագույնը ամենն է ինչ մենք ուզում ենք,[color_type : վարդագույնը] ամենն է ինչ մենք ուզում ենք
9,այստեղ լուսավորությունը մի քիչ ավելի տաք դարձրու,այստեղ լուսավորությունը մի քիչ ավելի [color_type : տաք] դարձրու
10,խնդրում եմ լուսավորությունը դնել հարմար կարդալու համար,խնդրում եմ լուսավորությունը դնել հարմար կարդալու համար
11,անջատել լույսեր խնդրում եմ,անջատել լույսեր խնդրում եմ
12,խնելու ժամանակ,խնելու ժամանակ
13,քնելու ժամանակնն է աննա,քնելու ժամանակնն է աննա
14,և մթնեց,և մթնեց
15,անաջատիր լոգասենյակի լույսը,անաջատիր [house_place : լոգասենյակի] լույսը
16,նունե թուլացնել սրահ լույսերը,նունե թուլացնել [house_place : սրահ] լույսերը
17,սրահ լույսեր թուլացնել,[house_place : սրահ] լույսեր թուլացնել
18,ննջասենյակ լույսեր անջատել,[house_place : ննջասենյակ] լույսեր անջատել
19,անահիտ անջատել ննջասենյակի լույսերը,անահիտ անջատել [house_place : ննջասենյակի] լույսերը
20,դիր լույսերը մինչև քսան տոկոս,դիր լույսերը [change_amount : մինչև քսան տոկոս]
21,անահիտ լույսերը դիր քսան տոկոսի վրա,անահիտ լույսերը դիր [change_amount : քսան տոկոսի] վրա
22,խամրեցրեք խոհանոցի լույսերը olly,խամրեցրեք [house_place : խոհանոցի] լույսերը olly
23,թուլացնել խոհանոցի լույսեր,թուլացնել [house_place : խոհանոցի] լույսեր
24,սենյակ ավելի մուգ դարձնել,[house_place : սենյակ] ավելի մուգ դարձնել
25,աննա մաքրիր տուն,աննա մաքրիր [house_place : տուն]
26,մաքրել բնակարան,մաքրել [house_place : բնակարան]
27,այստեղ կեղտոտ է աղմուկ բարձրացրեք,այստեղ կեղտոտ է աղմուկ բարձրացրեք
28,փոշեկուլել տունը,փոշեկուլել [house_place : տունը]
29,տուն փոշեկուլել աննա,[house_place : տուն] փոշեկուլել աննա
30,մաքրությունը լավ է փոշին այնքան վատ է ձեր կախարդանքը արեք մաքրեք իմ գորգ,մաքրությունը լավ է փոշին այնքան վատ է ձեր կախարդանքը արեք մաքրեք իմ [house_place : գորգ]
31,փոշեկուլել միջանցք,փոշեկուլել [house_place : միջանցք]
32,փոշեկուլով մաքրել գորգեր,փոշեկուլով մաքրել [house_place : գորգեր]
33,ստուգեք թե երբ է սկսվում ցուցադրությունը,ստուգեք թե երբ է սկսվում ցուցադրությունը
34,ես ուզում եմ լսել արամո երգը նորից,ես ուզում եմ լսել [artist_name : արամո] երգը նորից
35,ես ուզում եմ այդ երաժշտությունը նորից նվագես,ես ուզում եմ այդ [media_type : երաժշտությունը] նորից նվագես
36,ստուգիր մեքենաս պատրաստ է,ստուգիր մեքենաս պատրաստ է
37,ստուգեք որ իմ նոութբուքը աշխատում է,ստուգեք որ իմ նոութբուքը աշխատում է
38,իմ էկրանի պայծառությունը պակասում է,իմ էկրանի պայծառությունը պակասում է
39,ինձ պետք է տեղորոշման ծառայությունները միացված լինեն կարող ես ստուգել,ինձ պետք է տեղորոշման ծառայությունները միացված լինեն կարող ես ստուգել
40,ստուգիր էներգախնայողության կարգավիճակը,ստուգիր էներգախնայողության կարգավիճակը
41,ուզում եմ տենեմ որքան ա էկրանիս լուսավորությունը,ուզում եմ տենեմ որքան ա էկրանիս լուսավորությունը
42,իմ հասանելի հիշողություններում տուր ինձ միացված լինելու կարգավիճակը,իմ հասանելի հիշողություններում տուր ինձ միացված լինելու կարգավիճակը
43,ես հոգնած չեմ ես ըստ էության երջանիկ եմ,ես հոգնած չեմ ես ըստ էության երջանիկ եմ
44,աննա ես հոգբած չեմ ես երջանիկ եմ,աննա ես հոգբած չեմ ես երջանիկ եմ
45,ինչ կա,ինչ կա
46,ինչ կա օլլի,ինչ կա օլլի
47,ժամը քանիսն է australia,ժամը քանիսն է [place_name : australia]
48,ասա երևանի ժամը,ասա [place_name : երևանի] ժամը
49,ասա ինձ ժամը g. m. t. գումարած հինգում,ասա ինձ ժամը [time_zone : g. m. t. գումարած հինգում]
50,օլլի ասա ինձ ժամը g. m. t. գումարած հինգում,օլլի ասա ինձ ժամը [time_zone : g. m. t. գումարած հինգում]
51,օլլի թվարկիր չինական ուտեստների առաքման ամենատարածված տարբերակները,օլլի թվարկիր [food_type : չինական] ուտեստների [order_type : առաքման] ամենատարածված տարբերակները
52,չինական ուտելիքի առաքման ամենատարածված տարբերակները,[food_type : չինական] ուտելիքի [order_type : առաքման] ամենատարածված տարբերակները
53,թվարկեք չինական ուտելիքներից ամենաբարձր վարկանիշով առաքում ունեցող տարբերակները,թվարկեք [food_type : չինական] ուտելիքներից ամենաբարձր վարկանիշով [order_type : առաքում] ունեցող տարբերակները
