id,utt,annot_utt
0,bu həftə məni səhər saat beşdə oyandır,[date : bu həftə] məni [time : səhər saat beşdə] oyandır
1,cümə günü səhər saat doqquzda məni oyandır,[date : cümə günü] [time : səhər saat doqquzda] məni oyandır
2,saatın zəngini iki saat sonraya qur,saatın zəngini [time : iki saat sonraya] qur
3,sakit,sakit
4,olly sakit,olly sakit
5,dayandır,dayandır
6,olly on saniyəlik fasilə ver,olly [time : on saniyəlik] fasilə ver
7,on saniyə fasilə verin,[time : on saniyə] fasilə verin
8,ehtiyacımız olan rəng çəhrayıdır,ehtiyacımız olan rəng [color_type : çəhrayıdır]
9,burada işıqlandırmanı bir az daha isti elə,burada işıqlandırmanı bir az daha [color_type : isti] elə
10,zəhmət olmasa işıqlandırmanı oxumağa uyğun qoy,zəhmət olmasa işıqlandırmanı [color_type : oxumağa uyğun] qoy
11,işıqları söndür zəhmət olmasa,işıqları söndür zəhmət olmasa
12,yatmaq vaxtıdır,yatmaq vaxtıdır
13,yatmaq vaxtıdır olly,yatmaq vaxtıdır olly
14,və hava qaralır işığı yandır,və hava qaralır işığı yandır
15,vanna otağında işığı söndür,[house_place : vanna otağında] işığı söndür
16,olly dəhlizin işıqlarını zəiflət,olly [house_place : dəhlizin] işıqlarını zəiflət
17,dəhlizdəki işıqları zəiflət,[house_place : dəhlizdəki] işıqları zəiflət
18,yataq otağının işıqlarını söndür,[house_place : yataq otağının] işıqlarını söndür
19,olly yataq otağında işıqları söndür,olly [house_place : yataq otağında] işıqları söndür
20,işıqları iyirmi faizə qoy,işıqları [change_amount : iyirmi faizə] qoy
21,olly işıqları iyirmi faizə qoy,olly işıqları [change_amount : iyirmi faizə] qoy
22,mətbəxdəki işıqları zəiflət olly,[house_place : mətbəxdəki] işıqları zəiflət olly
23,mətbəxin işıqlarını zəiflət,[house_place : mətbəxin] işıqlarını zəiflət
24,otağı daha qaranlıq et,[house_place : otağı] daha qaranlıq et
25,olly evi təmizlə,olly [house_place : evi] təmizlə
26,mənzili təmizlə,[house_place : mənzili] təmizlə
27,bura çirklidir biraz səs-küy sal,bura çirklidir biraz səs-küy sal
28,evi tozsoranla,[house_place : evi] tozsoranla
29,olly evi tozsoranla,olly [house_place : evi] tozsoranla
30,təmizlik yaxşıdır toz çox pisdir indi sehrini et xalçamı təmizlə,təmizlik yaxşıdır toz çox pisdir indi sehrini et [house_place : xalçamı] təmizlə
31,dəhlizi tozsoranla təmizlə,[house_place : dəhlizi] tozsoranla təmizlə
32,ətrafdakı xalçaları tozsoranla,ətrafdakı [house_place : xalçaları] tozsoranla
33,şounun nə zaman başladığını yoxla,şounun nə zaman başladığını yoxla
34,yuxunun mahnısına bir daha qulaq asmaq istəyirəm,[artist_name : yuxunun] mahnısına bir daha qulaq asmaq istəyirəm
35,o mahnını yenidən çalmaq istəyirəm,o [media_type : mahnını] yenidən çalmaq istəyirəm
36,yoxla mənim maşınım hazırdır,yoxla mənim maşınım hazırdır
37,yoxla mənim laptopum işləyir,yoxla mənim laptopum işləyir
38,ekranımın parlaqlığı aşağı düşür,ekranımın parlaqlığı aşağı düşür
39,mənə yerli xidmətlər lazımdır yoxlaya bilərsən,mənə yerli xidmətlər lazımdır yoxlaya bilərsən
40,mənim enerji sərfiyyatımın vəziyyətini yoxla,mənim enerji sərfiyyatımın vəziyyətini yoxla
41,ekran parlaqlığımdakı statusu istəyirəm,ekran parlaqlığımdakı statusu istəyirəm
42,mənə boş yaddaşım barədə məlumat ver,mənə boş yaddaşım barədə məlumat ver
43,mən yorğun deyiləm əslində xoşbəxtəm,mən yorğun deyiləm əslində xoşbəxtəm
44,olly mən yorulmamışam əslində xoşbəxtəm,olly mən yorulmamışam əslində xoşbəxtəm
45,nə olub,nə olub
46,nə var nə yox olly,nə var nə yox olly
47,avstraliyada saat neçədir,[place_name : avstraliyada] saat neçədir
48,mənə moskva vaxtını de,mənə [place_name : moskva] vaxtını de
49,g. m. t. üstəgəl beşdə mənə vaxtı de,[time_zone : g. m. t. üstəgəl beşdə] mənə vaxtı de
50,olly mənə qrinviç vaxtı üstəgəl beş vaxtını de,olly mənə [time_zone : qrinviç vaxtı üstəgəl beş] vaxtını de
51,gülay çin yeməyi üçün ən reytinqli çatdırılma seçimlər,gülay [food_type : çin] yeməyi üçün ən reytinqli [order_type : çatdırılma] seçimlər
52,çin yeməkləri üçün ən çox qiymətləndirilən çatdırılma variantları,[food_type : çin] yeməkləri üçün ən çox qiymətləndirilən [order_type : çatdırılma] variantları
53,çin yeməkləri üçün ən çox qiymətləndirilən çatdırılma variantlarını sadala,[food_type : çin] yeməkləri üçün ən çox qiymətləndirilən [order_type : çatdırılma] variantlarını sadala
54,olly çin yeməkləri üçün ən çox qiymətləndirilən çatdırılma variantları,olly [food_type : çin] yeməkləri üçün ən çox qiymətləndirilən [order_type : çatdırılma] variantları
55,mən paket mərcimək şorbası istəyirəm təklifin var,mən paket [food_type : mərcimək şorbası] istəyirəm təklifin var
56,mən çatdırılması olan basdırma istəyirəm hər hansı tövsiyən var olly,mən çatdırılması olan [food_type : basdırma] istəyirəm hər hansı tövsiyən var olly
57,bravo ətrafında mənim tay paket yemək çatdıran kafelərimi tap,[place_name : bravo] ətrafında mənim [food_type : tay] [order_type : paket yemək] çatdıran kafelərimi tap
58,araz marketdə mənim çin paket yeməklərimi tap,[place_name : araz marketdə] mənim [food_type : çin] [order_type : paket yeməklərimi] tap
59,mənim səhər saat yeddi zəngli saatımı ləğv et,mənim [time : səhər saat yeddi] zəngli saatımı ləğv et
60,saatın səhər saat yeddi zəngini ləğv et,saatın [time : səhər saat yeddi] zəngini ləğv et
61,mən hansı zəngli saatları təyin etmişəm,mən hansı zəngli saatları təyin etmişəm
62,aktiv zəngli saatların siyahısını göstər,aktiv zəngli saatların siyahısını göstər
63,mənə qudoklarım barədə məlumat ver,mənə qudoklarım barədə məlumat ver
65,bu gün futbolda nə baş veir,[date : bu gün] [news_topic : futbolda] nə baş veir
66,zəhmət olmasa beatlesdan yesterdayi çal,zəhmət olmasa [artist_name : beatlesdan] [song_name : yesterdayi] çal
67,talıb talenin ola xəbərini eşitmək istərdim,[artist_name : talıb talenin] [song_name : ola xəbərini] eşitmək istərdim
68,mənə the halfdan ölənə qədər çal,mənə [artist_name : the halfdan] [song_name : ölənə qədər] çal
69,mən rok musiqini sevirəm,mən [music_genre : rok] musiqini sevirəm
70,mənim sevimli musiqi qrupum yuxudur,mənim sevimli musiqi qrupum [artist_name : yuxudur]
71,mən senatra mahnılarını xoşlayıram,mən [artist_name : senatra] mahnılarını xoşlayıram
72,sevimli mahnılardan mahnılar çalmağa başla,sevimli mahnılardan mahnılar çalmağa başla
73,zəhmət olmasa mənim ən yaxşı mahnılarımı çal,zəhmət olmasa mənim ən yaxşı mahnılarımı çal
74,indi oxuyan qrup hansıdır,indi oxuyan qrup hansıdır
75,indiki musiqinin müəllifi kimdir,indiki musiqinin müəllifi kimdir
76,bu mahnı hansı albomdandır,bu mahnı hansı albomdandır
77,olly mən bu mahnını doğrudan da xoşlayıram,olly mən bu mahnını doğrudan da xoşlayıram
78,oxutduğun mahnı əladır,oxutduğun mahnı əladır
79,bu mənim üçün ən yaxşı mahnılardan biridir,bu mənim üçün ən yaxşı mahnılardan biridir
