id,utt,annot_utt
0,这周五点叫我起床,[date : 这周] [time : 五点] 叫我起床
1,星期五早上九点叫醒我,[date : 星期五] 早上 [time : 九点] 叫醒我
2,设个两小时后的闹钟,设个 [time : 两小时后] 的闹钟
3,安静,安静
4,olly 安静,olly 安静
5,停止,停止
6,欧丽暂停十秒,欧丽暂停 [time : 十秒]
7,暂停十秒钟,暂停 [time : 十秒钟]
8,我们想要粉红色,我们想要 [color_type : 粉红色]
9,让这里的灯光更加温暖一点,让这里的灯光更加 [color_type : 温暖] 一点
10,请设置适合阅读的灯光,请设置 [color_type : 适合阅读的] 灯光
11,请把灯关掉,请把灯关掉
12,是时候睡觉了,是时候睡觉了
13,是时候睡觉了 olly,是时候睡觉了 olly
14,天暗下来了,天暗下来了
15,关掉浴室的灯,关掉 [house_place : 浴室] 的灯
16,olly 把大厅里的灯调暗,olly 把 [house_place : 大厅] 里的灯调暗
17,把大厅里的灯调暗,把 [house_place : 大厅] 里的灯调暗
18,关掉卧室的灯,关掉 [house_place : 卧室的] 灯
19,小王关闭了卧室里的灯,小王关闭了 [house_place : 卧室里的] 灯
20,设置灯为百分之二十,设置灯为 [change_amount : 百分之二十]
21,olly 把灯光调到两成,olly 把灯光调到 [change_amount : 两成]
22,小度变暗厨房灯光,小度变暗 [house_place : 厨房] 灯光
23,调暗厨房灯,调暗 [house_place : 厨房] 灯
24,让房间更暗,让 [house_place : 房间] 更暗
25,olly 打扫公寓,olly 打扫 [house_place : 公寓]
26,清洁公寓,清洁 [house_place : 公寓]
27,这里很脏弄出点声音来,这里很脏弄出点声音来
28,给房子吸尘,给 [house_place : 房子] 吸尘
29,小度把房子用吸尘器吸干净,小度把 [house_place : 房子] 用吸尘器吸干净
30,清洁是好事灰尘是坏事施展你的魔法吧打扫我的地毯,清洁是好事灰尘是坏事施展你的魔法吧打扫我的 [house_place : 地毯]
31,走廊,[house_place : 走廊]
32,地毯,[house_place : 地毯]
33,看一下演出什么时候开始,看一下演出什么时候开始
34,我想再听一次周杰伦的歌,我想再听一次 [artist_name : 周杰伦] 的歌
35,我想再次播放那首音乐,我想再次播放那首 [media_type : 音乐]
36,确认一下我的车准备好了吗,确认一下我的车准备好了吗
37,检查我的笔记本在工作吗,检查我的笔记本在工作吗
38,我的屏幕的亮度降低了嗎,我的屏幕的亮度降低了嗎
39,我需要打开定位服务你能查一下吗,我需要打开定位服务你能查一下吗
40,检查我的电量使用状态,检查我的电量使用状态
41,我想要屏幕亮度的状态,我想要屏幕亮度的状态
42,告诉我现在的可用内存状况,告诉我现在的可用内存状况
43,我不累我真的很开心,我不累我真的很开心
44,小度我不累我真的很开心,小度我不累我真的很开心
45,最近怎样,最近怎样
46,olly 你怎么了,olly 你怎么了
47,澳大利亚现在几点,[place_name : 澳大利亚] 现在几点
48,告诉我莫斯科时间,告诉我 [place_name : 莫斯科] 时间
49,告诉我格林威治时间加五是几点,告诉我 [time_zone : 格林威治时间加五] 是几点
50,olly 告诉我格林威治时间加五的时间,olly 告诉我 [time_zone : 格林威治时间加五] 的时间
51,欧丽列出所有评分高的中式外送,欧丽列出所有评分高的 [food_type : 中] 式 [order_type : 外送]
52,评分最高的中餐外送,评分最高的 [food_type : 中餐] [order_type : 外送]
53,列出评级最高的中式外卖,列出评级最高的 [food_type : 中式] [order_type : 外卖]
54,olly 评分最高的中餐外送,olly 评分最高的 [food_type : 中] 餐 [order_type : 外送]
55,我想要吃一些咖喱有什么推荐吗,我想要吃一些 [food_type : 咖喱] 有什么推荐吗
56,天猫精灵如果有任何推荐的话我想吃点咖喱,天猫精灵如果有任何推荐的话我想吃点 [food_type : 咖喱]
57,在三源里菜市场附近找我的泰国菜外卖,在 [place_name : 三源里菜市场] 附近找我的 [food_type : 泰国菜] [order_type : 外卖]
58,在三源里菜市场附近找我的泰国菜外卖,在 [place_name : 三源里菜市场] 附近找我的 [food_type : 泰国菜] [order_type : 外卖]
59,关闭我七点的闹钟,关闭我 [time : 七点] 的闹钟
60,停止七点的闹钟,停止 [time : 七点] 的闹钟
61,我都设什么闹铃了啊,我都设什么闹铃了啊
62,列出有效闹钟,列出有效闹钟
63,告诉我我的闹钟有哪些,告诉我我的闹钟有哪些
65,今天有什么关于足球的消息吗,[date : 今天] 有什么关于 [news_topic : 足球] 的消息吗
66,请播放飞轮海的只对你有感觉,请播放 [artist_name : 飞轮海] 的 [song_name : 只对你有感觉]
67,我想听飞轮海的只对你有感觉,我想听 [artist_name : 飞轮海的] [song_name : 只对你有感觉]
68,播放郭顶的水星记,播放 [artist_name : 郭顶] 的 [song_name : 水星记]
69,我喜欢摇滚音乐,我喜欢 [music_genre : 摇滚] 音乐
70,告五人我的最喜爱音乐乐队,[artist_name : 告五人] 我的最喜爱音乐乐队
71,我喜欢张杰的歌曲,我喜欢 [artist_name : 张杰] 的歌曲
72,开始播放收藏夹中的音乐,开始播放收藏夹中的音乐
73,请播放我最好的音乐,请播放我最好的音乐
74,乐队现在在演奏什么,乐队现在在演奏什么
75,谁是当前音乐的作者,谁是当前音乐的作者
76,这张专辑的流行音乐来自哪里,这张专辑的流行音乐来自哪里
77,olly 我喜欢这歌曲,olly 我喜欢这歌曲
78,你正播放的歌曲太棒了,你正播放的歌曲太棒了
79,这是最适合我的歌曲之一,这是最适合我的歌曲之一
80,设置灯光亮度更高,设置灯光亮度更高
81,让灯更亮,让灯更亮
82,请调亮灯到最大,请调亮灯 [change_amount : 到最大]
83,启动扫地机器人,启动 [device_type : 扫地机器人]
84,启动扫地机器人,启动 [device_type : 扫地机器人]
85,告诉我今天的日期,告诉我 [date : 今天的] 日期
86,今天是几号,[date : 今天] 是几号
87,请为晚餐订一些寿司,请为 [meal_type : 晚餐] 订一些 [food_type : 寿司]
88,我想你下单汉堡包,我想你下单 [food_type : 汉堡包]
89,你能为今晚的晚餐订寿司吗,你能为 [timeofday : 今晚] 的 [meal_type : 晚餐] 订 [food_type : 寿司] 吗
90,我的晚餐要点什么,我的晚餐要点什么
91,我能从萨莉亚意式餐厅点外卖当晚餐吗,我能从 [business_name : 萨莉亚意式餐厅] 点 [order_type : 外卖] 当 [meal_type : 晚餐] 吗
92,拜伦有外卖吗,[business_name : 拜伦] 有 [order_type : 外卖] 吗
93,定个十二点的闹钟,定个 [time : 十二点] 的闹钟
94,设置一个四十分钟后的闹钟,设置一个 [time : 四十分钟后] 的闹钟
95,设个每个工作日八点的闹钟,设个 [general_frequency : 每个工作日] [time : 八点] 的闹钟
96,下雨了吗,[weather_descriptor : 下雨] 了吗
