id,utt,annot_utt
0,vektu mig klikkna fimm alla morgna þessa vikuna,vektu mig klikkna [time : fimm] alla morgna [date : þessa vikuna]
1,vekja mig klukkan níu að morgni á föstudag,vekja mig klukkan [time : níu að morgni] á [date : föstudag]
2,stilltu vekjara eftir tvo tíma,stilltu vekjara [time : eftir tvo tíma]
3,þögn,þögn
4,olly þögn,olly þögn
5,hættu,hættu
6,jenna hlé í tíu sekúndur,jenna hlé í [time : tíu sekúndur]
7,pása í tíu sekúndur,pása í [time : tíu sekúndur]
8,bleikt er allt sem við þurfum,[color_type : bleikt] er allt sem við þurfum
9,gera ljósin aðeins hlýrri hérna,gera ljósin aðeins [color_type : hlýrri] hérna
10,vinsamlegast stilltu ljósin sem hentug til lestrar,vinsamlegast stilltu ljósin sem [color_type : hentug til lestrar]
11,slökkva á ljósum takk,slökkva á ljósum takk
12,tími til að sofa,tími til að sofa
13,tími til að sofna ollý,tími til að sofna ollý
14,og myrkrið hefur skollið á,og myrkrið hefur skollið á
15,slökkva á ljósum í baðherberginu,slökkva á ljósum í [house_place : baðherberginu]
16,olly deyfðu ljósin í ganginum,olly deyfðu ljósin í [house_place : ganginum]
17,deyfa ljósin á ganginum,deyfa ljósin á [house_place : ganginum]
18,slökkva á ljósum í svefnherberginu,slökkva á ljósum í [house_place : svefnherberginu]
19,olly slökkva á ljósum í svefnherberginu,olly slökkva á ljósum í [house_place : svefnherberginu]
20,stilla ljós í tuttugu prósent,stilla ljós [change_amount : í tuttugu prósent]
21,jóna settu ljósin til tuttugu prósent,jóna settu ljósin [change_amount : til tuttugu prósent]
22,deyfðu ljósin í eldhúsinu olly,deyfðu ljósin í [house_place : eldhúsinu] olly
23,deyfa ljósin í eldhúsinu,deyfa ljósin í [house_place : eldhúsinu]
24,gera herbergi dekkra,gera [house_place : herbergi] dekkra
25,olly þrífðu íbúðina,olly þrífðu [house_place : íbúðina]
26,þrífa íbúðina,þrífa [house_place : íbúðina]
27,það er skítugt hérna hafðu hátt,það er skítugt hérna hafðu hátt
28,ryksugaðu húsið,ryksugaðu [house_place : húsið]
29,ryksugaðu húsið olly,ryksugaðu [house_place : húsið] olly
30,þrif eru góð ryk er slæmt galdraðu nú teppið mitt hreint,þrif eru góð ryk er slæmt galdraðu nú [house_place : teppið] mitt hreint
31,ryksuga ganginn,ryksuga [house_place : ganginn]
32,teppin,[house_place : teppin]
33,athugaðu hvenær sýningin byrjar,athugaðu hvenær sýningin byrjar
34,mig langar að hlusta á ragga bjarna lagið aftur,mig langar að hlusta á [artist_name : ragga bjarna] lagið aftur
35,ég vil spila þessa tónlist aftur,ég vil spila þessa [media_type : tónlist] aftur
36,athugaðu hvort bíllinn minn sé tilbúinn,athugaðu hvort bíllinn minn sé tilbúinn
37,athugaðu hvort fartölvan mín virkar,athugaðu hvort fartölvan mín virkar
38,er birtustig á skjánum mínum að verða lítið,er birtustig á skjánum mínum að verða lítið
39,ég þarf að hafa staðsetningarbúnað á geturðu athugað,ég þarf að hafa staðsetningarbúnað á geturðu athugað
40,athugaðu stöðu orku notkunar minnar,athugaðu stöðu orku notkunar minnar
41,ég vil stöðuna á birtustigi skjásins míns,ég vil stöðuna á birtustigi skjásins míns
42,gefðu mér stöðuna á lausa minninu mínu,gefðu mér stöðuna á lausa minninu mínu
43,ég er ekki þreyttur ég er glaður,ég er ekki þreyttur ég er glaður
44,olly ég er ekki þreyttur ég er raunar glaður,olly ég er ekki þreyttur ég er raunar glaður
45,hvernig gengur,hvernig gengur
46,hvernig gengur olly,hvernig gengur olly
47,hvað er klukkan í ástralíu,hvað er klukkan í [place_name : ástralíu]
48,hvað er klukkan í moskvu,hvað er klukkan í [place_name : moskvu]
49,segðu mér hvað klukkan er í g. m. t. plús fimm,segðu mér hvað klukkan er í [time_zone : g. m. t. plús fimm]
50,olly segðu mér tímann á staðartíma greenwich plús fimm,olly segðu mér tímann á [time_zone : staðartíma greenwich plús fimm]
51,jenan listaðu mest metnu heimsendingar valmöguleika fyrir kínverskan mat,jenan listaðu mest metnu [order_type : heimsendingar] valmöguleika fyrir [food_type : kínverskan] mat
52,mest metni sendingar kosturinn fyrir kínverskan mat,mest metni [order_type : sendingar] kosturinn fyrir [food_type : kínverskan] mat
53,lista mest metnu heimsendinga valmöguleika fyrir kínverskan mat,lista mest metnu [order_type : heimsendinga] valmöguleika fyrir [food_type : kínverskan] mat
54,olly mest metnu heimsendingu valmöguleikar fyrir kínverskan mat,olly mest metnu [order_type : heimsendingu] valmöguleikar fyrir [food_type : kínverskan] mat
55,ég vil smá karrý til að taka með heim einhver meðmæli,ég vil smá [food_type : karrý] til að taka með heim einhver meðmæli
56,mér langar í karrý rétti til að taka með einhver meðmæli olly,mér langar í [food_type : karrý] rétti til að taka með einhver meðmæli olly
