id,utt,annot_utt
0,صحيني خمسة الفجر هذا الأسبوع,صحيني [time : خمسة الفجر] [date : هذا الأسبوع]
1,صحيني تسعة الصباح يوم الجمعة,صحيني [time : تسعة الصباح] يوم [date : الجمعة]
2,حط منبه بعد ساعتين من الحين,حط منبه [time : بعد ساعتين من الحين]
3,هدوء,هدوء
4,olly هدوء,olly هدوء
5,وقف,وقف
6,أوللي وقف مؤقتاً لمدة عشر ثواني,أوللي وقف مؤقتاً لمدة [time : عشر ثواني]
7,توقف مؤقتا لمدة عشر ثواني,توقف مؤقتا لمدة [time : عشر ثواني]
8,بس نبي اللون الوردي,بس نبي [color_type : اللون الوردي]
9,اجعل الإضاءة أكثر دفء بقليل هنا,اجعل الإضاءة أكثر [color_type : دفء] بقليل هنا
10,تكفى اضبط الإضاءة وخلها مريحة للقراءة,تكفى اضبط الإضاءة وخلها [color_type : مريحة للقراءة]
11,طفي اللمبات الله يسعدك,طفي اللمبات الله يسعدك
12,وقت النوم,وقت النوم
13,وقت النوم يا olly,وقت النوم يا olly
14,وحل الظلام,وحل الظلام
15,طف لمبة الحمام,طف لمبة [house_place : الحمام]
16,olly اخفت النور في المجلس,olly اخفت النور في [house_place : المجلس]
17,وطي اللمبات في الممر,وطي اللمبات في [house_place : الممر]
18,طفي لمبات غرفة النوم,طفي لمبات [house_place : غرفة النوم]
19,طفي الاضواء بغرفة النوم حقي,طفي الاضواء [house_place : بغرفة النوم] حقي
20,أوزن اللمبة على عشرين بالمية,أوزن اللمبة [change_amount : على عشرين بالمية]
21,olly حط الإضاءة على عشرين في المية,olly حط الإضاءة على [change_amount : عشرين في المية]
22,خفت الأضواء في المطبخ أولي,خفت الأضواء في [house_place : المطبخ] أولي
23,اخفت اللمبات في المطبخ,اخفت اللمبات في [house_place : المطبخ]
24,خلي الغرفة مظلمة أكثر,خلي [house_place : الغرفة] مظلمة أكثر
25,olly نظف الشقة,olly نظف [house_place : الشقة]
