id,utt,annot_utt
0,zbudi me ob petih zjutraj ta teden,zbudi me ob [time : petih zjutraj] [date : ta teden]
1,zbudi me ob devetih zjutraj v petek,zbudi me ob [time : devetih zjutraj] v [date : petek]
2,nastavi alarm dve uri od zdaj,nastavi alarm [time : dve uri od zdaj]
3,tišina,tišina
4,siri tišina,siri tišina
5,stop,stop
6,siri pavza za deset sekund,siri pavza za [time : deset sekund]
7,pavziraj za deset sekund,pavziraj za [time : deset sekund]
8,rožnata je vse kaj rabimo,[color_type : rožnata] je vse kaj rabimo
9,naredi svetlobo tukaj notri malo bolj toplo,naredi svetlobo tukaj notri malo bolj [color_type : toplo]
10,prosim nastavi osvetlitev primerno za branje,prosim nastavi osvetlitev [color_type : primerno za branje]
11,ugasni luči,ugasni luči
12,čas za spanje,čas za spanje
13,olly čas je za spanje,olly čas je za spanje
14,in stemnilo se je,in stemnilo se je
15,ugasni luč v kopalnici,ugasni luč v [house_place : kopalnici]
16,zamegli luči na hodniku,zamegli luči na [house_place : hodniku]
17,na hodniku zatemni luči,na [house_place : hodniku] zatemni luči
18,ugasni luči v spalnici,ugasni luči v [house_place : spalnici]
19,olly ugasni luči v spalnici,olly ugasni luči v [house_place : spalnici]
20,nastavi luči na dvajset procentov,nastavi luči na [change_amount : dvajset procentov]
21,nastavi luči na dvajset odstotkov,nastavi luči [change_amount : na dvajset odstotkov]
22,zatemni luči v kuhinji peter,zatemni luči v [house_place : kuhinji] peter
23,zatemni luči v kuhinji,zatemni luči v [house_place : kuhinji]
24,zatemni sobo,zatemni [house_place : sobo]
25,očisti stanovanje,očisti [house_place : stanovanje]
26,očisti stanovanje,očisti [house_place : stanovanje]
27,umazano je tu spravi se k delu,umazano je tu spravi se k delu
28,posesaj hišo,posesaj [house_place : hišo]
29,sesaj hišo siri,sesaj [house_place : hišo] siri
30,čiščenje bo prav prišlo saj je toliko prahu pokaži tvojo magičnost počisti mojo preprogo,čiščenje bo prav prišlo saj je toliko prahu pokaži tvojo magičnost počisti mojo [house_place : preprogo]
31,počisti hodnik,počisti [house_place : hodnik]
32,posesaj preproge,posesaj [house_place : preproge]
33,preveri kdaj se začne predstava,preveri kdaj se začne predstava
34,želim ponovno poslušati pesem od arijit singh,želim ponovno poslušati pesem od [artist_name : arijit singh]
35,želim spet predvajati to glasbo,želim spet predvajati to [media_type : glasbo]
36,preveri če je avto pripravljen,preveri če je avto pripravljen
37,preveri če moj prenosnik dela,preveri če moj prenosnik dela
38,ali se svetlost mojega ekrana zmanjšuje,ali se svetlost mojega ekrana zmanjšuje
39,moram imeti vključee lokacijske storitve ali lahko preveriš,moram imeti vključee lokacijske storitve ali lahko preveriš
40,preveri stanje moje porabe elektrike,preveri stanje moje porabe elektrike
41,želim stanje o svetlosti mojega zaslona,želim stanje o svetlosti mojega zaslona
42,povej mi stanje mojega razpoložljivega pomnilnika,povej mi stanje mojega razpoložljivega pomnilnika
43,nisem utrujena pravzaprav sem vesela,nisem utrujena pravzaprav sem vesela
44,olly nisem utrujen pravzaprav sem vesel,olly nisem utrujen pravzaprav sem vesel
45,kaj se dogaja,kaj se dogaja
