id,utt,annot_utt
0,ปลุกฉัน ตอน ตีห้า สัปดาห์นี้,ปลุกฉัน ตอน [time : ตีห้า] [date : สัปดาห์นี้]
1,ปลุกฉัน ตอน เก้าโมงเช้า วันศุกร์,ปลุกฉัน ตอน [time : เก้าโมงเช้า] [date : วันศุกร์]
2,ตั้งปลุกในอีก สองชั่วโมงจากนี้,ตั้งปลุกในอีก [time : สองชั่วโมงจากนี้]
3,เงียบ,เงียบ
4,olly เงียบเสียงที,olly เงียบเสียงที
5,หยุดเสียง,หยุดเสียง
6,ออลลี่หยุดชั่วคราวเป็นเวลา สิบวินาที,ออลลี่หยุดชั่วคราวเป็นเวลา [time : สิบวินาที]
7,หยุดเล่นเป็นเวลา สิบวินาที,หยุดเล่นเป็นเวลา [time : สิบวินาที]
8,ไฟ สีชมพู คือทุกอย่างที่เราต้องการ,ไฟ [color_type : สีชมพู] คือทุกอย่างที่เราต้องการ
9,ทำให้ แสง ตรงนี้ อุ่น มากขึ้น นิดนึง,ทำให้ แสง ตรงนี้ [color_type : อุ่น] มากขึ้น นิดนึง
10,กรุณา ตั้งค่า ไฟ ให้ เหมาะแก่การอ่าน,กรุณา ตั้งค่า ไฟ ให้ [color_type : เหมาะแก่การอ่าน]
11,โปรด ปิด ไฟ,โปรด ปิด ไฟ
12,ถึงเวลาเข้านอนแล้ว,ถึงเวลาเข้านอนแล้ว
13,ถึงเวลานอนแล้ว olly,ถึงเวลานอนแล้ว olly
14,และความมืดก็พ่ายแพ้,และความมืดก็พ่ายแพ้
15,ปิด ไฟ ห้องน้ำ,ปิด ไฟ [house_place : ห้องน้ำ]
16,olly หรี่ ไฟ ห้องโถง,olly หรี่ ไฟ [house_place : ห้องโถง]
17,หรี่ ไฟ ห้องโถง ให้ที,หรี่ ไฟ [house_place : ห้องโถง] ให้ที
18,ปิด ไฟ ห้องนอน,ปิด ไฟ [house_place : ห้องนอน]
19,olly ปิด ไฟ ใน ห้องนอน,olly ปิด ไฟ ใน [house_place : ห้องนอน]
20,ตั้งค่าไฟเป็น ยี่สิบเปอร์เซ็นต์,ตั้งค่าไฟเป็น [change_amount : ยี่สิบเปอร์เซ็นต์]
21,olly ตั้งค่าไฟ ไปที่ยี่สิบเปอร์เซ็นต์,olly ตั้งค่าไฟ [change_amount : ไปที่ยี่สิบเปอร์เซ็นต์]
22,หรี่ ไฟ ใน ครัว olly,หรี่ ไฟ ใน [house_place : ครัว] olly
23,หรี่ ไฟ ใน ห้องครัว,หรี่ ไฟ ใน [house_place : ห้องครัว]
24,ปรับ ให้ ห้อง มืดลง,ปรับ ให้ [house_place : ห้อง] มืดลง
25,olly ทำความสะอาด คอนโด,olly ทำความสะอาด [house_place : คอนโด]
26,ทำความสะอาด คอนโด,ทำความสะอาด [house_place : คอนโด]
27,ในนี้สกปรกจัง เริ่มเดินเครื่องเลย,ในนี้สกปรกจัง เริ่มเดินเครื่องเลย
28,ดูดฝุ่น บ้าน ให้หน่อย,ดูดฝุ่น [house_place : บ้าน] ให้หน่อย
29,ดูดฝุ่น บ้าน olly,ดูดฝุ่น [house_place : บ้าน] olly
30,การทำความสะอาดเป็นเรื่องที่ดี ฝุ่นมันไม่ดีเลย แสดงพลังวิเศษด้วยการทำความสะอาด พรม ของฉันให้ที,การทำความสะอาดเป็นเรื่องที่ดี ฝุ่นมันไม่ดีเลย แสดงพลังวิเศษด้วยการทำความสะอาด [house_place : พรม] ของฉันให้ที
31,ทำความสะอาด ทางเดิน,ทำความสะอาด [house_place : ทางเดิน]
32,ดูด พรม ไปรอบ ๆ,ดูด [house_place : พรม] ไปรอบ ๆ
33,ตรวจดูว่าการแสดงจะเริ่มเมื่อไหร่,ตรวจดูว่าการแสดงจะเริ่มเมื่อไหร่
34,อยากฟัง เพลง ของ ธงไชย แมคอินไตย์ อีกครั้ง,อยากฟัง เพลง ของ [artist_name : ธงไชย แมคอินไตย์] อีกครั้ง
35,ฉันอยากเล่น เพลง นั้น อีกครั้ง,ฉันอยากเล่น [media_type : เพลง] นั้น อีกครั้ง
36,ตรวจดูหน่อยว่ารถของฉันพร้อมขับไหม,ตรวจดูหน่อยว่ารถของฉันพร้อมขับไหม
37,ตรวจสอบว่าคอมของฉันทำงานไหม,ตรวจสอบว่าคอมของฉันทำงานไหม
