id,utt,annot_utt
0,გამაღვიძე დილის ხუთზე ამ კვირაში,გამაღვიძე [time : დილის ხუთზე] [date : ამ კვირაში]
1,დილის ცხრაზე პარასკევს,[time : დილის ცხრაზე] [date : პარასკევს]
2,აქედან ორ საათში,[time : აქედან ორ საათში]
3,სიჩუმე,სიჩუმე
4,ოლი ხმადაბლა,ოლი ხმადაბლა
5,გაჩერდი,გაჩერდი
6,ოლი დააპაუზე ათი წამით,ოლი დააპაუზე [time : ათი წამით]
7,შეაჩერე ათი წამით,შეაჩერე [time : ათი წამით]
8,ვარდისფერი არის ყველაფერი რაც გვჭირდება,[color_type : ვარდისფერი] არის ყველაფერი რაც გვჭირდება
9,ჩართე განათება ცოტათი უფრო თბილი აქ,ჩართე განათება ცოტათი უფრო [color_type : თბილი] აქ
10,გთხოვ დააყენე განათება კითხვისთვის შესაფერისად,გთხოვ დააყენე განათება [color_type : კითხვისთვის შესაფერისად]
11,გთხოვ გათიშე განათებები,გთხოვ გათიშე განათებები
12,ძილის დრო,ძილის დრო
13,olly ძილის დროა,olly ძილის დროა
14,და სიბნელე ჩამოწვა,და სიბნელე ჩამოწვა
15,გამორთე განათება სააბაზანოში,გამორთე განათება [house_place : სააბაზანოში]
16,ოლი დააბნელე სინათლე დარბაზში,ოლი დააბნელე სინათლე [house_place : დარბაზში]
17,ჩააქრე სინათლე შემოსასვლელში,ჩააქრე სინათლე [house_place : შემოსასვლელში]
18,გამორთე განათებები საძინებელში -,გამორთე განათებები [house_place : საძინებელში] -
19,გამორთე განათებები საძინებელში -,გამორთე განათებები [house_place : საძინებელში] -
20,დააყენე სინათლე ოც პროცენტზე,დააყენე სინათლე [change_amount : ოც პროცენტზე]
21,olly დააყენე განათებები ოც პროცენტზე,olly დააყენე განათებები [change_amount : ოც პროცენტზე]
22,olly ჩააბნელე შუქი სამზარეულოში,olly ჩააბნელე შუქი [house_place : სამზარეულოში]
23,დაუწიე განათებას სამზარეულოში,დაუწიე განათებას [house_place : სამზარეულოში]
24,ოთახი უფრო დააბნელე,[house_place : ოთახი] უფრო დააბნელე
25,olly დაასუფთავე ბინა,olly დაასუფთავე [house_place : ბინა]
26,გაწმინდე ბინა,გაწმინდე [house_place : ბინა]
27,აქ სიბინძურეა აახმაურე,აქ სიბინძურეა აახმაურე
28,გაამტვერსასრუტე სახლი,გაამტვერსასრუტე [house_place : სახლი]
29,გამოხვეტე სახლი ოლი,გამოხვეტე [house_place : სახლი] ოლი
30,დასუფთავება კარგია მტვერი იმდენად ცუდია რომ ჩართე ჯადოსნური და გაწმინდე ხალიჩა,დასუფთავება კარგია მტვერი იმდენად ცუდია რომ ჩართე ჯადოსნური და გაწმინდე [house_place : ხალიჩა]
31,გამოხვეტე დერეფანი,გამოხვეტე [house_place : დერეფანი]
32,გაწმინდე ხალიჩა,გაწმინდე [house_place : ხალიჩა]
33,შეამოწმე როდის იწყება ჩვენება,შეამოწმე როდის იწყება ჩვენება
34,მინდა მოვისმინო ლელა წურწუმიას სიმღერა კიდევ ერთხელ,მინდა მოვისმინო [artist_name : ლელა წურწუმიას] სიმღერა კიდევ ერთხელ
35,კვლავ ის ერთი მუსიკა მინდა ჩავრთო,კვლავ ის ერთი [media_type : მუსიკა] მინდა ჩავრთო
36,შეამოწმე ჩემი მანქანა მზადაა,შეამოწმე ჩემი მანქანა მზადაა
37,შეამოწმე მუშაობს თუ არა ჩემი ლეპტოპი,შეამოწმე მუშაობს თუ არა ჩემი ლეპტოპი
38,ჩემი ეკრანის სიკაშკაშე ეცემა,ჩემი ეკრანის სიკაშკაშე ეცემა
39,მჭირდება რომ ადგილმდებარეობის სერვისი იყოს ჩართული შეგიძლია შეამოწმო,მჭირდება რომ ადგილმდებარეობის სერვისი იყოს ჩართული შეგიძლია შეამოწმო
40,შეამოწმე ჩემი ბატარეის მდგომარეობა,შეამოწმე ჩემი ბატარეის მდგომარეობა
41,ჩემი ეკრანის განათება,ჩემი ეკრანის განათება
42,მომახსენე სტატუსი ჩემს ხელმისაწვდომ მეხსიერებაზე,მომახსენე სტატუსი ჩემს ხელმისაწვდომ მეხსიერებაზე
43,მე არ ვარ დაღლილი სინამდვილეში მე ბედნიერი ვარ,მე არ ვარ დაღლილი სინამდვილეში მე ბედნიერი ვარ
44,გიო მე დაღლილი არ ვარ სინამდვილეში ბედნიერი ვარ,გიო მე დაღლილი არ ვარ სინამდვილეში ბედნიერი ვარ
45,რა ხდება,რა ხდება
46,რა ხდება ოლი,რა ხდება ოლი
47,რომელი საათია საქართველოში,რომელი საათია [place_name : საქართველოში]
48,მითხარი დრო თბილისში,მითხარი დრო [place_name : თბილისში]
49,მითხარი რომელი საათია გრინვიჩის დროს დამატებული ხუთი,მითხარი რომელი საათია [time_zone : გრინვიჩის დროს დამატებული ხუთი]
50,olly მითხარი საათი g. m. t. პლუს ხუთში,olly მითხარი საათი [time_zone : g. m. t. პლუს ხუთში]
51,ოლი ჩამოთვალე ყველაზე რეიტინგული ვარიანტები ჩინური საჭმელის მიტანის,ოლი ჩამოთვალე ყველაზე რეიტინგული ვარიანტები [food_type : ჩინური] საჭმელის [order_type : მიტანის]
52,ყველაზე კარგი შეგფასების ჩინური საჭმელი მოტანით,ყველაზე კარგი შეგფასების [food_type : ჩინური] საჭმელი [order_type : მოტანით]
53,ჩამოთვალეთ ჩინური საკვების მიტანის ყველაზე რეიტინგული ვარიანტები,ჩამოთვალეთ [food_type : ჩინური] საკვების [order_type : მიტანის] ყველაზე რეიტინგული ვარიანტები
54,ჩინური საჭმლის მიტანის სერვისები,[food_type : ჩინური] საჭმლის [order_type : მიტანის] სერვისები
55,რამე რეკომენდაცია მომეცი სად შევუკვეთო შქმერული თან წაღების მომსახურებით,რამე რეკომენდაცია მომეცი სად შევუკვეთო [food_type : შქმერული] თან წაღების მომსახურებით
56,რამე რეკომენდაცია გაქვს საუკეთესო ლობიოსთან დაკავშირებით ოლი,რამე რეკომენდაცია გაქვს საუკეთესო [food_type : ლობიოსთან] დაკავშირებით ოლი
57,იპოვე ჩემი ტაილანდური საჭმელი თან წაღებით ორბელიანის ბაზრიდან,იპოვე ჩემი [food_type : ტაილანდური] საჭმელი [order_type : თან წაღებით] [place_name : ორბელიანის ბაზრიდან]
58,იპოვე ჩემი თან წაღებით ტაი საჭმელი ორბელიანის ბაზრიდან,იპოვე ჩემი [order_type : თან წაღებით] [food_type : ტაი] საჭმელი [place_name : ორბელიანის ბაზრიდან]
59,ჩემი დილის შვიდი საათის მაღვიძარა,ჩემი [time : დილის შვიდი საათის] მაღვიძარა
60,დილის შვიდი საათის,[time : დილის შვიდი საათის]
61,რა მაღვიძარები დავაყენე მე,რა მაღვიძარები დავაყენე მე
62,მაღვიძარები,მაღვიძარები
63,მითხარი ჩემი შეხსენებების შესახებ,მითხარი ჩემი შეხსენებების შესახებ
65,რა ხდება დღეს ფეხბურთში,რა ხდება [date : დღეს] [news_topic : ფეხბურთში]
66,გთხოვ დაუკარი ქუჩაში ერთხელ ნინო ქათამაძის შესრულები,გთხოვ დაუკარი [song_name : ქუჩაში ერთხელ] [artist_name : ნინო ქათამაძის] შესრულები
67,მინდა მოვისმინო ტრიო სიმის ქუთაისო ჩემო,მინდა მოვისმინო [artist_name : ტრიო სიმის] [song_name : ქუთაისო ჩემო]
68,დაუკარი არგოს ივერია,დაუკარი [song_name : არგოს] [artist_name : ივერია]
69,მე მიყვარს როკ მუსიკა,მე მიყვარს [music_genre : როკ] მუსიკა
70,ჩემი ფავორიტი მუსიკალური ბენდი არის ქვინი,ჩემი ფავორიტი მუსიკალური ბენდი არის [artist_name : ქვინი]
71,მე მომწონს ორერას სიმღერები,მე მომწონს [artist_name : ორერას] სიმღერები
72,დაიწყე მუსიკის დაკვრა რჩეულებიდან,დაიწყე მუსიკის დაკვრა რჩეულებიდან
73,გთხოვ დაუკარი ჩემი საუკეთესო მუსიკა,გთხოვ დაუკარი ჩემი საუკეთესო მუსიკა
74,რომელი ბენდი უკრავს ახლა,რომელი ბენდი უკრავს ახლა
75,ვინა არის ამ მიმდინარე მუსიკის ავტორი,ვინა არის ამ მიმდინარე მუსიკის ავტორი
76,რა ალბომია საიდანაც ეს მუსიკაა,რა ალბომია საიდანაც ეს მუსიკაა
77,ოლი მე მართლა მომწონს ეს სიმღერა,ოლი მე მართლა მომწონს ეს სიმღერა
78,სიმღერა რასაც შენ უკრავ არაჩვეულებრივია,სიმღერა რასაც შენ უკრავ არაჩვეულებრივია
79,ეს ერთ ერთი საუკეთესო სიმღერაა ჩემთვის,ეს ერთ ერთი საუკეთესო სიმღერაა ჩემთვის
80,დააყენეგანათების სიმკვეთრე უფრო მაღალზე,დააყენეგანათების სიმკვეთრე უფრო მაღალზე
81,გააკეთე განათება უფრო კაშკაშა,გააკეთე განათება უფრო კაშკაშა
82,აუწიე შუქს მაქსიმუმზე,აუწიე შუქს [change_amount : მაქსიმუმზე]
83,hey ჩართე რობოტი მტვერსასრუტი,hey ჩართე [device_type : რობოტი მტვერსასრუტი]
84,ჩართე დამლაგებელი რობოტი,ჩართე [device_type : დამლაგებელი რობოტი]
85,მითხარი დღევანდელი რიცხვი,მითხარი [date : დღევანდელი] რიცხვი
86,რა დღეა დღეს,რა დღეა [date : დღეს]
87,გთხოვ შეუკვეთე სუში სადილისთვის,გთხოვ შეუკვეთე [food_type : სუში] [meal_type : სადილისთვის]
88,მე მინდა ბურგერი შეუკვეთო,მე მინდა [food_type : ბურგერი] შეუკვეთო
89,ამღამინდელი სადილისთვის შეგიძლია სუშის შეკვეთა,[timeofday : ამღამინდელი] [meal_type : სადილისთვის] შეგიძლია [food_type : სუშის] შეკვეთა
90,რა არის ჩემი სადილის შეკვეთაში,რა არის ჩემი სადილის შეკვეთაში
91,შეიძლება გურმანიდან წასაღები სადილი შეუკვეთო,შეიძლება [business_name : გურმანიდან] [order_type : წასაღები] [meal_type : სადილი] შეუკვეთო
92,მაჭახელას აქვს თან წაღების მომსახურება,[business_name : მაჭახელას] აქვს [order_type : თან წაღების მომსახურება]
93,მაღვიძარა თორმეტისთვის,მაღვიძარა [time : თორმეტისთვის]
94,აქედან ორმოც წუთზე,[time : აქედან ორმოც წუთზე]
95,მაღვიძარა რვაზე ყოველ სამუშაო დღეს,მაღვიძარა [time : რვაზე] [general_frequency : ყოველ სამუშაო დღეს]
96,წვიმს,[weather_descriptor : წვიმს]
97,იწვიმებს,[weather_descriptor : იწვიმებს]
98,ახლა თოვს,ახლა [weather_descriptor : თოვს]
99,კვირის,[time : კვირის]
100,კვირის,[time : კვირის]
101,რა არის ამ კვირის ამინდი,რა არის [date : ამ კვირის] ამინდი
102,ამ კვირის,[date : ამ კვირის]
103,ამ კვირაში,[date : ამ კვირაში]
104,მაესტროს,[media_type : მაესტროს]
105,იმედის ამბებზე,[media_type : იმედის] ამბებზე
106,კომედი არხი,[media_type : კომედი არხი]
107,დაუკარი ყვითელი ფოთლები,დაუკარი [song_name : ყვითელი ფოთლები]
108,დაუკარი სიმღერა რომელიც მე მომწონს,დაუკარი სიმღერა რომელიც მე მომწონს
109,ჩართე წინწყარო,ჩართე [song_name : წინწყარო]
110,დაუკარი ტრიო მანდილი,დაუკარი [artist_name : ტრიო მანდილი]
111,ჩართე რამე ქოლდფლეის,ჩართე რამე [artist_name : ქოლდფლეის]
112,ჩართე რამე დევიდ ბოუის,ჩართე რამე [artist_name : დევიდ ბოუის]
113,დაატრიალე ეს სიმღერა,[player_setting : დაატრიალე] ეს სიმღერა
114,შეურიე ეს ფლეილისტი,[player_setting : შეურიე] ეს ფლეილისტი
115,აუდიო დაბალზე დააყენე,აუდიო [change_amount : დაბალზე] დააყენე
116,რა მუსიკაა ჩართული,რა მუსიკაა ჩართული
117,მუსიკაა ეს,მუსიკაა ეს
118,მითხარი ამ სიმღერის შემსრულებელი,მითხარი ამ სიმღერის შემსრულებელი
119,გამაცინე,გამაცინე
120,ნია გამაცინე,ნია გამაცინე
121,მითხარი კარგი ხუმრობა,მითხარი [joke_type : კარგი] ხუმრობა
122,სიცილები გაუგზავნე,სიცილები გაუგზავნე
123,ხუმრობა მიხარი,ხუმრობა მიხარი
124,ოლი მითხარი ხუმრობა,ოლი მითხარი ხუმრობა
125,ალექსა მითხარი ხუმრობა,ალექსა მითხარი ხუმრობა
126,გამამხნევე,გამამხნევე
127,რა დღეა დღეს,რა დღეა [date : დღეს]
128,რა რიცხვია,რა რიცხვია
